state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2018,"461,302","61,166","161,286","202,178","36,672","3,337,464","131,592","316,587","1,026,976","721,987","288,285","536,086","315,951","635,976","565,653","172,677","593,480","521,725","171,847","1,278,345","1,116,565","320,161","829,663","685,342","187,352","36,084","22,738","29,436","32,826","50,081","61,177"
Alaska ,2018,"68,625","7,863","31,355","25,547","3,860","485,353","12,023","20,421","137,293","129,250","39,938","89,635","56,793","117,688","110,772","31,724","97,020","92,231","31,041","182,645","171,405","54,970","88,000","78,501","28,693","46,189","25,840","35,328","44,619","57,708","77,402"
Arizona ,2018,"689,343","105,767","230,722","293,894","58,960","4,840,304","256,545","349,389","1,159,297","1,208,158","428,422","898,032","540,461","979,328","877,123","285,226","882,618","763,432","271,351","1,719,255","1,491,721","508,990","1,259,103","1,102,094","372,926","37,464","23,893","30,617","36,486","51,576","66,004"
Arkansas ,2018,"287,926","34,446","107,370","123,854","22,256","2,021,939","92,515","166,471","686,867","450,668","154,143","296,422","174,853","392,937","360,773","102,024","367,053","328,076","94,907","754,273","655,094","166,791","507,676","419,010","107,553","35,209","23,899","29,805","32,401","46,919","61,185"
California ,2018,"3,755,863","390,520","1,146,258","1,786,551","432,534","26,815,644","2,396,226","1,958,791","5,559,362","5,589,646","2,140,543","5,704,852","3,466,224","6,034,398","5,424,352","2,210,574","5,264,457","4,414,797","1,953,961","9,849,452","8,051,275","3,181,498","5,667,337","4,570,203","1,825,043","42,156","24,263","31,954","39,614","62,347","90,204"
Colorado ,2018,"528,539","67,044","170,032","215,687","75,776","3,900,287","127,663","189,453","812,615","815,752","329,255","1,013,989","611,560","889,656","826,968","380,467","781,388","709,959","348,507","1,421,388","1,308,494","580,579","807,855","737,750","315,996","44,885","29,312","35,013","39,129","54,937","68,181"
Connecticut ,2018,"344,203","34,216","101,840","152,349","55,798","2,493,396","97,719","128,535","669,967","413,974","195,971","544,028","443,202","447,891","417,303","194,607","424,573","390,940","193,277","1,007,785","923,390","392,963","613,147","535,509","206,383","50,202","25,769","35,446","41,716","64,398","83,968"
Delaware ,2018,"84,321","11,122","29,330","36,416","7,453","679,700","26,223","42,858","225,797","120,182","51,648","124,178","88,814","127,399","114,014","41,697","112,393","98,573","34,613","259,152","238,877","81,368","180,756","159,155","55,314","40,661","24,961","32,173","36,893","52,267","70,036"
Florida ,2018,"1,769,325","268,866","569,001","762,798","168,660","15,302,125","708,872","1,052,860","4,387,954","3,015,699","1,489,510","2,920,459","1,726,771","2,758,515","2,500,489","859,717","2,586,704","2,304,813","863,948","5,598,122","4,997,928","1,656,610","4,358,784","3,737,163","1,266,955","35,254","22,097","27,900","33,334","46,380","61,748"
Georgia ,2018,"1,038,010","159,213","338,114","435,966","104,717","6,978,172","308,720","557,379","1,942,122","1,383,144","562,774","1,362,317","861,716","1,442,243","1,297,265","478,261","1,401,044","1,226,509","489,718","2,678,457","2,374,327","868,365","1,456,428","1,213,972","387,689","39,150","23,946","30,400","35,172","54,692","67,375"
Hawaii ,2018,"121,647","10,207","46,510","54,314","10,616","995,589","38,532","41,547","266,728","204,652","110,557","218,828","114,745","201,025","191,194","63,550","181,541","171,063","71,880","351,556","328,263","115,913","261,467","224,990","82,230","41,737","26,337","35,307","40,013","50,463","69,668"
Idaho ,2018,"165,091","25,257","59,498","68,606","11,730","1,143,747","40,692","63,176","318,218","292,076","113,323","213,462","102,800","228,080","210,470","63,430","219,713","199,667","68,566","416,513","373,127","112,827","279,441","256,615","71,439","35,694","26,050","30,790","32,871","44,469","61,876"
