state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Illinois ,2018,"1,178,902","136,767","355,452","511,942","174,741","8,706,376","403,880","510,902","2,269,285","1,764,774","704,851","1,833,666","1,219,018","1,765,517","1,646,296","748,523","1,644,390","1,475,718","662,207","3,305,921","2,964,012","1,106,324","1,990,548","1,705,568","535,630","42,583","26,046","31,625","37,827","57,357","75,802"
Indiana ,2018,"656,928","101,702","212,740","274,898","67,588","4,467,893","164,472","327,362","1,480,040","887,129","397,824","771,811","439,255","874,246","788,636","272,097","826,473","735,410","263,694","1,716,028","1,544,472","446,167","1,051,146","907,541","229,108","38,825","25,560","32,171","36,435","49,851","62,726"
Iowa ,2018,"317,964","35,433","87,669","155,638","39,224","2,104,792","64,952","97,697","649,269","434,337","247,997","413,442","197,098","394,507","370,970","134,909","383,617","352,873","140,025","788,850","731,699","213,681","537,818","486,601","121,925","40,709","29,980","32,367","36,699","51,620","67,140"
Kansas ,2018,"294,933","31,457","88,959","141,742","32,775","1,911,426","70,905","101,128","485,753","436,532","170,965","402,368","243,775","376,422","349,114","141,959","359,447","319,953","133,908","713,366","651,764","236,547","462,191","418,562","133,729","39,658","26,462","30,792","35,549","49,852","61,361"
Kentucky ,2018,"421,207","49,982","158,614","175,234","37,377","3,039,414","160,136","240,928","990,911","631,690","261,964","442,090","311,695","579,520","525,311","165,712","553,107","497,707","164,458","1,175,395","1,027,874","272,491","731,392","587,458","151,124","36,310","21,639","30,213","34,070","50,146","56,623"
Louisiana ,2018,"436,660","72,976","154,813","176,575","32,296","3,125,733","146,205","296,354","1,071,772","649,675","203,074","496,634","262,019","645,255","571,794","175,780","589,714","518,976","160,455","1,170,154","998,998","263,586","720,610","593,406","158,832","36,602","21,282","29,383","35,199","50,273","57,058"
Maine ,2018,"106,470","11,124","37,966","45,031","12,349","983,382","25,361","43,100","309,259","200,338","95,274","197,489","112,561","159,944","151,890","58,051","153,436","145,231","54,900","393,933","370,324","113,555","276,069","247,476","83,544","37,290","25,581","30,726","36,221","43,809","60,013"
Maryland ,2018,"537,024","57,249","167,870","234,344","77,561","4,167,339","155,580","240,551","1,009,495","779,231","281,787","911,761","788,934","826,526","766,007","356,798","775,079","701,954","349,345","1,634,693","1,496,127","663,320","931,041","807,120","331,232","50,791","27,088","35,780","42,074","63,399","86,118"
Massachusetts ,2018,"702,295","74,308","190,116","306,185","131,686","4,832,728","211,206","235,098","1,126,183","741,544","366,687","1,178,868","973,142","990,332","932,245","529,420","842,140","775,852","431,563","1,862,715","1,702,525","788,960","1,137,541","975,802","402,067","51,070","26,686","36,248","41,221","62,154","81,469"
Michigan ,2018,"961,804","119,326","299,460","435,811","107,207","6,869,846","189,891","422,533","1,972,855","1,594,947","657,727","1,239,251","792,642","1,291,353","1,194,201","434,664","1,165,562","1,064,515","408,231","2,692,478","2,475,804","763,281","1,720,453","1,522,902","425,717","39,208","22,405","30,274","35,414","52,352","71,057"
Minnesota ,2018,"499,903","60,703","142,615","225,699","70,886","3,809,229","101,742","151,063","921,287","791,496","445,513","920,850","477,278","759,541","716,635","327,902","714,967","662,043","299,607","1,446,087","1,363,346","507,286","888,634","814,400","263,333","45,120","27,244","33,173","40,837","57,806","73,062"
Mississippi ,2018,"303,525","43,283","87,244","152,271","20,727","1,977,283","100,599","187,996","589,363","440,256","200,375","284,701","173,993","379,027","335,585","91,866","380,696","335,252","100,089","743,137","638,820","167,753","474,423","379,031","98,986","33,417","21,680","27,238","31,695","42,497","55,339"
Missouri ,2018,"565,939","70,184","177,159","258,949","59,647","4,182,787","119,915","278,462","1,270,247","937,269","341,000","754,906","480,988","819,132","764,037","283,506","742,343","678,580","259,787","1,586,238","1,441,335","450,748","1,035,074","900,458","241,853","37,641","24,461","30,417","34,718","50,659","61,244"
Montana ,2018,"96,579","12,953","32,317","40,433","10,876","735,761","13,375","31,704","205,496","180,384","71,397","152,448","80,957","133,976","128,346","43,388","128,663","121,995","46,887","272,883","256,694","82,591","200,239","183,647","60,539","34,949","20,339","27,583","31,601","42,224","56,959"
Nebraska ,2018,"187,942","20,380","56,356","86,365","24,841","1,266,440","47,660","60,686","326,400","283,318","137,646","269,675","141,055","256,755","239,172","99,272","244,896","221,118","95,170","460,791","423,509","138,624","303,998","274,295","77,664","40,310","29,051","30,587","36,808","50,032","62,451"
Nevada ,2018,"248,598","38,971","102,820","92,905","13,902","2,096,574","110,045","164,010","581,662","542,405","176,618","339,675","182,159","442,713","392,557","103,950","405,128","347,588","106,128","773,613","666,619","185,908","475,120","415,755","125,848","37,600","28,814","32,039","38,018","48,779","67,845"
New Hampshire ,2018,"127,582","11,694","44,629","53,217","18,042","970,748","23,689","42,821","269,202","178,227","99,230","217,282","140,297","167,822","157,983","65,105","154,965","146,890","64,401","402,805","379,118","143,712","245,156","220,247","84,361","45,069","27,551","35,200","41,801","57,015","70,885"
New Jersey ,2018,"768,272","81,481","220,196","329,304","137,291","6,189,243","290,326","317,170","1,629,398","1,018,104","409,253","1,535,321","989,671","1,151,093","1,075,852","543,499","1,147,591","1,043,032","546,641","2,452,270","2,241,754","983,771","1,438,289","1,221,109","451,081","50,913","24,963","34,431","42,079","65,658","89,332"
New Mexico ,2018,"198,710","35,131","62,919","88,342","12,318","1,416,481","84,348","122,340","370,023","334,577","113,481","221,735","169,977","279,153","246,200","64,864","256,261","218,957","70,530","512,587","438,079","139,487","368,480","306,557","116,831","32,779","20,626","26,953","30,800","45,861","61,635"
New York ,2018,"1,805,181","198,475","490,266","811,447","304,993","13,672,343","827,890","929,474","3,546,789","2,083,151","1,193,573","2,846,770","2,244,696","2,872,898","2,627,987","1,332,263","2,433,825","2,165,621","1,055,215","5,153,555","4,497,635","1,757,571","3,212,065","2,623,736","946,417","45,764","23,749","32,286","40,458","60,985","77,469"
North Carolina ,2018,"984,618","125,413","310,896","437,468","110,841","7,102,144","305,097","529,783","1,802,360","1,497,087","701,016","1,454,678","812,123","1,382,310","1,255,301","476,238","1,310,404","1,158,407","484,117","2,720,856","2,422,801","852,609","1,688,574","1,430,755","453,837","36,882","22,784","28,401","33,982","49,295","62,888"
North Dakota ,2018,"84,584","5,476","23,147","47,660","8,301","500,779","16,988","21,520","129,495","109,451","74,715","110,664","37,946","116,734","108,575","41,506","90,872","86,827","36,178","176,740","166,024","44,793","116,433","100,845","26,133","44,738","29,625","36,576","42,018","50,976","64,310"
Ohio ,2018,"1,071,971","138,294","370,760","446,572","116,345","8,027,035","218,264","528,136","2,625,971","1,638,319","690,735","1,431,014","894,596","1,533,104","1,418,627","517,998","1,396,763","1,282,246","479,184","3,101,005","2,848,126","866,870","1,996,163","1,731,636","461,558","40,052","22,929","31,372","35,933","52,613","67,945"
Oklahoma ,2018,"379,146","60,112","131,449","159,987","27,598","2,607,613","98,813","202,447","816,934","613,877","207,381","434,570","233,591","542,736","493,229","141,885","492,077","436,294","139,418","953,199","836,900","234,505","619,601","539,930","152,353","35,989","24,881","30,193","34,382","46,162","58,154"
Oregon ,2018,"365,745","48,987","116,892","162,533","37,333","2,952,380","106,364","173,561","655,811","744,593","269,508","621,190","381,353","592,655","543,991","209,018","556,833","494,859","215,217","1,063,281","955,420","342,402","739,611","678,185","235,906","40,148","26,327","31,098","36,161","51,699","69,381"
Pennsylvania ,2018,"1,164,816","138,423","413,608","458,536","154,249","8,994,627","279,306","532,792","3,113,998","1,432,404","773,645","1,723,226","1,139,256","1,695,073","1,576,448","676,063","1,496,113","1,379,181","583,201","3,471,072","3,191,231","1,033,458","2,332,369","2,035,669","569,760","41,258","26,096","31,870","37,372","52,668","71,209"
Rhode Island ,2018,"112,712","9,765","36,940","49,464","16,543","740,695","34,642","45,944","210,606","133,241","61,601","147,507","107,154","146,349","139,280","56,847","123,137","112,620","44,146","288,564","256,815","98,159","182,645","151,394","55,509","45,283","30,423","35,673","41,218","56,513","71,954"
South Carolina ,2018,"487,363","64,872","162,488","217,001","43,002","3,492,355","125,417","278,074","1,043,630","701,181","354,718","627,144","362,191","654,355","592,739","202,609","623,363","559,396","192,636","1,314,883","1,175,187","356,829","899,754","761,542","237,261","35,650","21,180","27,686","32,980","49,131","58,079"
South Dakota ,2018,"84,922","12,103","25,306","38,299","9,214","582,850","16,315","28,842","180,511","115,946","70,838","117,943","52,455","116,300","107,821","40,289","105,167","98,509","36,096","215,025","199,493","56,508","146,358","131,870","37,505","36,836","24,899","31,037","35,984","45,177","56,641"
Tennessee ,2018,"619,812","76,729","215,102","264,531","63,450","4,640,823","206,601","358,348","1,477,132","975,251","348,066","801,616","473,809","914,783","842,338","286,898","846,438","758,533","266,300","1,774,805","1,567,041","468,194","1,104,797","907,962","254,033","36,410","22,122","30,074","33,760","48,256","61,543"
Texas ,2018,"2,825,264","407,231","967,913","1,193,882","256,238","18,477,097","1,478,739","1,485,230","4,627,856","3,949,496","1,334,999","3,627,047","1,973,730","4,181,960","3,727,676","1,312,561","3,910,623","3,294,253","1,294,156","6,784,915","5,611,068","2,007,952","3,599,599","2,880,131","986,108","39,909","24,047","30,804","37,027","55,437","71,167"
Utah ,2018,"357,372","40,749","110,825","180,457","25,341","1,871,902","47,361","94,721","423,407","462,160","191,808","427,561","224,884","463,344","431,335","158,170","437,953","401,520","167,713","619,308","572,452","208,897","351,297","324,513","117,665","41,127","27,432","33,406","37,148","49,238","72,603"
Vermont ,2018,"64,948","4,987","22,568","28,631","8,762","445,824","8,286","20,617","127,349","78,850","38,133","103,068","69,521","75,058","72,485","34,574","70,113","66,215","30,071","176,778","166,020","64,297","123,875","112,201","43,647","39,521","29,376","31,453","36,907","43,198","60,524"
Virginia ,2018,"826,038","85,714","265,174","363,726","111,424","5,822,007","229,799","358,586","1,398,061","1,091,538","453,566","1,296,041","994,416","1,170,188","1,093,068","486,362","1,114,566","1,018,421","505,985","2,219,028","2,006,131","863,494","1,318,225","1,116,002","434,616","45,865","24,900","31,831","39,440","60,105","82,600"
Washington ,2018,"658,589","86,292","206,783","288,532","76,982","5,215,063","179,951","257,533","1,133,822","1,197,203","533,450","1,187,508","725,596","1,153,369","1,067,962","453,954","1,006,328","909,625","410,935","1,891,379","1,731,724","652,115","1,163,987","1,068,268","396,100","46,329","28,613","35,865","40,755","61,135","80,520"
West Virginia ,2018,"161,826","21,099","60,694","65,502","14,531","1,280,781","50,504","106,081","508,339","246,501","96,253","163,614","109,489","209,002","192,401","56,349","218,803","200,156","50,028","491,760","433,772","100,301","361,216","297,867","66,425","33,375","24,872","30,250","31,250","41,804","55,120"
Wisconsin ,2018,"549,441","59,092","172,028","250,259","68,062","3,992,022","108,021","207,198","1,222,475","817,650","438,602","775,533","422,543","735,765","688,245","258,714","706,676","656,723","253,274","1,563,098","1,443,656","443,342","986,483","888,179","242,746","41,273","28,345","32,708","38,747","51,879","65,974"
Wyoming ,2018,"51,505","8,383","18,836","20,331","3,955","393,136","7,237","19,072","113,351","103,804","44,089","66,449","39,134","77,254","72,189","21,194","72,405","67,651","22,916","146,920","139,529","37,502","96,557","87,458","23,971","40,159","25,838","35,160","35,766","47,980","57,555"
