state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
Alabama ,2015,468319.0,0.15158898101507734,0.319466005009406,0.45414343641833876,0.07480157755717791,3282252.0,0.048390556240044943,0.10299392002807828,0.31017210134992684,0.21569916021073338,0.08117962910830734,0.15374383197877556,0.0878208010841337,624472.0,0.8690365620876517,0.2580259803481982,612193.0,0.8634531920489127,0.27049312880088466,1283740.0,0.858913798744294,0.23758860828516679,761847.0,0.8026007846719879,0.21152541127024194,32468.0,20732.0,27223.0,30878.0,46740.0,56164.0
Alaska ,2015,82518.0,0.15059744540585085,0.380716934487021,0.4106013233476332,0.0580842967594949,469523.0,0.025815561750968535,0.047910326011718275,0.2727278535875772,0.2754412456897745,0.08117387220647337,0.1871452516703122,0.10978588908317591,118778.0,0.9288504605229925,0.2834531647274748,91656.0,0.9402221349393384,0.2926376887492363,188081.0,0.935942492862118,0.30590543436072754,71008.0,0.8783517350157729,0.3012477467327625,41968.0,21923.0,33815.0,41036.0,52885.0,70590.0
Arizona ,2015,669583.0,0.17053449684355784,0.30363972800982103,0.4521874061916148,0.07363836895500632,4536954.0,0.059801355711342895,0.07927278962934163,0.2448495179805658,0.25469841660285736,0.08422082304559403,0.1738904560196114,0.1032666410106869,914761.0,0.8695954462422425,0.26350817317310204,845274.0,0.8391787751663957,0.28720627867413406,1656915.0,0.8652387117021694,0.27870952945685207,1120004.0,0.8638772718668862,0.27842400562855135,35016.0,20377.0,27947.0,33632.0,49801.0,60884.0
Arkansas ,2015,284441.0,0.12765037389124634,0.31694797866692914,0.48342186956170174,0.07197977788012276,1987819.0,0.053297106024240634,0.09262714563046233,0.3413047163750824,0.22682447446170903,0.0679282168044475,0.14034225450103857,0.0776760862030195,385391.0,0.8864114626444313,0.2413989947871123,367499.0,0.878658173219519,0.2508414988884323,756815.0,0.8599049965975832,0.21010947193171384,478114.0,0.7998887294661943,0.18646180618011604,30983.0,21608.0,26241.0,30020.0,42828.0,55490.0
California ,2015,3943137.0,0.12446410053721187,0.2958307053495732,0.4829527860685541,0.09675240804466088,26085263.0,0.09901211270133638,0.07900066025786284,0.20816661882995008,0.21480630653407634,0.07639190756865284,0.20263372464368098,0.11998866946444052,5832712.0,0.8706394212503549,0.3403493949298371,5190370.0,0.8132098482381795,0.34702208127744266,9872623.0,0.8123386257127412,0.31059992871195424,5189558.0,0.7944397191437113,0.30116649626037517,37476.0,20880.0,29108.0,36161.0,57282.0,80442.0
Colorado ,2015,527949.0,0.13375913203737483,0.2987599180981496,0.4561936853749131,0.11128726448956244,3671853.0,0.036922229729784935,0.05127656254212791,0.21705226216844736,0.22033480098467995,0.08203024467482767,0.24756764500103898,0.1448162548990932,827137.0,0.9210674894243638,0.39283335166967503,737989.0,0.8991963294845858,0.4323682331308461,1395155.0,0.9215893574549064,0.38614920922764856,711572.0,0.894911547952983,0.36261685395153265,40229.0,25304.0,31280.0,35392.0,50196.0,63270.0
Connecticut ,2015,352843.0,0.1076427759655144,0.2765110828328747,0.468466144999334,0.14737999620227693,2474718.0,0.04233694505798236,0.055560269897418614,0.27434075316864387,0.16871417268553426,0.07595612914279526,0.2165632609452875,0.16652846910233812,442776.0,0.9221457350895261,0.4374762859775598,432504.0,0.9190481475315835,0.4180331280173131,1034155.0,0.9186785346490614,0.38345799227388544,565283.0,0.8431139800772357,0.31308919603101454,46500.0,22595.0,35288.0,40982.0,61071.0,77568.0
Delaware ,2015,89098.0,0.1411255022559429,0.30685312801634157,0.44219847808031604,0.10982289164739949,652636.0,0.037834259832433395,0.07303152139937116,0.2984971714707739,0.20070299523777418,0.08052880932096912,0.1801632150233821,0.1292420277152961,124348.0,0.879925692411619,0.3287226171711648,110727.0,0.8898191046447569,0.35304848862517724,256737.0,0.9092261730876344,0.31087455255767577,160824.0,0.8637081530119882,0.2620753121424663,40734.0,25297.0,30752.0,36993.0,52261.0,65967.0
Florida ,2015,1774002.0,0.16399135964897446,0.2970160123833006,0.45119509448129147,0.0877975334864335,14394281.0,0.05210770861010703,0.07163949349050501,0.2919130868710983,0.20391758365700935,0.09611907673610096,0.18204028391553562,0.10226276671964372,2593253.0,0.8969468077353039,0.2907279004401036,2463472.0,0.8864606539063565,0.30689612059727084,5392323.0,0.8858901812817963,0.28296172169211675,3945233.0,0.8431040701525107,0.2678057290912856,31662.0,19735.0,25474.0,31137.0,42714.0,57128.0
Georgia ,2015,1028679.0,0.16406089752002326,0.3186173723775833,0.43695360749077217,0.08036812261162131,6683767.0,0.049689942812189594,0.08881518461071429,0.28117407444035675,0.20686059223788023,0.07421084547082506,0.18618976394599035,0.11305959648204374,1383268.0,0.8743482824730999,0.3076330833938181,1388193.0,0.8687459164539801,0.3330667997893665,2609547.0,0.8789996884516738,0.3014956235699146,1302759.0,0.8050568063624969,0.24981289708994525,35014.0,20592.0,26802.0,31750.0,49696.0,61443.0
