state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2014,484011.000,0.161,0.325,0.446,0.068,3256766.000,0.051,0.102,0.316,0.218,0.079,0.147,0.088,615948.000,0.863,0.251,613234.000,0.875,0.262,1281072.000,0.868,0.240,746512.000,0.775,0.190,31507.000,17583.000,25693.000,30662.000,45874.000,55873.000
Alaska ,2014,84814.000,0.145,0.373,0.412,0.070,465149.000,0.027,0.044,0.284,0.283,0.082,0.184,0.096,113774.000,0.933,0.242,93083.000,0.953,0.306,188393.000,0.940,0.281,69899.000,0.858,0.304,45182.000,26163.000,35963.000,41783.000,56042.000,71806.000
Arizona ,2014,673187.000,0.170,0.317,0.444,0.069,4436226.000,0.064,0.075,0.243,0.257,0.085,0.173,0.103,895519.000,0.870,0.260,839439.000,0.842,0.295,1630511.000,0.867,0.276,1070757.000,0.857,0.273,33957.000,19554.000,27120.000,32971.000,46407.000,60458.000
Arkansas ,2014,291815.000,0.142,0.327,0.456,0.074,1968414.000,0.056,0.090,0.349,0.228,0.063,0.138,0.075,378309.000,0.891,0.241,374567.000,0.868,0.238,750526.000,0.873,0.211,465012.000,0.780,0.177,30727.000,20961.000,25749.000,29634.000,43020.000,55818.000
California ,2014,3996629.000,0.130,0.288,0.488,0.095,25654292.000,0.100,0.079,0.209,0.217,0.078,0.200,0.118,5722924.000,0.864,0.332,5184418.000,0.813,0.337,9756858.000,0.816,0.309,4990092.000,0.789,0.295,36900.000,19839.000,27664.000,36015.000,55900.000,77653.000
Colorado ,2014,524258.000,0.127,0.278,0.483,0.112,3584463.000,0.041,0.053,0.219,0.221,0.082,0.241,0.143,798685.000,0.901,0.377,724786.000,0.903,0.429,1381420.000,0.918,0.385,679572.000,0.888,0.340,39341.000,23004.000,30568.000,35329.000,48818.000,64861.000
Connecticut ,2014,349983.000,0.118,0.299,0.443,0.141,2471818.000,0.042,0.058,0.275,0.171,0.075,0.213,0.167,438421.000,0.917,0.409,441421.000,0.909,0.435,1036448.000,0.921,0.386,555528.000,0.843,0.304,45481.000,22153.000,32916.000,40502.000,61087.000,76885.000
Delaware ,2014,91429.000,0.153,0.310,0.452,0.085,640343.000,0.034,0.077,0.312,0.192,0.079,0.183,0.123,121964.000,0.882,0.335,111621.000,0.905,0.355,252999.000,0.904,0.300,153759.000,0.862,0.257,39259.000,24636.000,31910.000,35851.000,51577.000,62490.000
Florida ,2014,1798078.000,0.165,0.302,0.451,0.082,14041196.000,0.052,0.076,0.296,0.207,0.097,0.174,0.098,2512629.000,0.890,0.278,2432609.000,0.885,0.293,5305004.000,0.886,0.273,3790954.000,0.833,0.256,31171.000,18716.000,25206.000,30779.000,43378.000,56526.000
Georgia ,2014,1029514.000,0.169,0.320,0.429,0.082,6576408.000,0.054,0.090,0.284,0.211,0.070,0.182,0.108,1375152.000,0.866,0.299,1384956.000,0.868,0.323,2567430.000,0.876,0.297,1248870.000,0.793,0.232,33708.000,20061.000,26197.000,31393.000,48679.000,61176.000
Hawaii ,2014,136621.000,0.085,0.394,0.446,0.075,974586.000,0.040,0.043,0.285,0.217,0.105,0.206,0.105,210810.000,0.942,0.292,176248.000,0.958,0.354,359467.000,0.930,0.320,228061.000,0.842,0.278,37399.000,23579.000,30509.000,36132.000,49725.000,62707.000
Idaho ,2014,158006.000,0.141,0.349,0.455,0.055,1045193.000,0.039,0.060,0.282,0.276,0.093,0.168,0.083,211307.000,0.909,0.235,202500.000,0.893,0.290,396407.000,0.909,0.249,234979.000,0.888,0.231,30478.000,22514.000,24752.000,28029.000,41423.000,56784.000
