state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
Alabama ,2019,457530.0,0.12338863025375385,0.3469958254103556,0.4531265709352392,0.07648897340065132,3360058.0,0.038785044781965074,0.0901035041657019,0.30929257768764706,0.208470508544793,0.08985380609501384,0.16308498246161227,0.10040957626326688,637403.0,0.8931225613936552,0.2745437344976412,605739.0,0.8784459973685036,0.29640818900549576,1262604.0,0.8791893578667579,0.2636321443619694,854312.0,0.8375499817396923,0.23171042897676727,37217.0,22395.0,30845.0,35107.0,50643.0,60922.0
Alaska ,2019,67738.0,0.12470105406123594,0.40114854291535035,0.428075821547728,0.04607458147568573,484058.0,0.02153460948894554,0.042693230976453236,0.28747794685760797,0.256706840915758,0.08964628205710885,0.18506666556487034,0.11687442413925604,117978.0,0.9243757310685043,0.2591839156452898,93035.0,0.9508787015639275,0.35005105605417314,182457.0,0.9409833549822698,0.30226847969658605,90588.0,0.9246037002693513,0.3075572923566035,47809.0,23264.0,36522.0,47878.0,53033.0,71947.0
Arizona ,2019,694529.0,0.1454050154853145,0.3552738618545806,0.3986298628279021,0.10069125983220283,4944540.0,0.051058136853984394,0.07291659082543574,0.2367631771610706,0.25014359273056747,0.08733957051616531,0.18829618124234004,0.11348275067043648,1001594.0,0.8867994416899462,0.28157616758886334,898533.0,0.8659092097897351,0.3223832624956457,1737172.0,0.8696801468133265,0.29649050295537804,1307241.0,0.8831554395861206,0.3101233819930678,39956.0,25701.0,31371.0,37016.0,52077.0,69902.0
Arkansas ,2019,282336.0,0.11784894593675621,0.34498611583361666,0.4469709849257622,0.0901939533038649,2036456.0,0.04634325514521306,0.07887084228679628,0.34879516179087594,0.21805135981332274,0.07451081683080803,0.15084293498116336,0.08258562915182062,386602.0,0.9102022234753053,0.2564911717994216,377184.0,0.8931423390175617,0.273200878086027,748433.0,0.8765206772015665,0.22157360779121177,524237.0,0.8329839366546047,0.20472992177202295,35215.0,25695.0,30057.0,31778.0,46964.0,62027.0
California ,2019,3683287.0,0.09985157279354012,0.3125507189637951,0.47155733452212656,0.1160403737205382,26937872.0,0.08709800833562503,0.0725847238415863,0.2059075416202141,0.20574646727848436,0.07865476530588608,0.2186410270269307,0.13136746659127344,6036052.0,0.90351408503439,0.38243474376960307,5298911.0,0.8450823197445664,0.38161407126860597,9767911.0,0.8163438426087215,0.32911468992704784,5834998.0,0.8107476643522414,0.3227397850007832,45095.0,25949.0,33494.0,41090.0,65078.0,92334.0
Colorado ,2019,527473.0,0.12429261782119654,0.31841440225376466,0.4200385612154556,0.13725441870958324,3974943.0,0.03212674999364771,0.04390452894544651,0.21046591108350485,0.20266202559382612,0.08426812661213004,0.2661233129632299,0.16044934480821485,907627.0,0.9379701132734042,0.4444612158959573,805306.0,0.9126679796251362,0.4569505256387013,1416632.0,0.9249325159956855,0.4185377712772265,845378.0,0.9180863471725075,0.3918933305574548,46887.0,30968.0,35537.0,40819.0,58229.0,71616.0
Connecticut ,2019,341435.0,0.10297714059777117,0.29925168772972893,0.4324952040651954,0.16527596760730445,2496420.0,0.03970966423919052,0.053158923578564506,0.26772778618982385,0.16462454234463753,0.07638938960591567,0.21998141338396585,0.17840828065790212,444509.0,0.9339923376129617,0.44432846129099746,426967.0,0.9152979035850546,0.45183117196410966,995912.0,0.9164122934556467,0.39033770051972466,629032.0,0.8679129201694031,0.34240070457464805,50788.0,24426.0,37017.0,42884.0,64143.0,85175.0
Delaware ,2019,82507.0,0.11166325281491267,0.32559661604469925,0.46260317306410365,0.10013695807628444,687311.0,0.03480956946709714,0.061976310578471756,0.3021077794477318,0.18632467689299312,0.08276457091476784,0.19538025726345135,0.136636835435487,128412.0,0.9119396941095848,0.32841167492134693,113704.0,0.8761081404348132,0.37762963484134243,255557.0,0.9153456958721538,0.33925895201461903,189638.0,0.897209420052943,0.29735074193990657,43164.0,31024.0,33671.0,38048.0,56603.0,70579.0
Florida ,2019,1761280.0,0.14344454033430232,0.32133732285610467,0.4287433003270349,0.10647483648255814,15484502.0,0.04603079905314359,0.06986798800503885,0.28390464220289424,0.19383129015062933,0.09937206892414105,0.19262117696778366,0.1143720346963693,2768060.0,0.9065681379738878,0.3103559893932935,2612250.0,0.8887713656809264,0.33929409512872044,5605994.0,0.8901083376114922,0.3022149149642329,4498198.0,0.8600770797550485,0.2921207559115895,36021.0,23292.0,30064.0,34752.0,47810.0,62425.0
Georgia ,2019,1034172.0,0.14994894466297676,0.34366913820911804,0.4064343262049253,0.09994759092297993,7080222.0,0.045186295006004046,0.07571739982164401,0.2739949397066928,0.1997894981259062,0.08024183422497204,0.19920208716619336,0.1258679459485875,1458596.0,0.90595339627971,0.34679582283236754,1401934.0,0.8747893980743744,0.3563577172677173,2696500.0,0.8864709809011682,0.32933803078064156,1523192.0,0.8442868660024475,0.2679130405096665,40312.0,25479.0,31184.0,35846.0,53662.0,70027.0
