state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
Alabama ,2015,468319.0,0.152,0.319,0.454,0.075,3282252.0,0.048,0.103,0.31,0.216,0.081,0.154,0.088,624472.0,0.869,0.258,612193.0,0.863,0.27,1283740.0,0.859,0.238,761847.0,0.803,0.212,1.0,20732.0,27223.0,30878.0,46740.0,56164.0
Alaska ,2015,82518.0,0.151,0.381,0.411,0.058,469523.0,0.026,0.048,0.273,0.275,0.081,0.187,0.11,118778.0,0.929,0.283,91656.0,0.94,0.293,188081.0,0.936,0.306,71008.0,0.878,0.301,1.0,21923.0,33815.0,41036.0,52885.0,70590.0
Arizona ,2015,669583.0,0.171,0.304,0.452,0.074,4536954.0,0.06,0.079,0.245,0.255,0.084,0.174,0.103,914761.0,0.87,0.264,845274.0,0.839,0.287,1656915.0,0.865,0.279,1120004.0,0.864,0.278,1.0,20377.0,27947.0,33632.0,49801.0,60884.0
Arkansas ,2015,284441.0,0.128,0.317,0.483,0.072,1987819.0,0.053,0.093,0.341,0.227,0.068,0.14,0.078,385391.0,0.886,0.241,367499.0,0.879,0.251,756815.0,0.86,0.21,478114.0,0.8,0.186,1.0,21608.0,26241.0,30020.0,42828.0,55490.0
California ,2015,3943137.0,0.124,0.296,0.483,0.097,26085263.0,0.099,0.079,0.208,0.215,0.076,0.203,0.12,5832712.0,0.871,0.34,5190370.0,0.813,0.347,9872623.0,0.812,0.311,5189558.0,0.794,0.301,1.0,20880.0,29108.0,36161.0,57282.0,80442.0
Colorado ,2015,527949.0,0.134,0.299,0.456,0.111,3671853.0,0.037,0.051,0.217,0.22,0.082,0.248,0.145,827137.0,0.921,0.393,737989.0,0.899,0.432,1395155.0,0.922,0.386,711572.0,0.895,0.363,1.0,25304.0,31280.0,35392.0,50196.0,63270.0
Connecticut ,2015,352843.0,0.108,0.277,0.468,0.147,2474718.0,0.042,0.056,0.274,0.169,0.076,0.217,0.167,442776.0,0.922,0.437,432504.0,0.919,0.418,1034155.0,0.919,0.383,565283.0,0.843,0.313,1.0,22595.0,35288.0,40982.0,61071.0,77568.0
Delaware ,2015,89098.0,0.141,0.307,0.442,0.11,652636.0,0.038,0.073,0.298,0.201,0.081,0.18,0.129,124348.0,0.88,0.329,110727.0,0.89,0.353,256737.0,0.909,0.311,160824.0,0.864,0.262,1.0,25297.0,30752.0,36993.0,52261.0,65967.0
Florida ,2015,1774002.0,0.164,0.297,0.451,0.088,14394281.0,0.052,0.072,0.292,0.204,0.096,0.182,0.102,2593253.0,0.897,0.291,2463472.0,0.886,0.307,5392323.0,0.886,0.283,3945233.0,0.843,0.268,1.0,19735.0,25474.0,31137.0,42714.0,57128.0
Georgia ,2015,1028679.0,0.164,0.319,0.437,0.08,6683767.0,0.05,0.089,0.281,0.207,0.074,0.186,0.113,1383268.0,0.874,0.308,1388193.0,0.869,0.333,2609547.0,0.879,0.301,1302759.0,0.805,0.25,1.0,20592.0,26802.0,31750.0,49696.0,61443.0
Hawaii ,2015,134483.0,0.063,0.384,0.472,0.081,985914.0,0.041,0.051,0.271,0.216,0.107,0.208,0.106,216396.0,0.953,0.314,177777.0,0.923,0.346,354588.0,0.923,0.315,237153.0,0.836,0.288,1.0,25396.0,31995.0,36558.0,46167.0,65094.0
Idaho ,2015,156767.0,0.139,0.344,0.464,0.052,1065982.0,0.037,0.063,0.275,0.27,0.096,0.178,0.082,216810.0,0.903,0.251,204505.0,0.898,0.297,401403.0,0.911,0.255,243264.0,0.881,0.245,1.0,20974.0,26002.0,29633.0,42661.0,57829.0
Illinois ,2015,1237872.0,0.125,0.289,0.461,0.125,8661938.0,0.053,0.062,0.267,0.208,0.081,0.203,0.127,1773212.0,0.914,0.4,1672605.0,0.89,0.374,3387896.0,0.895,0.317,1828225.0,0.836,0.243,1.0,22052.0,29773.0,35823.0,52369.0,70580.0
Indiana ,2015,676373.0,0.16,0.313,0.434,0.094,4363573.0,0.038,0.08,0.343,0.206,0.083,0.16,0.09,842022.0,0.886,0.294,822598.0,0.899,0.286,1733629.0,0.899,0.245,965324.0,0.835,0.188,1.0,21431.0,30137.0,32335.0,46884.0,60699.0
Iowa ,2015,320642.0,0.109,0.261,0.531,0.099,2074504.0,0.032,0.051,0.321,0.214,0.114,0.182,0.087,392752.0,0.932,0.335,368059.0,0.924,0.336,812541.0,0.929,0.249,501152.0,0.883,0.197,1.0,24854.0,30734.0,34482.0,46518.0,61206.0
Kansas ,2015,302928.0,0.125,0.297,0.489,0.089,1888479.0,0.038,0.059,0.265,0.236,0.084,0.204,0.114,384499.0,0.9,0.356,347230.0,0.902,0.352,730698.0,0.917,0.315,426052.0,0.882,0.257,1.0,23174.0,28715.0,33462.0,46436.0,59574.0
Kentucky ,2015,425719.0,0.142,0.348,0.435,0.075,2988790.0,0.062,0.087,0.335,0.204,0.079,0.136,0.097,561502.0,0.905,0.275,563472.0,0.888,0.272,1189688.0,0.859,0.221,674128.0,0.762,0.186,1.0,19482.0,27326.0,31285.0,45058.0,53986.0
Louisiana ,2015,459284.0,0.167,0.328,0.431,0.074,3095255.0,0.052,0.102,0.341,0.211,0.061,0.152,0.08,670600.0,0.87,0.265,578072.0,0.863,0.253,1192975.0,0.856,0.221,653608.0,0.788,0.201,1.0,20694.0,28713.0,31959.0,46367.0,57131.0
Maine ,2015,112229.0,0.12,0.311,0.474,0.096,961240.0,0.028,0.055,0.327,0.192,0.097,0.195,0.106,151964.0,0.931,0.326,152672.0,0.953,0.337,406036.0,0.927,0.277,250568.0,0.872,0.304,1.0,20130.0,27259.0,32010.0,41214.0,54528.0
Maryland ,2015,556183.0,0.11,0.287,0.464,0.139,4102486.0,0.042,0.061,0.251,0.192,0.065,0.211,0.177,834133.0,0.906,0.404,769729.0,0.907,0.441,1651639.0,0.912,0.387,846985.0,0.846,0.326,1.0,25074.0,34243.0,41290.0,60745.0,81087.0
Massachusetts ,2015,700584.0,0.102,0.275,0.45,0.173,4706644.0,0.045,0.052,0.252,0.159,0.077,0.231,0.184,941776.0,0.936,0.509,838603.0,0.919,0.462,1882039.0,0.911,0.398,1044226.0,0.844,0.321,1.0,23077.0,32480.0,38797.0,57285.0,74405.0
Michigan ,2015,986405.0,0.13,0.289,0.484,0.097,6728347.0,0.03,0.069,0.294,0.237,0.092,0.17,0.108,1221558.0,0.912,0.316,1175407.0,0.912,0.322,2760741.0,0.916,0.267,1570641.0,0.859,0.234,1.0,20106.0,26835.0,31865.0,49839.0,66580.0
Minnesota ,2015,505761.0,0.132,0.275,0.465,0.129,3700935.0,0.03,0.042,0.254,0.215,0.112,0.229,0.118,745711.0,0.934,0.407,675937.0,0.93,0.4,1474329.0,0.943,0.335,804958.0,0.892,0.268,1.0,22801.0,31311.0,36845.0,51601.0,67260.0
Mississippi ,2015,311989.0,0.158,0.289,0.492,0.062,1952337.0,0.058,0.108,0.31,0.224,0.092,0.13,0.079,373921.0,0.875,0.231,385487.0,0.863,0.222,751968.0,0.84,0.197,440961.0,0.767,0.196,1.0,21833.0,26411.0,30679.0,39960.0,51111.0
