Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Alabama Total Estimate,,"488,344","58,089","176,620","208,994","44,641","3,474,924","118,034","271,263","1,057,155","716,144","311,537","609,316","391,475","3,085,627","1,000,791","652,152","599,976","196,612","632,416","562,939","202,288","1,277,343","1,132,566","365,267","913,013","790,146","236,624",,"2,362,687","2,137,696","746,519","2,337,965","2,118,843","740,940","858,405","745,172","179,862","15,599","11,678","3,018","55,304","48,383","29,403",N,N,N,"51,099","33,966","8,108","129,510","107,384","33,444","119,827","82,613","22,829",,(X),(X),(X),(X),,"42,463","28,515","34,127","39,501","56,640","70,732"
Alaska Total Estimate,,"68,620","7,801","33,068","22,097","5,654","489,218","10,950","21,719","142,455","116,078","48,370","94,168","55,478","456,549","149,646","113,900","106,921","34,079","104,911","98,920","33,975","168,933","156,577","51,058","101,474","94,131","30,534",,"316,769","303,611","118,374","307,835","295,451","115,654","14,497","13,801","2,447","54,992","46,557","4,049","32,643","27,198","8,119","8,092","7,641",556,"9,978","8,957","2,509","52,247","48,784","13,592","31,331","28,218","7,928",,(X),(X),(X),(X),,"53,582","41,145","40,651","51,499","67,321","89,202"
Arizona Total Estimate,,"717,938","102,059","256,195","281,101","78,583","5,053,656","241,467","306,781","1,202,946","1,160,936","475,387","1,032,052","634,087","4,505,408","1,666,139","1,018,691","925,086","335,555","926,470","818,205","323,779","1,726,541","1,517,145","558,646","1,381,954","1,244,972","448,159",,"3,185,361","3,019,102","1,221,726","2,951,329","2,819,402","1,169,499","220,001","200,496","65,068","182,075","147,868","26,195","189,217","171,103","109,573","10,564","9,040","1,875","471,959","347,699","71,072","794,479","610,100","170,630","1,367,319","1,026,097","235,771",,(X),(X),(X),(X),,"48,738","31,966","38,547","45,115","63,471","76,587"
Arkansas Total Estimate,,"292,181","37,246","109,301","117,675","27,959","2,057,624","82,740","140,697","705,670","438,076","167,634","323,961","198,846","1,834,187","522,807","385,877","357,964","106,886","387,640","349,937","116,022","745,265","655,777","178,560","538,842","470,509","121,339",,"1,501,745","1,367,785","408,200","1,480,304","1,352,177","405,282","277,314","246,485","50,806","13,029","10,144","2,017","33,901","30,494","19,424","7,254","4,756",507,"53,267","31,843","5,481","171,114","142,680","36,372","132,546","85,254","16,541",,(X),(X),(X),(X),,"41,385","30,770","34,517","38,814","53,117","68,769"
California Total Estimate,,"3,663,563","339,703","1,308,667","1,553,990","461,203","26,866,773","2,376,805","1,738,878","5,506,855","5,192,854","2,115,440","6,056,169","3,879,772","22,751,090","9,935,941","5,744,459","5,266,591","2,351,604","5,395,388","4,650,072","2,198,152","9,568,024","7,798,413","3,310,766","6,158,902","5,036,014","2,075,419",,"11,402,797","10,710,883","5,180,337","10,260,717","9,809,588","4,915,611","1,486,377","1,352,400","449,911","335,623","245,437","60,350","4,492,618","3,998,178","2,526,242","109,670","96,600","25,885","4,735,909","3,056,617","612,213","4,303,779","3,290,975","1,081,003","9,476,755","6,517,423","1,562,020",,(X),(X),(X),(X),,"52,520","30,843","38,507","47,535","75,688","103,600"
Colorado Total Estimate,,"544,827","59,947","187,892","212,694","84,294","4,084,004","114,089","170,479","823,109","762,179","339,016","1,177,891","697,241","3,799,436","1,875,132","915,942","867,474","455,316","860,355","792,774","425,135","1,392,046","1,280,829","612,473","915,661","858,359","382,208",,"3,025,156","2,917,618","1,541,184","2,851,922","2,773,022","1,497,765","153,229","137,886","49,554","43,839","36,085","9,919","138,000","122,513","79,405","5,111","5,031","2,041","230,314","166,216","41,011","488,355","414,087","152,018","756,981","590,383","163,171",,(X),(X),(X),(X),,"55,648","34,357","42,245","46,542","69,493","84,468"
Connecticut Total Estimate,,"350,593","33,078","99,270","150,389","67,856","2,545,188","100,376","115,659","660,047","405,693","197,009","584,999","481,405","2,329,153","1,066,404","450,510","425,328","212,011","460,313","422,321","210,590","970,653","891,663","401,823","663,712","589,841","241,980",,"1,755,903","1,671,011","816,167","1,696,162","1,625,293","803,410","253,093","221,855","67,856","7,137","5,766",985,"122,184","107,418","79,032",N,N,N,"180,991","132,775","34,623","225,245","189,883","67,619","383,658","291,874","78,102",,(X),(X),(X),(X),,"58,734","31,767","41,610","49,709","75,597","92,566"
Delaware Total Estimate,,"86,128","11,470","33,298","32,364","8,996","724,041","18,944","38,980","204,385","135,691","61,657","151,894","112,490","666,117","264,384","130,563","121,079","51,935","125,307","114,063","50,585","255,991","236,022","88,168","212,180","194,953","73,696",,"469,573","441,875","184,901","463,311","437,135","183,283","148,579","136,881","40,517","2,477","1,627",264,"30,961","28,479","20,899",N,N,N,"22,123","14,894","3,809","50,328","42,361","13,994","56,235","41,501","12,537",,(X),(X),(X),(X),,"50,835","34,578","39,820","44,530","64,139","79,150"
District of Columbia Total Estimate,,"68,328","4,435","13,678","28,522","21,693","479,231","10,203","20,152","64,543","55,085","15,974","126,678","186,596","448,876","313,274","145,253","142,159","113,747","111,221","107,309","81,821","135,403","121,324","75,462","87,354","78,084","42,244",,"198,188","196,985","182,760","191,285","190,316","177,396","196,010","174,541","68,503",N,N,N,"21,641","20,666","18,928",N,N,N,"18,398","13,672","9,857","41,824","39,893","31,178","49,369","43,200","32,452",,(X),(X),(X),(X),,"83,510","26,970","38,599","48,566","83,903","113,205"
Florida Total Estimate,,"1,845,519","229,379","638,736","754,968","222,436","16,104,410","679,435","943,495","4,363,609","2,955,638","1,643,815","3,445,343","2,073,075","14,481,480","5,518,418","2,783,761","2,556,448","1,024,580","2,799,499","2,528,694","1,053,736","5,726,736","5,161,026","1,898,957","4,794,414","4,235,312","1,541,145",,"9,572,436","8,958,164","3,604,728","8,843,669","8,346,355","3,373,688","2,181,928","1,875,061","508,033","55,960","37,889","9,796","476,871","422,594","256,377","8,168","7,196","1,768","977,197","773,520","243,422","2,831,850","2,407,056","894,294","4,073,670","3,349,526","1,176,912",,(X),(X),(X),(X),,"44,036","28,063","34,769","41,565","56,243","74,215"
