Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Georgia Total Estimate,,"1,074,228","151,971","387,826","406,237","128,194","7,332,980","292,438","476,498","1,979,843","1,401,114","638,973","1,519,625","1,024,489","6,564,044","2,544,114","1,483,997","1,364,671","556,176","1,469,050","1,306,503","569,020","2,735,658","2,466,192","939,825","1,644,275","1,426,678","479,093",,"4,006,021","3,691,725","1,526,152","3,914,775","3,621,953","1,500,382","2,209,281","1,987,771","620,430","28,963","18,336","4,025","338,739","294,688","194,956","5,283","4,290",865,"265,352","169,992","44,124","479,341","397,242","153,562","608,227","423,316","131,066",,(X),(X),(X),(X),,"47,625","30,325","35,880","42,139","63,803","78,550"
Hawaii Total Estimate,,"119,487","10,935","51,519","42,119","14,914","1,023,843","32,373","40,369","273,910","200,539","113,948","226,124","136,580","951,101","362,704","190,091","179,314","66,098","192,131","181,699","75,147","346,967","325,240","123,644","294,654","264,848","97,815",,"247,719","238,274","115,337","234,836","226,480","111,511","18,558","18,015","5,895","3,131","2,788",916,"410,126","371,090","154,817","92,988","83,763","13,903","18,994","15,891","5,269","232,327","221,280","66,567","83,996","76,153","22,522",,(X),(X),(X),(X),,"50,993","29,829","41,441","46,737","61,880","79,653"
Idaho Total Estimate,,"194,235","25,593","71,675","80,888","16,079","1,280,178","44,365","57,919","333,105","305,642","125,979","274,409","138,759","1,177,894","413,168","250,343","234,564","84,083","256,103","234,506","91,142","444,202","402,118","136,910","329,530","306,706","101,033",,"1,080,405","1,019,270","368,074","1,054,835","999,977","362,419","7,133","6,438","1,801","15,152","12,082","2,172","18,594","17,122","10,244",N,N,N,"58,176","39,423","6,861","99,409","82,316","23,389","137,932","96,723","20,327",,(X),(X),(X),(X),,"43,844","35,192","37,406","40,546","54,796","72,869"
Illinois Total Estimate,,"1,172,987","124,779","411,110","444,301","192,797","8,692,839","401,489","432,890","2,187,110","1,664,034","731,898","1,952,990","1,322,428","7,858,460","3,275,418","1,689,818","1,598,353","758,624","1,673,268","1,525,068","742,344","3,164,813","2,825,058","1,124,235","2,164,940","1,909,981","650,215",,"5,611,906","5,316,342","2,320,146","5,440,268","5,181,296","2,275,828","1,128,977","994,446","272,038","56,942","40,840","10,971","538,775","495,492","368,757","4,482","2,985",918,"605,383","403,651","93,722","746,374","604,704","208,866","1,336,391","954,420","257,461",,(X),(X),(X),(X),,"51,922","31,826","38,766","44,169","68,489","84,140"
Indiana Total Estimate,,"679,203","98,241","256,463","249,196","75,303","4,584,460","163,963","285,425","1,472,890","880,898","424,272","869,217","487,795","4,135,072","1,357,012","886,951","802,576","302,136","866,145","780,543","305,841","1,673,938","1,515,770","472,617","1,157,426","1,036,183","276,418",,"3,703,422","3,405,606","1,125,792","3,657,772","3,367,865","1,116,919","398,601","347,165","87,379","13,565","10,656","3,109","106,589","92,270","58,522",N,N,N,"125,362","82,803","19,713","235,108","194,975","62,060","275,165","197,709","53,073",,(X),(X),(X),(X),,"46,623","32,019","38,553","44,403","58,609","73,559"
Iowa Total Estimate,,"324,258","33,490","101,453","149,140","40,175","2,159,511","53,334","87,687","637,844","424,541","258,299","463,740","234,066","2,018,490","697,806","401,666","376,339","146,987","405,073","376,887","159,885","763,893","714,403","236,387","588,879","550,861","154,547",,"1,886,205","1,798,537","624,538","1,862,091","1,779,487","619,891","66,842","55,693","10,295","7,464","5,694",917,"51,206","44,142","29,488","3,856","1,835",270,"44,006","28,051","6,895","99,932","84,538","25,403","110,956","77,888","17,474",,(X),(X),(X),(X),,"48,569","32,968","39,439","45,837","58,561","73,926"
Kansas Total Estimate,,"304,047","35,396","104,924","130,090","33,637","1,944,891","69,198","84,983","491,928","429,452","176,787","426,910","265,633","1,790,710","692,543","377,319","352,967","144,309","382,629","351,312","151,774","678,601","618,735","238,781","506,342","467,696","157,679",,"1,547,668","1,467,640","587,502","1,506,295","1,434,339","581,027","98,196","88,072","22,787","16,952","12,523","2,582","58,737","49,164","31,899",N,N,N,"74,083","47,623","12,851","146,092","122,525","34,581","193,898","136,376","29,705",,(X),(X),(X),(X),,"47,295","32,838","36,659","42,026","58,583","70,216"
Kentucky Total Estimate,,"415,931","49,978","171,393","145,880","48,680","3,091,499","132,132","207,927","1,002,671","615,118","272,315","508,620","352,716","2,751,440","861,336","587,159","543,582","190,046","569,323","516,328","189,398","1,143,904","1,023,399","304,341","791,113","668,131","177,551",,"2,644,841","2,371,509","748,263","2,625,709","2,357,000","743,818","222,299","194,521","43,465","3,860","2,490",600,"43,234","36,318","23,967",N,N,N,"36,417","26,066","8,981","139,021","119,047","35,656","95,161","72,302","23,566",,(X),(X),(X),(X),,"43,032","27,314","35,301","40,667","55,682","67,351"
Louisiana Total Estimate,,"435,260","60,146","160,986","176,961","37,167","3,096,121","128,792","264,491","1,006,184","635,109","221,439","525,044","315,062","2,702,838","840,106","592,066","539,647","182,181","611,300","539,909","194,091","1,112,694","960,398","278,323","780,061","662,884","185,511",,"1,890,996","1,717,438","589,986","1,867,010","1,698,763","583,712","901,235","743,930","166,279","19,688","12,901","1,947","58,780","48,018","28,846",N,N,N,"51,210","37,098","8,657","172,353","141,642","44,022","149,863","111,940","35,410",,(X),(X),(X),(X),,"43,207","25,977","33,568","40,916","55,685","65,857"
Maine Total Estimate,,"109,708","9,705","39,802","45,073","15,128","1,030,141","17,176","37,992","310,778","182,869","109,768","229,764","141,794","974,973","371,558","165,876","158,487","63,369","169,999","162,572","73,348","381,373","362,077","124,524","312,893","291,837","110,317",,"949,109","901,871","344,667","944,463","897,366","343,002","12,994","11,176","4,330","5,398","4,521","1,093","11,615","10,167","5,256",N,N,N,"5,533","5,496","2,407","45,307","41,619","13,805","17,585","16,355","5,903",,(X),(X),(X),(X),,"45,966","31,011","36,375","43,898","53,866","69,390"
Maryland Total Estimate,,"531,713","61,251","179,698","200,114","90,650","4,286,216","166,900","201,017","1,009,588","735,131","294,875","996,167","882,538","3,918,299","1,878,705","804,952","756,304","370,204","840,212","765,924","408,094","1,598,273","1,460,600","703,152","1,042,779","935,471","397,255",,"2,212,434","2,096,490","1,087,800","2,170,427","2,061,523","1,071,164","1,263,693","1,162,586","436,311","19,261","14,220","4,899","296,160","270,512","196,103",N,N,N,"238,553","147,529","40,854","253,537","224,384","111,360","393,769","272,143","100,246",,(X),(X),(X),(X),,"61,166","33,805","40,888","50,548","76,711","99,484"
Massachusetts Total Estimate,,"698,602","65,269","211,085","270,517","151,731","4,947,384","215,221","213,531","1,136,350","706,147","368,426","1,252,187","1,055,522","4,518,632","2,307,709","968,621","918,040","556,431","907,291","837,530","472,959","1,811,372","1,650,745","800,410","1,260,100","1,112,317","477,909",,"3,585,701","3,398,023","1,790,858","3,522,567","3,348,668","1,774,192","315,932","278,049","103,249","13,361","10,690","3,829","349,716","299,739","222,589",N,N,N,"261,418","194,443","52,167","420,277","336,779","134,687","527,406","393,124","120,141",,(X),(X),(X),(X),,"62,009","34,472","42,196","49,021","77,137","95,136"
Michigan Total Estimate,,"948,938","109,516","346,112","379,626","113,684","6,978,952","186,608","383,114","1,962,345","1,531,132","673,901","1,361,139","880,713","6,409,230","2,241,852","1,315,373","1,217,550","473,517","1,219,208","1,123,829","451,435","2,566,809","2,366,807","807,646","1,877,562","1,701,044","509,254",,"5,372,861","5,021,447","1,798,748","5,307,355","4,966,652","1,782,286","863,795","754,824","161,307","31,622","25,357","4,144","229,618","205,452","146,363",N,N,N,"113,722","84,788","26,953","365,585","315,656","103,591","308,705","238,816","72,376",,(X),(X),(X),(X),,"47,259","30,404","35,865","41,762","63,077","78,984"
Minnesota Total Estimate,,"510,406","63,715","164,301","203,082","79,308","3,918,565","104,599","129,282","917,132","767,894","465,947","995,083","538,628","3,684,684","1,533,711","743,021","705,603","333,832","781,414","724,749","349,998","1,399,083","1,318,063","534,052","995,047","936,269","315,829",,"3,202,951","3,095,368","1,300,134","3,175,365","3,073,157","1,291,584","220,608","183,029","58,151","31,867","25,758","4,494","188,143","153,814","87,052","2,170","1,989",294,"92,962","64,335","18,060","179,864","160,391","65,526","171,826","125,873","39,836",,(X),(X),(X),(X),,"54,047","33,274","39,997","49,014","68,504","82,324"
Mississippi Total Estimate,,"300,650","45,268","107,203","125,406","22,773","1,963,322","83,604","159,922","604,163","419,570","209,877","297,480","188,706","1,719,796","486,186","351,516","321,174","90,874","379,896","337,766","108,131","718,726","631,110","173,282","513,184","429,746","113,899",,"1,161,396","1,052,350","333,509","1,154,151","1,046,189","332,180","679,454","568,908","124,113","9,497","7,474","1,157","18,832","15,338","8,475",N,N,N,"26,302","18,703","3,777","67,329","56,593","14,996","49,331","36,125","7,443",,(X),(X),(X),(X),,"40,342","26,775","32,789","37,485","50,731","57,266"
Missouri Total Estimate,,"579,156","63,378","201,780","238,622","75,376","4,236,010","121,100","236,517","1,275,978","888,683","349,715","835,865","528,152","3,878,393","1,364,017","808,963","757,929","295,537","794,549","732,248","293,096","1,519,362","1,387,674","478,209","1,113,136","1,000,542","297,175",,"3,404,116","3,151,003","1,130,979","3,373,006","3,123,088","1,123,164","426,559","380,298","93,769","11,090","9,338","1,936","92,350","83,476","57,460","4,525","3,787","1,259","62,522","46,058","14,406","234,848","204,433","64,208","151,758","118,993","34,994",,(X),(X),(X),(X),,"45,456","28,414","35,612","41,874","57,693","70,894"
Montana Total Estimate,,"103,247","11,681","41,016","39,084","11,466","785,438","17,129","29,622","217,592","175,026","74,327","179,708","92,034","738,687","271,742","145,978","136,847","51,869","146,403","137,731","59,620","266,921","252,542","87,922","226,136","211,567","72,331",,"687,848","650,425","246,616","680,002","643,229","244,806","2,396","2,295","1,081","34,447","29,737","4,874","6,159","5,788","3,522",N,N,N,"9,153","8,427","2,760","44,970","41,550","12,869","24,700","21,553","5,795",,(X),(X),(X),(X),,"43,414","30,133","35,674","39,948","50,894","68,235"
Nebraska Total Estimate,,"193,132","21,843","58,308","87,744","25,237","1,300,094","43,545","50,163","326,031","280,716","149,122","293,346","157,171","1,206,386","450,517","250,983","235,425","97,103","263,908","244,230","105,475","450,306","417,142","149,225","334,897","309,589","98,714",,"1,068,970","1,025,477","394,362","1,046,948","1,008,200","389,185","54,455","46,249","10,786","11,703","8,940","1,265","32,889","26,382","17,331",N,N,N,"47,955","28,866","5,838","83,469","69,876","20,848","119,352","81,654","18,932",,(X),(X),(X),(X),,"49,244","33,308","38,758","44,111","58,817","74,208"
Nevada Total Estimate,,"264,267","36,060","111,438","97,297","19,472","2,223,852","122,480","157,311","620,161","529,301","193,387","390,872","210,340","1,944,061","601,212","456,422","414,011","115,929","440,794","381,301","129,774","788,145","672,364","203,486","538,491","476,385","152,023",,"1,197,707","1,120,634","382,580","1,116,991","1,054,716","367,592","197,894","176,125","39,701","30,331","22,032","2,815","221,318","201,787","89,247","13,545","12,127","2,771","249,008","156,470","20,905","314,049","254,886","63,193","562,715","394,604","71,463",,(X),(X),(X),(X),,"44,247","34,591","37,581","43,743","59,999","75,253"
New Hampshire Total Estimate,,"118,758","14,721","44,151","43,332","16,554","1,024,780","13,651","42,354","277,802","172,068","95,635","252,073","171,197","968,775","423,270","182,003","175,087","81,157","172,049","163,053","78,242","388,745","366,677","156,771","281,983","263,958","107,100",,"916,171","870,462","376,461","907,582","863,472","373,469","12,378","10,801","4,314",N,N,N,"26,820","25,485","18,768",N,N,N,"16,385","13,240","4,926","51,062","46,977","18,285","37,272","30,286","10,201",,(X),(X),(X),(X),,"55,756","38,365","42,335","48,955","67,982","84,072"
New Jersey Total Estimate,,"789,299","86,785","247,440","305,667","149,407","6,482,223","306,069","295,935","1,635,078","987,198","436,335","1,679,895","1,141,713","5,880,219","2,821,608","1,183,821","1,119,702","603,133","1,233,720","1,125,510","619,626","2,452,956","2,219,735","1,031,377","1,611,726","1,415,272","567,472",,"3,704,829","3,528,940","1,776,468","3,566,363","3,411,190","1,731,196","793,807","716,043","229,642","29,170","19,849","6,444","668,162","617,177","482,162",N,N,N,"608,360","428,733","112,337","676,276","568,458","214,042","1,247,833","945,030","288,241",,(X),(X),(X),(X),,"60,145","31,962","40,193","50,489","76,725","98,247"
New Mexico Total Estimate,,"204,740","29,849","82,161","77,133","15,597","1,453,129","72,755","101,546","374,107","329,832","132,292","246,178","196,419","1,278,828","442,597","274,314","252,214","75,068","275,394","244,187","88,491","498,637","428,186","151,208","404,784","354,241","127,830",,"729,473","685,693","290,687","587,212","561,734","258,187","29,543","27,795","9,713","121,418","102,447","16,538","27,673","24,741","15,183",N,N,N,"205,717","150,803","29,509","338,186","286,244","80,772","654,924","529,544","127,504",,(X),(X),(X),(X),,"41,866","26,396","31,961","39,701","55,322","73,105"
New York Total Estimate,,"1,803,672","170,910","545,995","721,100","365,667","13,892,241","833,414","847,799","3,413,879","2,016,959","1,223,629","3,097,409","2,459,152","12,211,028","5,556,561","2,762,250","2,555,952","1,389,261","2,536,794","2,269,578","1,166,158","5,028,601","4,385,456","1,853,755","3,564,596","3,000,042","1,147,387",,"8,005,145","7,520,693","3,699,093","7,730,437","7,294,881","3,610,304","1,953,915","1,658,912","535,540","81,470","57,706","16,952","1,288,318","1,033,899","627,831","4,578","3,870","1,317","1,348,607","938,349","253,987","1,210,208","997,599","421,841","2,459,638","1,800,287","574,606",,(X),(X),(X),(X),,"53,631","29,259","37,377","46,298","71,567","87,776"
North Carolina Total Estimate,,"1,033,925","114,866","359,824","423,793","135,442","7,372,120","274,345","448,375","1,834,892","1,423,798","742,711","1,678,483","969,516","6,649,400","2,647,999","1,420,429","1,314,915","555,900","1,376,684","1,239,886","556,977","2,708,393","2,448,366","959,394","1,866,614","1,646,233","575,728",,"4,883,595","4,546,549","1,942,255","4,808,166","4,486,315","1,921,765","1,462,400","1,302,903","374,110","75,288","57,658","13,270","234,113","204,337","141,506","6,253","5,506","1,639","289,176","178,861","46,088","421,295","353,586","129,131","570,799","389,659","113,513",,(X),(X),(X),(X),,"46,075","30,324","35,269","41,354","59,713","76,062"
North Dakota Total Estimate,,"83,510","6,823","22,770","40,096","13,821","514,786","13,639","17,939","131,842","114,375","73,150","115,034","48,807","483,208","163,841","112,725","106,317","43,667","106,486","99,371","35,992","165,282","158,305","50,938","130,293","119,215","33,244",,"442,758","419,009","146,217","439,154","415,565","145,496","15,046","14,490","3,343","17,984","15,637","2,104","7,779","7,167","4,971",N,N,N,"9,579","7,343","1,888","20,056","18,353","5,318","17,364","13,894","2,955",,(X),(X),(X),(X),,"50,304","41,762","39,250","47,258","56,830","71,211"
Ohio Total Estimate,,"1,066,973","132,185","412,603","391,241","130,944","8,130,929","214,728","455,705","2,597,720","1,549,620","712,777","1,578,535","1,021,844","7,460,496","2,600,379","1,539,071","1,437,537","564,908","1,475,428","1,358,243","563,721","2,947,765","2,712,139","914,075","2,168,665","1,952,577","557,675",,"6,512,175","6,071,743","2,161,646","6,454,770","6,022,119","2,145,995","904,236","788,552","189,921","14,775","11,662","2,073","199,647","169,194","117,367","2,857","2,755",502,"115,739","84,328","22,347","381,500","332,262","106,523","278,444","216,490","66,585",,(X),(X),(X),(X),,"47,521","30,152","36,919","42,690","62,605","77,691"
Oklahoma Total Estimate,,"405,237","55,020","158,001","157,173","35,043","2,661,141","94,433","183,435","813,545","587,170","223,641","495,467","263,450","2,383,273","758,917","534,957","487,296","150,112","532,522","475,606","174,940","931,666","826,691","259,355","661,996","593,680","174,510",,"1,868,708","1,723,337","580,737","1,821,358","1,687,991","572,876","175,162","157,838","39,463","177,573","156,261","36,575","62,166","51,590","28,241","4,790","3,572",898,"82,099","50,095","8,400","290,643","240,580","64,603","239,512","161,383","32,794",,(X),(X),(X),(X),,"42,362","30,354","35,332","40,237","53,732","70,191"
Oregon Total Estimate,,"363,840","46,838","133,624","146,140","37,238","3,043,930","109,141","145,455","690,248","721,161","271,686","675,825","430,414","2,789,334","1,106,239","596,347","554,202","221,997","593,849","542,286","246,941","1,037,020","935,353","358,284","816,714","757,493","279,017",,"2,378,911","2,241,564","897,800","2,317,570","2,190,012","881,425","54,571","50,962","20,197","35,848","28,319","4,462","143,404","125,771","81,815","11,116","9,502","1,562","138,122","93,565","18,796","281,958","239,651","81,607","334,758","244,232","62,982",,(X),(X),(X),(X),,"48,807","30,994","37,284","42,769","62,676","81,633"
Pennsylvania Total Estimate,,"1,198,106","139,471","419,227","462,493","176,915","9,151,744","253,940","461,170","3,019,642","1,394,205","813,094","1,899,494","1,310,199","8,436,634","3,209,693","1,677,321","1,579,256","710,126","1,623,572","1,513,298","701,061","3,311,797","3,058,936","1,105,151","2,539,054","2,285,144","693,355",,"7,135,206","6,703,764","2,614,289","7,048,689","6,632,341","2,590,650","889,844","800,417","200,347","19,549","14,749","3,218","336,572","283,800","192,978","2,021","1,680",765,"294,975","216,596","54,033","473,577","415,628","144,063","611,674","471,423","127,430",,(X),(X),(X),(X),,"50,871","32,177","38,087","44,804","64,722","80,977"
Rhode Island Total Estimate,,"112,397","13,846","35,441","42,978","20,132","778,191","37,489","36,503","192,219","141,095","62,473","185,883","122,529","704,199","308,412","150,979","143,332","69,037","137,922","126,922","64,522","283,173","253,777","106,119","206,117","180,168","68,734",,"583,092","546,743","258,106","570,335","536,640","254,135","36,454","32,794","8,547",N,N,N,"26,579","22,893","14,534",N,N,N,"53,799","37,865","6,705","75,841","62,477","20,169","109,475","80,777","19,393",,(X),(X),(X),(X),,"54,012","35,287","41,160","48,802","67,148","85,586"
South Carolina Total Estimate,,"500,570","61,972","187,647","192,740","58,211","3,664,922","102,113","246,891","1,015,742","736,823","368,850","725,469","469,034","3,315,918","1,194,503","663,662","615,102","227,157","667,920","600,946","246,889","1,324,722","1,209,389","419,926","1,008,618","890,481","300,531",,"2,462,706","2,290,571","926,180","2,433,479","2,266,021","920,108","867,792","747,001","162,899","11,631","8,813","1,449","64,956","58,959","37,877",N,N,N,"81,514","57,398","15,195","174,942","152,011","50,616","182,347","139,001","38,738",,(X),(X),(X),(X),,"43,331","27,141","34,785","40,386","57,407","67,170"
