id,state_id,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
20,20,2010,560736.0,0.142,0.293,0.433,0.132,3873474.0,0.047,0.072,0.259,0.197,0.063,0.197,0.164,767284.0,0.881,0.377,794620.0,0.905,0.392,1601318.0,0.906,0.372,710252.0,0.795,0.282,44240.0,21684.0,31627.0,41279.0,55616.0,78316.0
21,21,2010,681235.0,0.118,0.264,0.457,0.161,4458898.0,0.049,0.06,0.262,0.163,0.076,0.223,0.167,844548.0,0.92,0.48,888333.0,0.922,0.448,1819901.0,0.909,0.386,906116.0,0.797,0.258,41800.0,20850.0,31030.0,37127.0,52457.0,68607.0
22,22,2010,972866.0,0.151,0.277,0.493,0.08,6569801.0,0.035,0.078,0.309,0.242,0.084,0.156,0.096,1161947.0,0.899,0.283,1277405.0,0.915,0.293,2764944.0,0.913,0.254,1365505.0,0.798,0.183,31617.0,16633.0,24180.0,30254.0,46045.0,65162.0
23,23,2010,498835.0,0.134,0.256,0.496,0.114,3528096.0,0.033,0.049,0.273,0.227,0.1,0.215,0.103,718057.0,0.929,0.375,679897.0,0.933,0.382,1443448.0,0.944,0.31,686694.0,0.837,0.214,36282.0,19579.0,27286.0,33515.0,48562.0,62378.0
24,24,2010,312462.0,0.203,0.276,0.464,0.058,1904406.0,0.066,0.124,0.306,0.225,0.084,0.124,0.071,375964.0,0.829,0.203,384801.0,0.859,0.215,760885.0,0.833,0.196,382756.0,0.697,0.166,27941.0,16407.0,23760.0,28255.0,37726.0,49025.0
25,25,2010,593811.0,0.163,0.305,0.439,0.093,3984849.0,0.044,0.087,0.319,0.226,0.068,0.16,0.095,775040.0,0.891,0.307,748075.0,0.898,0.3,1618849.0,0.892,0.258,842885.0,0.776,0.166,31206.0,17712.0,25051.0,30542.0,41770.0,55277.0
26,26,2010,95346.0,0.158,0.31,0.472,0.059,672952.0,0.025,0.058,0.299,0.251,0.079,0.198,0.09,121182.0,0.92,0.309,113805.0,0.943,0.325,290471.0,0.94,0.306,147494.0,0.85,0.208,28078.0,17117.0,23290.0,26219.0,33809.0,49119.0
27,27,2010,185684.0,0.134,0.263,0.51,0.092,1184379.0,0.041,0.056,0.283,0.244,0.09,0.196,0.09,241827.0,0.91,0.332,222830.0,0.897,0.348,471829.0,0.936,0.291,247893.0,0.842,0.178,31356.0,20222.0,25392.0,30005.0,40820.0,54969.0
28,28,2010,250339.0,0.219,0.361,0.37,0.05,1789530.0,0.063,0.091,0.297,0.262,0.071,0.143,0.074,386326.0,0.83,0.21,384597.0,0.851,0.215,691474.0,0.865,0.23,327133.0,0.822,0.2,31973.0,22101.0,28844.0,33812.0,42498.0,64184.0
29,29,2010,123240.0,0.132,0.306,0.455,0.107,907755.0,0.028,0.058,0.298,0.189,0.1,0.204,0.124,143669.0,0.94,0.357,179134.0,0.937,0.365,405303.0,0.932,0.337,179649.0,0.833,0.245,38050.0,22637.0,31204.0,35772.0,46991.0,63294.0
30,30,2010,767908.0,0.133,0.303,0.437,0.127,5970904.0,0.054,0.065,0.295,0.17,0.062,0.221,0.133,1109449.0,0.907,0.412,1236842.0,0.906,0.4,2433583.0,0.905,0.364,1191030.0,0.78,0.232,42473.0,21463.0,31295.0,40213.0,57081.0,80417.0
31,31,2010,205957.0,0.223,0.292,0.43,0.055,1341329.0,0.076,0.091,0.264,0.249,0.07,0.142,0.108,263857.0,0.833,0.196,252488.0,0.842,0.247,549597.0,0.861,0.279,275387.0,0.77,0.245,30125.0,16636.0,24540.0,30101.0,41639.0,51771.0
32,32,2010,1989972.0,0.151,0.255,0.446,0.147,13089848.0,0.07,0.081,0.277,0.164,0.082,0.186,0.14,2659287.0,0.881,0.413,2608602.0,0.87,0.355,5197911.0,0.867,0.314,2624048.0,0.758,0.229,37757.0,19777.0,28636.0,35824.0,51219.0,66529.0
33,33,2010,951694.0,0.183,0.291,0.449,0.077,6325621.0,0.056,0.096,0.277,0.22,0.086,0.178,0.087,1243403.0,0.857,0.287,1339385.0,0.88,0.296,2503114.0,0.874,0.269,1239719.0,0.748,0.199,30724.0,16371.0,24973.0,30068.0,42247.0,54611.0
34,34,2010,81096.0,0.085,0.22,0.584,0.11,442946.0,0.049,0.047,0.271,0.24,0.117,0.197,0.079,88894.0,0.958,0.355,76567.0,0.955,0.358,179410.0,0.94,0.269,98075.0,0.746,0.154,31927.0,19900.0,26332.0,30809.0,40188.0,52295.0
35,35,2010,1094487.0,0.166,0.308,0.437,0.088,7720849.0,0.033,0.086,0.352,0.205,0.078,0.157,0.089,1419211.0,0.902,0.293,1472448.0,0.915,0.292,3203412.0,0.905,0.244,1625778.0,0.787,0.168,31858.0,17012.0,26028.0,31004.0,45534.0,60798.0
36,36,2010,381565.0,0.185,0.332,0.42,0.064,2449213.0,0.046,0.092,0.32,0.245,0.068,0.154,0.075,506655.0,0.871,0.233,465265.0,0.881,0.248,967504.0,0.888,0.242,509789.0,0.788,0.183,30199.0,17745.0,23999.0,29424.0,40926.0,50793.0
37,37,2010,357560.0,0.164,0.282,0.481,0.073,2614886.0,0.041,0.072,0.25,0.272,0.078,0.183,0.105,524977.0,0.876,0.295,497859.0,0.884,0.322,1057157.0,0.908,0.291,534893.0,0.86,0.241,30439.0,17970.0,24147.0,28783.0,41884.0,54217.0
38,38,2010,1269627.0,0.135,0.313,0.436,0.116,8654829.0,0.038,0.078,0.375,0.165,0.074,0.167,0.104,1511925.0,0.913,0.345,1613956.0,0.921,0.322,3563443.0,0.912,0.272,1965505.0,0.783,0.17,34229.0,19537.0,26785.0,32391.0,46904.0,63065.0
39,39,2010,118884.0,0.108,0.252,0.529,0.111,709979.0,0.073,0.092,0.272,0.187,0.074,0.181,0.122,126617.0,0.864,0.356,138010.0,0.88,0.347,293169.0,0.865,0.307,152183.0,0.712,0.208,36919.0,20035.0,28854.0,33739.0,51115.0,64610.0
40,40,2010,480525.0,0.197,0.291,0.431,0.081,3074357.0,0.055,0.105,0.305,0.206,0.084,0.158,0.088,587427.0,0.86,0.271,604903.0,0.881,0.253,1247097.0,0.864,0.249,634930.0,0.738,0.208,30362.0,17251.0,24889.0,29814.0,41120.0,51418.0
41,41,2010,82004.0,0.186,0.253,0.472,0.089,532379.0,0.047,0.057,0.316,0.217,0.1,0.186,0.077,103800.0,0.926,0.298,95771.0,0.926,0.308,214901.0,0.922,0.275,117907.0,0.799,0.172,30246.0,19313.0,24637.0,29303.0,36955.0,50567.0
