state,median_h_income,poverty_rate,poverty_count,year
Kentucky,43307,18.8,803044,2013
Louisiana,44234,20.0,897284,2013
Maine,47095,14.0,181386,2013
Maryland,72482,10.2,591457,2013
Massachusetts,66794,11.9,770922,2013
Michigan,48200,17.0,1646038,2013
Minnesota,60664,11.2,592526,2013
Mississippi,38191,23.9,692058,2013
Missouri,46905,15.8,928778,2013
Montana,46893,16.1,159248,2013
Nebraska,51502,12.9,234742,2013
Nevada,51250,15.8,433267,2013
New Hampshire,64064,9.0,115146,2013
New Jersey,70224,11.4,995390,2013
New Mexico,44026,21.4,437923,2013
New York,57255,16.0,3068230,2013
North Carolina,45946,17.8,1711331,2013
North Dakota,56800,11.6,81055,2013
Ohio,48138,15.9,1793523,2013
Oklahoma,45724,16.7,624209,2013
Oregon,50228,16.5,637505,2013
Pennsylvania,52005,13.7,1687854,2013
Rhode Island,55015,14.7,148275,2013
South Carolina,44310,18.5,858553,2013
South Dakota,49200,14.0,114291,2013
Tennessee,44268,17.8,1128618,2013
Texas,51714,17.5,4531427,2013
Utah,59715,12.6,360119,2013
Vermont,52511,12.3,73947,2013
Virginia,62745,11.7,941059,2013
Washington,58431,14.1,963088,2013
West Virginia,41195,18.4,331674,2013
Wisconsin,51474,13.5,753709,2013
Wyoming,58424,10.9,62118,2013
Alabama,42917,19.2,905682,2014
Alaska,70898,11.4,81622,2014
Arizona,50036,18.2,1195889,2014
Arkansas,41335,18.7,539999,2014
California,61927,16.4,6253423,2014
Colorado,61324,12.1,632987,2014
Connecticut,70007,10.8,375281,2014
Delaware,59853,13.0,118032,2014
District of Columbia,69992,18.4,114790,2014
Florida,47439,16.6,3231142,2014
Georgia,49240,18.4,1802783,2014
Hawaii,69549,11.5,158266,2014
Idaho,47572,14.8,237604,2014
Illinois,57458,14.3,1802337,2014
Indiana,49384,15.2,968437,2014
Iowa,53816,12.3,368678,2014
Kansas,52392,13.5,381506,2014
Kentucky,42914,19.0,812803,2014
Louisiana,44680,19.9,898902,2014
Maine,49381,14.0,181737,2014
Maryland,73851,10.4,604762,2014
Massachusetts,69200,11.7,760211,2014
Michigan,49755,16.2,1567465,2014
Minnesota,61473,11.4,607870,2014
Mississippi,39738,21.9,634960,2014
Missouri,48288,15.5,908394,2014
Montana,46608,15.2,151915,2014
Nebraska,52803,12.3,225054,2014
Nevada,51487,15.4,430447,2014
New Hampshire,66469,9.2,117822,2014
New Jersey,71968,11.1,972441,2014
New Mexico,44905,20.6,420388,2014
New York,58771,16.0,3082613,2014
North Carolina,46596,17.2,1663954,2014
North Dakota,60227,11.1,79203,2014
Ohio,49349,15.8,1778288,2014
Oklahoma,47524,16.6,623162,2014
Oregon,51088,16.4,637156,2014
Pennsylvania,53224,13.6,1679008,2014
Rhode Island,54797,14.8,149825,2014
South Carolina,45337,17.9,838065,2014
South Dakota,51059,14.1,115906,2014
Tennessee,44357,18.2,1165245,2014
Texas,53067,17.2,4519548,2014
Utah,60943,11.8,341587,2014
Vermont,54153,12.0,72294,2014
Virginia,64923,11.8,955541,2014
Washington,61358,13.2,913463,2014
West Virginia,41030,18.3,328734,2014
Wisconsin,52632,13.2,737307,2014
Wyoming,58291,11.2,63860,2014
Alabama,44833,18.5,875853,2015
Alaska,73391,10.4,74941,2015
Arizona,51473,17.4,1159046,2015
Arkansas,42046,18.7,540733,2015
California,64483,15.4,5896255,2015
Colorado,63945,11.5,614410,2015
Connecticut,71333,10.6,367867,2015
Delaware,61327,12.6,115655,2015
District of Columbia,73115,17.7,113185,2015
Florida,49416,15.8,3129061,2015
Georgia,51225,17.2,1705831,2015
Hawaii,73097,10.7,149091,2015
Idaho,48311,14.7,238646,2015
Illinois,59590,13.6,1702210,2015
Indiana,50510,14.4,924428,2015
Iowa,54843,12.1,366453,2015
Kansas,53802,12.9,366069,2015
Kentucky,45178,18.3,786345,2015
Louisiana,45829,19.5,885846,2015
Maine,51419,13.2,171266,2015
Maryland,75784,9.9,583369,2015
Massachusetts,70659,11.5,752453,2015
Michigan,51063,15.7,1524330,2015
Minnesota,63459,10.2,546499,2015
Mississippi,40630,22.1,638919,2015
Missouri,50200,14.8,875704,2015
Montana,49650,14.4,144634,2015
Nebraska,55073,12.2,224696,2015
Nevada,52544,14.9,424824,2015
New Hampshire,70003,8.4,108293,2015
New Jersey,72337,10.8,945989,2015
New Mexico,45524,19.8,405364,2015
New York,60805,15.5,2985604,2015
North Carolina,47884,16.4,1607249,2015
North Dakota,61674,10.7,78613,2015
Ohio,51086,14.8,1670487,2015
Oklahoma,48595,16.0,608507,2015
Oregon,54074,15.2,601626,2015
Pennsylvania,55683,13.1,1624991,2015
Rhode Island,57265,14.1,143724,2015
South Carolina,47308,16.8,796609,2015
South Dakota,53263,13.5,111697,2015
Tennessee,47243,16.7,1077866,2015
Texas,55668,15.9,4255690,2015
Utah,62961,11.2,331233,2015
Vermont,56883,10.4,62643,2015
Virginia,66263,11.2,914226,2015
Washington,64080,12.2,860734,2015
West Virginia,41969,18.0,322589,2015
Wisconsin,55623,12.1,679937,2015
Wyoming,61213,10.6,60787,2015
Alabama,46309,17.2,814197,2016
Alaska,76144,9.9,71916,2016
Arizona,53481,16.4,1107153,2016
Arkansas,44406,17.2,497388,2016
California,67715,14.4,5527621,2016
Colorado,65718,11.0,598378,2016
Connecticut,73380,9.9,342171,2016
Delaware,62112,11.8,109592,2016
District of Columbia,74093,18.5,119778,2016
Florida,50857,14.8,2986237,2016
Georgia,53468,16.1,1612368,2016
Hawaii,74659,9.5,132597,2016
Idaho,51647,13.8,228037,2016
Illinois,60977,13.0,1620974,2016
Indiana,52289,14.0,899168,2016
Iowa,56354,11.7,354429,2016
Kansas,54828,12.2,343773,2016
Kentucky,46610,18.2,782779,2016
Louisiana,45374,20.1,911970,2016
Maine,52926,12.3,159523,2016
Maryland,78787,9.7,572786,2016
Massachusetts,75207,10.5,688366,2016
Michigan,52436,14.9,1449683,2016
Minnesota,65583,9.9,531789,2016
Mississippi,41793,21.0,606873,2016
Missouri,51713,14.0,826358,2016
Montana,50265,13.4,136439,2016
Nebraska,56979,11.3,208864,2016
Nevada,55201,14.1,407308,2016
New Hampshire,70986,7.6,97753,2016
New Jersey,76212,10.4,915390,2016
New Mexico,46844,19.1,390461,2016
New York,62700,14.8,2843954,2016
North Carolina,50595,15.4,1523034,2016
North Dakota,61898,10.5,76951,2016
Ohio,52357,14.5,1639636,2016
Oklahoma,49204,16.1,615050,2016
Oregon,57379,13.4,538169,2016
Pennsylvania,56897,12.9,1589584,2016
Rhode Island,60046,13.3,134683,2016
South Carolina,49587,15.3,739574,2016
South Dakota,54926,12.9,107953,2016
Tennessee,48506,15.8,1023825,2016
Texas,56583,15.6,4261291,2016
Utah,65931,10.2,307270,2016
Vermont,57661,11.3,67825,2016
Virginia,68127,11.0,897244,2016
Washington,67064,11.3,808582,2016
West Virginia,43175,17.9,318368,2016
Wisconsin,56808,11.8,661465,2016
Wyoming,61686,10.9,62416,2016
Alabama,48193,16.9,802263,2017
Alaska,74058,11.0,79428,2017
Arizona,56508,14.9,1023337,2017
Arkansas,45916,16.3,475883,2017
California,71785,13.3,5164169,2017
Colorado,69113,10.3,566118,2017
Connecticut,74428,9.7,338651,2017
Delaware,64085,13.0,121592,2017
District of Columbia,80153,16.6,109502,2017
Florida,52582,14.1,2901876,2017
Georgia,56117,15.1,1536069,2017
Hawaii,77936,9.5,132201,2017
Idaho,52280,12.6,211937,2017
Illinois,63044,12.5,1568670,2017
Indiana,54134,13.3,860753,2017
Iowa,58706,10.8,328629,2017
Kansas,56382,11.9,335371,2017
Kentucky,48332,17.1,738563,2017
Louisiana,46283,19.6,893827,2017
Maine,55980,11.3,147413,2017
Maryland,80711,9.4,556549,2017
