state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
Alabama ,2018,461302.0,0.133,0.35,0.438,0.079,3337464.0,0.039,0.095,0.308,0.216,0.086,0.161,0.095,635976.0,0.889,0.272,593480.0,0.879,0.29,1278345.0,0.873,0.25,829663.0,0.826,0.226,1.0,22738.0,29436.0,32826.0,50081.0,61177.0
Alaska ,2018,68625.0,0.115,0.457,0.372,0.056,485353.0,0.025,0.042,0.283,0.266,0.082,0.185,0.117,117688.0,0.941,0.27,97020.0,0.951,0.32,182645.0,0.938,0.301,88000.0,0.892,0.326,1.0,25840.0,35328.0,44619.0,57708.0,77402.0
Arizona ,2018,689343.0,0.153,0.335,0.426,0.086,4840304.0,0.053,0.072,0.24,0.25,0.089,0.186,0.112,979328.0,0.896,0.291,882618.0,0.865,0.307,1719255.0,0.868,0.296,1259103.0,0.875,0.296,1.0,23893.0,30617.0,36486.0,51576.0,66004.0
Arkansas ,2018,287926.0,0.12,0.373,0.43,0.077,2021939.0,0.046,0.082,0.34,0.223,0.076,0.147,0.086,392937.0,0.918,0.26,367053.0,0.894,0.259,754273.0,0.869,0.221,507676.0,0.825,0.212,1.0,23899.0,29805.0,32401.0,46919.0,61185.0
California ,2018,3755863.0,0.104,0.305,0.476,0.115,26815644.0,0.089,0.073,0.207,0.208,0.08,0.213,0.129,6034398.0,0.899,0.366,5264457.0,0.839,0.371,9849452.0,0.817,0.323,5667337.0,0.806,0.322,1.0,24263.0,31954.0,39614.0,62347.0,90204.0
Colorado ,2018,528539.0,0.127,0.322,0.408,0.143,3900287.0,0.033,0.049,0.208,0.209,0.084,0.26,0.157,889656.0,0.93,0.428,781388.0,0.909,0.446,1421388.0,0.921,0.408,807855.0,0.913,0.391,1.0,29312.0,35013.0,39129.0,54937.0,68181.0
Connecticut ,2018,344203.0,0.099,0.296,0.443,0.162,2493396.0,0.039,0.052,0.269,0.166,0.079,0.218,0.178,447891.0,0.932,0.434,424573.0,0.921,0.455,1007785.0,0.916,0.39,613147.0,0.873,0.337,1.0,25769.0,35446.0,41716.0,64398.0,83968.0
Delaware ,2018,84321.0,0.132,0.348,0.432,0.088,679700.0,0.039,0.063,0.332,0.177,0.076,0.183,0.131,127399.0,0.895,0.327,112393.0,0.877,0.308,259152.0,0.922,0.314,180756.0,0.88,0.306,1.0,24961.0,32173.0,36893.0,52267.0,70036.0
Florida ,2018,1769325.0,0.152,0.322,0.431,0.095,15302125.0,0.046,0.069,0.287,0.197,0.097,0.191,0.113,2758515.0,0.906,0.312,2586704.0,0.891,0.334,5598122.0,0.893,0.296,4358784.0,0.857,0.291,1.0,22097.0,27900.0,33334.0,46380.0,61748.0
Georgia ,2018,1038010.0,0.153,0.326,0.42,0.101,6978172.0,0.044,0.08,0.278,0.198,0.081,0.195,0.123,1442243.0,0.899,0.332,1401044.0,0.875,0.35,2678457.0,0.886,0.324,1456428.0,0.834,0.266,1.0,23946.0,30400.0,35172.0,54692.0,67375.0
Hawaii ,2018,121647.0,0.084,0.382,0.446,0.087,995589.0,0.039,0.042,0.268,0.206,0.111,0.22,0.115,201025.0,0.951,0.316,181541.0,0.942,0.396,351556.0,0.934,0.33,261467.0,0.86,0.314,1.0,26337.0,35307.0,40013.0,50463.0,69668.0
Idaho ,2018,165091.0,0.153,0.36,0.416,0.071,1143747.0,0.036,0.055,0.278,0.255,0.099,0.187,0.09,228080.0,0.923,0.278,219713.0,0.909,0.312,416513.0,0.896,0.271,279441.0,0.918,0.256,1.0,26050.0,30790.0,32871.0,44469.0,61876.0
Illinois ,2018,1178902.0,0.116,0.302,0.434,0.148,8706376.0,0.046,0.059,0.261,0.203,0.081,0.211,0.14,1765517.0,0.932,0.424,1644390.0,0.897,0.403,3305921.0,0.897,0.335,1990548.0,0.857,0.269,1.0,26046.0,31625.0,37827.0,57357.0,75802.0
Indiana ,2018,656928.0,0.155,0.324,0.418,0.103,4467893.0,0.037,0.073,0.331,0.199,0.089,0.173,0.098,874246.0,0.902,0.311,826473.0,0.89,0.319,1716028.0,0.9,0.26,1051146.0,0.863,0.218,1.0,25560.0,32171.0,36435.0,49851.0,62726.0
Iowa ,2018,317964.0,0.111,0.276,0.489,0.123,2104792.0,0.031,0.046,0.308,0.206,0.118,0.196,0.094,394507.0,0.94,0.342,383617.0,0.92,0.365,788850.0,0.928,0.271,537818.0,0.905,0.227,1.0,29980.0,32367.0,36699.0,51620.0,67140.0
Kansas ,2018,294933.0,0.107,0.302,0.481,0.111,1911426.0,0.037,0.053,0.254,0.228,0.089,0.211,0.128,376422.0,0.927,0.377,359447.0,0.89,0.373,713366.0,0.914,0.332,462191.0,0.906,0.289,1.0,26462.0,30792.0,35549.0,49852.0,61361.0
Kentucky ,2018,421207.0,0.119,0.377,0.416,0.089,3039414.0,0.053,0.079,0.326,0.208,0.086,0.145,0.103,579520.0,0.906,0.286,553107.0,0.9,0.297,1175395.0,0.874,0.232,731392.0,0.803,0.207,1.0,21639.0,30213.0,34070.0,50146.0,56623.0
Louisiana ,2018,436660.0,0.167,0.355,0.404,0.074,3125733.0,0.047,0.095,0.343,0.208,0.065,0.159,0.084,645255.0,0.886,0.272,589714.0,0.88,0.272,1170154.0,0.854,0.225,720610.0,0.823,0.22,1.0,21282.0,29383.0,35199.0,50273.0,57058.0
Maine ,2018,106470.0,0.104,0.357,0.423,0.116,983382.0,0.026,0.044,0.314,0.204,0.097,0.201,0.114,159944.0,0.95,0.363,153436.0,0.947,0.358,393933.0,0.94,0.288,276069.0,0.896,0.303,1.0,25581.0,30726.0,36221.0,43809.0,60013.0
Maryland ,2018,537024.0,0.107,0.313,0.436,0.144,4167339.0,0.037,0.058,0.242,0.187,0.068,0.219,0.189,826526.0,0.927,0.432,775079.0,0.906,0.451,1634693.0,0.915,0.406,931041.0,0.867,0.356,1.0,27088.0,35780.0,42074.0,63399.0,86118.0
Massachusetts ,2018,702295.0,0.106,0.271,0.436,0.188,4832728.0,0.044,0.049,0.233,0.153,0.076,0.244,0.201,990332.0,0.941,0.535,842140.0,0.921,0.512,1862715.0,0.914,0.424,1137541.0,0.858,0.353,1.0,26686.0,36248.0,41221.0,62154.0,81469.0
Michigan ,2018,961804.0,0.124,0.311,0.453,0.111,6869846.0,0.028,0.062,0.287,0.232,0.096,0.18,0.115,1291353.0,0.925,0.337,1165562.0,0.913,0.35,2692478.0,0.92,0.283,1720453.0,0.885,0.247,1.0,22405.0,30274.0,35414.0,52352.0,71057.0
Minnesota ,2018,499903.0,0.121,0.285,0.451,0.142,3809229.0,0.027,0.04,0.242,0.208,0.117,0.242,0.125,759541.0,0.944,0.432,714967.0,0.926,0.419,1446087.0,0.943,0.351,888634.0,0.916,0.296,1.0,27244.0,33173.0,40837.0,57806.0,73062.0
Mississippi ,2018,303525.0,0.143,0.287,0.502,0.068,1977283.0,0.051,0.095,0.298,0.223,0.101,0.144,0.088,379027.0,0.885,0.242,380696.0,0.881,0.263,743137.0,0.86,0.226,474423.0,0.799,0.209,1.0,21680.0,27238.0,31695.0,42497.0,55339.0
Missouri ,2018,565939.0,0.124,0.313,0.458,0.105,4182787.0,0.029,0.067,0.304,0.224,0.082,0.18,0.115,819132.0,0.933,0.346,742343.0,0.914,0.35,1586238.0,0.909,0.284,1035074.0,0.87,0.234,1.0,24461.0,30417.0,34718.0,50659.0,61244.0
Montana ,2018,96579.0,0.134,0.335,0.419,0.113,735761.0,0.018,0.043,0.279,0.245,0.097,0.207,0.11,133976.0,0.958,0.324,128663.0,0.948,0.364,272883.0,0.941,0.303,200239.0,0.917,0.302,1.0,20339.0,27583.0,31601.0,42224.0,56959.0
Nebraska ,2018,187942.0,0.108,0.3,0.46,0.132,1266440.0,0.038,0.048,0.258,0.224,0.109,0.213,0.111,256755.0,0.932,0.387,244896.0,0.903,0.389,460791.0,0.919,0.301,303998.0,0.902,0.255,1.0,29051.0,30587.0,36808.0,50032.0,62451.0
Nevada ,2018,248598.0,0.157,0.414,0.374,0.056,2096574.0,0.052,0.078,0.277,0.259,0.084,0.162,0.087,442713.0,0.887,0.235,405128.0,0.858,0.262,773613.0,0.862,0.24,475120.0,0.875,0.265,1.0,28814.0,32039.0,38018.0,48779.0,67845.0
New Hampshire ,2018,127582.0,0.092,0.35,0.417,0.141,970748.0,0.024,0.044,0.277,0.184,0.102,0.224,0.145,167822.0,0.941,0.388,154965.0,0.948,0.416,402805.0,0.941,0.357,245156.0,0.898,0.344,1.0,27551.0,35200.0,41801.0,57015.0,70885.0
New Jersey ,2018,768272.0,0.106,0.287,0.429,0.179,6189243.0,0.047,0.051,0.263,0.164,0.066,0.248,0.16,1151093.0,0.935,0.472,1147591.0,0.909,0.476,2452270.0,0.914,0.401,1438289.0,0.849,0.314,1.0,24963.0,34431.0,42079.0,65658.0,89332.0
New Mexico ,2018,198710.0,0.177,0.317,0.445,0.062,1416481.0,0.06,0.086,0.261,0.236,0.08,0.157,0.12,279153.0,0.882,0.232,256261.0,0.854,0.275,512587.0,0.855,0.272,368480.0,0.832,0.317,1.0,20626.0,26953.0,30800.0,45861.0,61635.0
New York ,2018,1805181.0,0.11,0.272,0.45,0.169,13672343.0,0.061,0.068,0.259,0.152,0.087,0.208,0.164,2872898.0,0.915,0.464,2433825.0,0.89,0.434,5153555.0,0.873,0.341,3212065.0,0.817,0.295,1.0,23749.0,32286.0,40458.0,60985.0,77469.0
North Carolina ,2018,984618.0,0.127,0.316,0.444,0.113,7102144.0,0.043,0.075,0.254,0.211,0.099,0.205,0.114,1382310.0,0.908,0.345,1310404.0,0.884,0.369,2720856.0,0.89,0.313,1688574.0,0.847,0.269,1.0,22784.0,28401.0,33982.0,49295.0,62888.0
