Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Georgia Total Estimate,,"1,043,171","148,752","389,938","389,304","115,177","7,234,271","303,973","493,904","1,930,376","1,391,372","609,570","1,514,014","991,062","6,436,394","2,505,076","1,464,846","1,338,028","536,448","1,448,368","1,292,643","556,067","2,735,370","2,438,956","937,379","1,585,687","1,366,767","475,182",,"4,001,264","3,674,877","1,514,316","3,914,514","3,608,518","1,490,708","2,158,222","1,913,622","599,859","29,622","17,517","5,294","319,465","281,171","186,903","3,358","2,837",615,"221,192","138,769","42,532","501,148","407,601","155,557","574,391","392,476","130,666",,(X),(X),(X),(X),,"43,055","27,341","32,398","38,476","60,454","72,973"
Hawaii Total Estimate,,"115,665","7,618","50,012","42,109","15,926","1,021,687","33,927","38,284","269,095","206,891","112,809","226,849","133,832","949,476","360,681","197,767","188,892","68,269","190,893","182,202","77,544","350,460","325,490","120,898","282,567","252,892","93,970",,"247,436","240,034","120,480","235,971","229,416","116,534","19,262","18,595","7,625","3,082","2,708",756,"427,265","386,552","157,160","94,123","85,242","9,422","18,511","17,006","5,032","212,008","199,339","60,206","83,289","77,879","21,687",,(X),(X),(X),(X),,"44,841","28,885","35,586","41,095","55,171","73,122"
Idaho Total Estimate,,"173,371","22,997","70,741","68,045","11,588","1,257,566","39,820","70,093","338,282","296,583","126,524","253,762","132,502","1,147,653","386,264","246,440","228,832","75,843","253,434","232,351","82,913","443,682","399,643","133,489","314,010","286,827","94,019",,"1,054,124","990,013","341,035","1,031,784","971,357","336,673","6,998","4,919","1,790","13,404","11,637","2,711","18,322","15,730","8,859",N,N,N,"63,046","42,286","10,206","100,568","81,964","21,186","131,533","90,584","19,140",,(X),(X),(X),(X),,"40,800","30,768","32,925","37,877","50,581","68,649"
Illinois Total Estimate,,"1,140,595","120,804","370,612","463,253","185,926","8,730,697","399,073","458,931","2,194,993","1,707,785","727,336","1,932,282","1,310,297","7,872,693","3,242,579","1,705,429","1,599,545","752,631","1,684,439","1,525,482","736,415","3,237,520","2,898,761","1,125,952","2,103,309","1,848,905","627,581",,"5,663,638","5,348,180","2,317,395","5,506,258","5,219,158","2,278,252","1,137,909","1,002,738","285,882","52,279","37,381","8,399","522,981","478,254","342,633","3,778","3,363","1,138","580,678","392,363","85,440","769,434","610,414","201,692","1,316,805","946,946","239,589",,(X),(X),(X),(X),,"48,354","29,695","35,334","41,652","63,725","81,737"
Indiana Total Estimate,,"660,956","88,602","241,977","252,407","77,970","4,559,631","165,167","261,567","1,517,996","883,706","414,408","843,069","473,718","4,132,897","1,316,787","882,725","810,184","289,678","871,732","786,345","301,531","1,689,595","1,539,126","467,995","1,115,579","997,242","257,583",,"3,705,761","3,418,149","1,100,694","3,663,146","3,382,683","1,088,330","376,912","329,009","78,645","12,522","10,522","1,846","98,834","79,073","52,802",N,N,N,"115,333","82,477","17,920","249,215","212,904","64,772","265,091","199,927","53,367",,(X),(X),(X),(X),,"42,955","30,634","36,144","40,528","54,525","70,183"
Iowa Total Estimate,,"318,834","34,635","97,952","149,572","36,675","2,137,261","58,639","84,027","646,672","439,725","255,456","441,878","210,864","1,994,595","652,742","390,807","370,453","138,984","408,966","380,867","147,891","769,907","717,253","227,290","567,581","526,022","138,577",,"1,879,736","1,788,517","587,122","1,859,465","1,772,254","582,132","61,450","52,696","13,540","8,372","7,062","1,473","47,459","36,549","19,716","2,279","1,880",437,"38,175","24,454","6,533","99,790","83,437","23,921","100,788","70,844","16,772",,(X),(X),(X),(X),,"44,644","32,775","36,727","41,100","55,434","70,977"
Kansas Total Estimate,,"290,243","34,672","92,235","127,111","36,225","1,942,133","67,255","90,167","493,645","436,039","167,575","427,464","259,988","1,784,711","687,452","376,531","347,395","138,908","378,985","343,364","153,148","696,941","639,799","246,601","489,676","454,153","148,795",,"1,548,538","1,465,386","583,844","1,510,525","1,435,724","575,993","101,035","87,615","24,362","12,773","10,412","2,263","57,892","50,629","30,711",N,N,N,"71,721","45,400","9,189","149,016","124,206","37,083","189,092","132,546","32,462",,(X),(X),(X),(X),,"44,350","30,885","34,137","40,240","55,916","67,095"
Kentucky Total Estimate,,"416,072","43,002","161,223","164,290","47,557","3,077,867","143,467","226,253","1,007,954","594,071","275,708","488,546","341,868","2,708,147","830,414","582,979","532,406","183,109","573,400","518,894","191,226","1,153,072","1,013,575","284,367","768,416","643,272","171,712",,"2,640,183","2,342,686","726,550","2,626,394","2,331,702","723,212","201,722","177,441","40,560","6,780","5,751",786,"42,119","34,620","21,571",N,N,N,"33,515","22,415","5,517","151,253","123,463","35,341","88,516","61,829","17,825",,(X),(X),(X),(X),,"40,448","25,571","32,207","37,420","51,906","62,124"
Louisiana Total Estimate,,"424,818","63,224","163,451","161,712","36,431","3,117,186","134,092","281,205","1,023,442","642,841","211,237","523,475","300,894","2,701,889","824,369","610,641","545,716","176,142","621,977","550,331","187,995","1,118,238","963,620","278,663","766,330","642,222","181,569",,"1,911,461","1,725,026","597,922","1,886,530","1,703,666","590,995","913,832","749,171","150,530","15,844","11,011","2,212","57,886","44,784","23,094",N,N,N,"49,865","33,302","8,405","166,054","136,688","41,830","143,757","108,017","33,370",,(X),(X),(X),(X),,"40,562","26,784","31,701","36,877","52,491","63,934"
Maine Total Estimate,,"107,494","10,014","41,698","45,772","10,010","1,015,078","19,053","36,492","300,595","186,486","107,147","224,987","140,318","959,533","365,305","165,666","159,604","65,421","167,449","160,446","69,206","384,862","363,201","125,672","297,101","276,282","105,006",,"934,786","885,113","337,549","930,777","881,214","335,535","10,000","9,037","3,627","3,166","3,038",513,"12,448","11,515","6,146",N,N,N,"8,157","7,071","3,137","46,258","43,496","14,231","15,636","14,346","5,546",,(X),(X),(X),(X),,"44,074","34,255","36,407","40,542","51,486","68,177"
Maryland Total Estimate,,"531,772","59,513","173,735","208,756","89,768","4,273,260","160,195","220,623","1,019,047","760,351","294,842","956,533","861,669","3,892,442","1,818,202","816,525","758,346","360,371","829,291","754,483","398,473","1,624,061","1,481,512","679,412","1,003,383","898,101","379,946",,"2,229,542","2,115,553","1,075,943","2,191,994","2,083,559","1,061,494","1,241,639","1,133,048","403,824","16,162","11,880","3,229","291,944","261,109","183,533",N,N,N,"229,370","138,704","38,871","261,757","229,460","111,858","382,476","261,629","94,279",,(X),(X),(X),(X),,"56,979","29,480","40,160","48,351","71,896","93,565"
Massachusetts Total Estimate,,"688,028","66,345","209,155","279,895","132,633","4,934,755","222,572","216,620","1,124,134","694,438","376,568","1,250,748","1,049,675","4,495,563","2,300,423","979,614","933,106","568,200","899,535","829,029","474,600","1,839,159","1,666,125","797,685","1,216,447","1,067,303","459,938",,"3,593,755","3,404,540","1,789,166","3,531,057","3,354,087","1,771,776","307,459","268,853","97,906","10,858","8,310","2,229","344,221","294,668","220,658",N,N,N,"248,754","176,612","54,377","428,565","341,573","135,655","520,576","377,142","120,345",,(X),(X),(X),(X),,"59,269","30,956","40,724","47,201","71,344","90,944"
Michigan Total Estimate,,"926,979","108,370","318,898","386,921","112,790","6,971,895","174,829","385,469","2,003,265","1,519,839","680,323","1,338,162","870,008","6,411,597","2,208,170","1,314,354","1,219,688","468,693","1,214,574","1,120,057","450,117","2,619,683","2,414,805","809,023","1,823,284","1,657,047","480,337",,"5,374,750","5,026,242","1,764,838","5,317,928","4,976,771","1,750,383","876,343","769,487","170,648","34,093","28,380","5,356","220,923","199,423","144,719","1,703","1,345",601,"115,232","84,351","22,344","348,851","302,369","99,664","298,464","232,091","67,330",,(X),(X),(X),(X),,"43,495","26,888","32,639","39,894","59,740","75,841"
Minnesota Total Estimate,,"499,667","57,940","156,547","218,149","67,031","3,898,742","103,264","125,583","909,518","784,209","459,742","993,883","522,543","3,669,895","1,516,426","742,562","706,655","338,766","770,652","724,876","345,552","1,426,256","1,344,721","530,312","959,272","893,643","301,796",,"3,202,298","3,090,669","1,300,842","3,177,067","3,069,025","1,292,673","214,088","178,037","52,031","28,497","24,093","3,986","183,256","155,407","81,854",N,N,N,"86,570","60,398","19,346","182,737","160,173","58,056","170,732","123,311","37,990",,(X),(X),(X),(X),,"50,872","30,394","37,474","45,192","63,482","80,120"
Mississippi Total Estimate,,"289,913","39,991","99,518","125,586","24,818","1,968,167","93,609","172,380","586,187","428,485","199,843","303,656","184,007","1,702,178","487,663","356,944","321,633","95,593","383,035","334,063","100,923","731,243","633,212","172,816","496,945","413,270","118,331",,"1,164,987","1,045,271","331,568","1,155,565","1,039,177","329,970","675,192","553,889","123,081","8,455","6,803",913,"17,928","14,993","7,933",N,N,N,"19,693","12,838","4,567","81,647","68,158","19,554","49,706","32,963","10,720",,(X),(X),(X),(X),,"37,148","26,126","31,810","33,729","45,353","59,223"
Missouri Total Estimate,,"558,016","65,973","187,113","233,565","71,365","4,226,634","107,977","247,408","1,303,894","875,875","350,837","823,215","517,428","3,871,249","1,340,643","800,642","752,652","297,768","796,300","733,395","290,118","1,544,924","1,413,958","473,779","1,084,768","971,244","278,978",,"3,396,570","3,148,582","1,116,654","3,368,880","3,124,639","1,109,135","423,751","372,989","89,549","13,416","10,904","3,513","86,905","78,309","52,149","4,876","4,479","1,021","57,971","44,242","14,565","243,145","211,744","63,192","146,158","114,707","33,584",,(X),(X),(X),(X),,"42,084","26,315","33,899","39,481","53,855","65,480"
Montana Total Estimate,,"102,666","10,907","40,818","38,138","12,803","766,758","10,816","32,492","205,527","181,671","69,432","171,377","95,443","723,450","266,820","139,869","131,028","50,809","140,486","133,338","56,191","269,105","253,971","90,795","217,298","205,113","69,025",,"672,398","641,345","243,327","666,186","635,885","241,694","3,279","3,079",555,"34,556","28,335","4,559","6,308","5,526","3,197",N,N,N,"9,790","8,009","2,099","40,062","36,821","13,083","24,626","20,603","4,759",,(X),(X),(X),(X),,"40,537","22,977","33,327","36,712","50,126","65,176"
Nebraska Total Estimate,,"188,954","22,296","56,117","82,348","28,193","1,292,536","48,334","52,981","325,200","281,018","139,742","286,510","158,751","1,191,221","445,261","252,836","234,005","104,593","258,269","236,960","103,066","458,598","423,396","151,157","322,833","296,860","86,445",,"1,063,887","1,016,188","389,324","1,047,942","1,004,032","386,122","54,478","48,493","12,685","12,261","9,292","1,542","30,385","22,653","12,409",N,N,N,"49,648","30,541","7,907","81,345","63,644","21,055","115,641","75,545","17,819",,(X),(X),(X),(X),,"44,532","31,507","35,527","40,907","53,663","69,714"
Nevada Total Estimate,,"253,546","34,686","108,700","89,338","20,822","2,192,826","129,108","152,545","597,385","512,526","196,636","393,208","211,418","1,911,173","604,626","451,763","404,850","124,839","433,819","374,587","128,095","787,676","673,621","207,536","519,568","458,115","144,156",,"1,194,681","1,117,658","385,521","1,117,578","1,055,281","369,330","188,562","171,781","43,498","29,967","21,875","3,481","209,934","187,767","85,844","14,402","13,269","2,557","244,150","152,219","26,019","311,130","246,604","57,706","547,036","377,185","74,487",,(X),(X),(X),(X),,"41,237","30,979","35,697","40,173","52,227","71,112"
New Hampshire Total Estimate,,"124,420","10,358","42,732","53,161","18,169","1,008,318","21,138","34,942","267,904","179,257","99,262","247,356","158,459","952,238","405,815","178,294","171,979","79,506","166,486","157,919","74,360","395,797","373,249","152,629","267,741","249,091","99,320",,"908,288","862,680","365,291","903,432","858,465","363,734","12,546","11,329","2,959",N,N,N,"26,000","23,261","15,819",N,N,N,"13,326","10,930","4,338","47,402","43,437","17,171","33,003","28,018","10,014",,(X),(X),(X),(X),,"51,953","35,895","41,699","45,391","64,230","78,476"
New Jersey Total Estimate,,"771,827","73,441","237,931","310,909","149,546","6,474,427","291,610","292,323","1,649,422","996,422","454,004","1,664,353","1,126,293","5,890,494","2,790,646","1,185,697","1,125,923","598,205","1,223,127","1,121,713","619,606","2,501,982","2,278,412","1,037,159","1,563,621","1,364,446","535,676",,"3,731,105","3,538,557","1,764,005","3,596,048","3,426,460","1,722,477","809,241","731,009","232,322","24,604","18,227","4,271","661,426","615,099","475,307","2,883","2,635",956,"579,678","423,766","102,567","665,490","561,201","211,218","1,227,842","948,604","279,683",,(X),(X),(X),(X),,"56,121","28,336","37,180","46,071","71,258","94,788"
New Mexico Total Estimate,,"193,520","37,026","71,601","69,036","15,857","1,450,549","73,938","107,656","372,497","328,792","131,736","231,745","204,185","1,268,955","435,930","279,475","250,916","76,068","273,961","236,665","80,508","505,316","440,594","151,393","391,797","340,780","127,961",,"723,979","680,677","291,485","590,972","565,763","259,756","29,106","26,404","7,839","127,473","105,894","14,898","24,659","22,191","12,961",N,N,N,"198,704","150,068","30,402","345,493","283,049","78,224","647,485","519,428","126,060",,(X),(X),(X),(X),,"39,826","22,117","32,058","36,168","49,976","69,168"
New York Total Estimate,,"1,745,253","166,480","519,638","727,819","331,316","13,987,094","822,952","850,628","3,409,426","2,081,639","1,238,762","3,105,839","2,477,848","12,313,514","5,583,687","2,793,961","2,596,693","1,387,092","2,556,851","2,278,321","1,190,138","5,158,945","4,516,581","1,882,140","3,477,337","2,921,919","1,124,317",,"8,111,335","7,624,303","3,741,928","7,854,476","7,412,905","3,660,952","1,935,136","1,662,365","533,367","76,321","53,956","14,524","1,247,977","995,848","617,063","5,748","4,583",593,"1,318,977","914,252","251,422","1,291,600","1,058,207","424,790","2,461,571","1,810,606","573,712",,(X),(X),(X),(X),,"50,570","27,130","35,242","42,154","64,928","82,907"
North Carolina Total Estimate,,"1,005,784","107,578","344,120","428,964","125,122","7,245,632","292,845","453,642","1,802,594","1,436,943","729,951","1,573,681","955,976","6,499,145","2,529,657","1,376,664","1,274,369","532,966","1,350,937","1,203,266","538,773","2,721,662","2,444,272","928,607","1,796,369","1,577,238","529,311",,"4,818,595","4,474,172","1,864,824","4,741,858","4,415,173","1,845,640","1,416,471","1,252,154","349,330","76,714","57,219","10,888","219,417","192,675","138,479","4,155","3,591",907,"268,050","155,119","40,393","442,230","364,215","124,836","539,662","347,915","98,624",,(X),(X),(X),(X),,"42,244","26,097","32,075","37,845","55,494","70,335"
North Dakota Total Estimate,,"85,620","8,275","24,278","41,767","11,300","506,739","14,330","17,977","133,316","106,798","73,471","113,314","47,533","474,432","160,847","110,330","105,772","40,399","100,570","95,369","36,568","171,999","161,099","52,939","123,840","112,192","30,941",,"436,295","414,161","142,913","433,457","411,687","141,970","11,919","9,171","2,773","20,233","16,911","2,714","8,348","7,318","4,861",N,N,N,"7,505","6,281","1,844","21,338","19,489","5,742","16,257","13,366","3,272",,(X),(X),(X),(X),,"46,025","30,064","39,631","42,412","54,510","67,774"
Ohio Total Estimate,,"1,058,634","123,833","396,138","407,343","131,320","8,117,973","219,901","450,413","2,664,759","1,561,547","727,443","1,536,624","957,286","7,447,659","2,493,910","1,539,983","1,435,731","555,479","1,460,736","1,349,395","536,891","3,014,685","2,775,959","885,447","2,102,569","1,886,574","516,093",,"6,528,048","6,071,998","2,075,757","6,483,542","6,032,297","2,063,066","895,343","781,414","171,507","14,821","11,110","2,206","194,406","168,149","114,000","3,626","3,109","1,436","111,990","84,258","22,808","369,739","327,621","106,196","265,984","214,233","61,847",,(X),(X),(X),(X),,"43,794","28,017","35,087","40,348","58,453","74,866"
Oklahoma Total Estimate,,"388,812","58,191","156,286","143,648","30,687","2,639,889","102,238","195,776","811,661","578,915","214,116","483,168","254,015","2,341,875","737,183","529,075","476,829","150,614","528,611","466,757","159,564","937,029","825,854","252,613","645,174","572,435","174,392",,"1,864,940","1,695,067","559,513","1,814,069","1,659,814","551,301","177,753","159,500","40,979","172,772","149,724","32,681","62,761","51,631","27,375","2,425","1,934",275,"79,622","50,369","8,894","279,616","233,650","67,466","229,543","152,237","33,115",,(X),(X),(X),(X),,"40,163","27,597","31,976","37,329","50,771","65,294"
Oregon Total Estimate,,"356,854","45,421","128,564","147,135","35,734","3,030,635","99,327","146,935","664,591","746,945","271,776","680,306","420,755","2,784,373","1,101,061","595,688","555,375","226,183","594,829","544,169","246,012","1,050,222","950,669","357,737","789,896","734,160","271,129",,"2,378,989","2,250,968","899,585","2,320,923","2,202,659","884,202","50,855","46,463","15,725","35,750","28,517","5,604","139,338","122,171","72,633","9,773","8,283","1,530","138,346","91,668","23,036","277,584","236,303","82,948","325,436","234,474","64,933",,(X),(X),(X),(X),,"45,562","31,335","36,031","40,827","57,419","78,702"
Pennsylvania Total Estimate,,"1,127,884","130,845","414,582","426,998","155,459","9,161,945","269,096","474,188","3,047,979","1,394,271","811,426","1,887,722","1,277,263","8,418,661","3,164,985","1,694,898","1,581,611","716,387","1,613,651","1,500,158","688,089","3,388,493","3,127,160","1,087,940","2,464,903","2,209,732","672,569",,"7,177,207","6,743,691","2,598,987","7,089,488","6,669,950","2,572,553","891,751","784,339","195,287","15,103","11,449","2,749","326,953","272,598","187,542","3,736","3,155","1,455","293,955","210,833","48,856","453,240","392,596","130,109","591,292","450,250","118,425",,(X),(X),(X),(X),,"47,140","28,562","35,528","41,521","61,170","78,261"
Rhode Island Total Estimate,,"113,825","12,588","36,109","47,602","17,526","773,464","36,808","47,208","214,431","130,496","62,195","161,594","120,732","689,448","282,326","147,146","136,722","64,217","137,307","124,971","54,416","288,810","255,681","100,183","200,201","172,074","63,510",,"582,428","542,881","237,906","573,826","535,555","235,994","34,576","28,667","7,829",N,N,N,"23,320","20,137","10,941",N,N,N,"58,877","38,102","9,305","71,284","57,254","16,015","106,772","75,484","16,704",,(X),(X),(X),(X),,"50,500","31,280","40,297","44,680","62,069","81,413"
South Carolina Total Estimate,,"476,311","63,069","166,475","192,507","54,260","3,598,398","115,832","258,165","1,026,970","693,591","369,204","704,740","429,896","3,224,401","1,134,636","660,935","602,664","219,656","651,268","584,429","231,849","1,318,972","1,194,162","403,700","967,223","843,146","279,431",,"2,414,633","2,230,446","861,886","2,389,390","2,208,783","854,730","855,901","737,098","178,040","12,179","7,837","1,504","60,006","52,792","31,141",N,N,N,"80,413","54,134","14,328","173,719","140,726","47,350","174,123","119,400","36,219",,(X),(X),(X),(X),,"40,974","27,014","32,587","38,235","51,257","63,545"
