Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Alabama Total Estimate,,"468,727","62,982","170,023","193,079","42,643","3,451,208","127,052","289,415","1,079,285","705,662","303,028","572,276","374,490","3,034,741","946,766","633,583","574,352","185,081","637,640","563,773","198,592","1,294,176","1,135,910","347,848","885,809","760,706","215,245",,"2,353,878","2,115,460","712,934","2,332,798","2,100,060","708,372","846,228","719,012","158,611","15,329","12,051","2,995","49,205","42,522","29,746",N,N,N,"52,425","32,330","7,965","132,934","112,190","34,321","113,536","76,598","22,182",,(X),(X),(X),(X),,"40,362","25,395","31,997","36,662","52,385","65,470"
Alaska Total Estimate,,"67,493","8,915","33,691","22,510","2,377","485,779","10,548","21,942","135,473","118,250","40,276","101,422","57,868","453,289","159,290","112,341","105,320","33,270","102,955","97,463","35,727","172,073","159,970","56,342","98,410","90,536","33,951",,"314,524","302,619","121,059","308,121","296,692","120,167","14,708","14,092","4,549","58,526","49,941","5,138","32,328","28,154","9,719","5,537","5,101",912,"12,429","10,316","2,355","47,727","43,066","15,558","28,495","25,134","6,197",,(X),(X),(X),(X),,"50,554","31,565","39,150","44,785","60,141","80,892"
Arizona Total Estimate,,"681,735","100,200","244,573","265,391","71,571","4,980,297","233,638","315,725","1,168,057","1,180,491","467,305","985,673","629,408","4,430,934","1,615,081","1,000,536","911,690","327,026","915,424","812,344","317,560","1,730,352","1,511,462","539,548","1,333,985","1,195,438","430,947",,"3,171,578","2,985,734","1,191,246","2,928,504","2,790,314","1,145,461","208,771","194,235","62,985","178,658","145,795","19,829","178,083","162,575","103,845","7,909","7,181","2,060","420,052","306,159","64,452","815,246","629,255","170,664","1,334,427","988,689","220,323",,(X),(X),(X),(X),,"44,330","30,289","35,309","41,543","57,474","74,205"
Arkansas Total Estimate,,"284,335","32,652","113,873","110,277","27,533","2,037,763","90,660","140,230","695,062","435,235","161,542","324,137","190,897","1,806,873","515,034","384,776","353,400","104,153","383,984","343,109","112,379","743,850","655,373","176,471","525,153","454,991","122,031",,"1,502,180","1,369,911","411,447","1,481,204","1,354,998","408,384","276,968","241,519","52,928","11,466","8,410","2,862","30,422","25,959","13,884","6,230","3,538",32,"48,945","28,059","5,469","161,552","129,477","28,412","122,921","75,184","15,559",,(X),(X),(X),(X),,"37,936","28,714","31,600","35,644","51,046","63,107"
California Total Estimate,,"3,558,188","339,462","1,215,035","1,568,917","434,774","26,909,869","2,380,657","1,804,222","5,578,997","5,287,901","2,120,275","5,958,030","3,779,787","22,724,990","9,737,817","5,827,869","5,329,062","2,320,502","5,414,686","4,620,304","2,149,393","9,702,788","7,888,593","3,293,719","5,964,526","4,887,031","1,974,203",,"11,574,198","10,855,296","5,161,935","10,453,713","9,992,200","4,922,329","1,505,960","1,365,488","421,317","350,411","246,909","58,563","4,422,975","3,920,278","2,438,033","103,728","88,837","20,685","4,660,801","2,983,869","579,270","4,291,796","3,264,313","1,058,014","9,429,445","6,425,060","1,500,196",,(X),(X),(X),(X),,"50,014","28,501","36,311","43,044","71,142","99,341"
Colorado Total Estimate,,"525,940","64,754","184,891","202,204","74,091","4,044,182","135,031","170,943","814,373","793,438","334,157","1,107,309","688,931","3,738,208","1,796,240","901,297","850,186","427,757","850,293","777,691","400,071","1,412,425","1,294,342","617,064","880,167","815,989","351,348",,"2,999,466","2,881,501","1,479,678","2,831,329","2,742,259","1,437,469","149,317","135,390","44,767","41,735","33,948","7,872","135,441","116,220","72,976","5,208","4,620",866,"227,550","161,618","42,477","485,465","404,911","147,604","742,970","567,322","159,007",,(X),(X),(X),(X),,"51,409","32,220","39,362","42,459","63,777","79,017"
Connecticut Total Estimate,,"343,982","30,802","106,131","144,518","62,531","2,534,376","108,438","116,753","646,776","406,668","188,070","587,690","479,981","2,309,185","1,067,671","450,863","426,557","209,783","451,126","409,677","216,110","983,215","900,435","409,643","649,172","572,516","232,135",,"1,758,999","1,662,001","822,862","1,708,094","1,621,576","808,184","252,690","223,992","65,705","8,670","6,439","2,456","117,298","106,006","77,689",N,N,N,"167,888","118,436","28,310","227,454","191,098","70,573","371,561","277,878","77,525",,(X),(X),(X),(X),,"53,008","30,190","39,819","45,344","69,915","88,250"
Delaware Total Estimate,,"83,763","10,372","30,317","35,184","7,890","711,104","23,325","38,141","201,366","128,883","66,097","146,295","106,997","649,638","253,292","128,564","117,440","46,158","122,088","110,823","47,948","258,901","236,073","91,014","201,551","185,302","68,172",,"465,751","439,262","175,698","458,972","433,252","173,460","138,516","125,050","37,474",N,N,N,"29,184","26,679","21,317",N,N,N,"27,886","15,510","3,352","47,375","41,213","14,443","54,254","36,110","10,163",,(X),(X),(X),(X),,"47,422","30,387","34,262","43,479","61,378","73,888"
District of Columbia Total Estimate,,"65,547","4,841","13,873","31,494","15,339","478,774","16,201","18,340","70,925","56,221","15,235","120,771","181,081","444,233","301,852","145,879","140,380","110,075","110,899","105,061","80,069","136,381","122,451","68,824","85,615","76,341","42,884",,"195,756","194,134","181,758","189,035","187,952","175,804","198,991","178,016","67,089",N,N,N,"22,517","21,182","17,982",N,N,N,"19,372","11,977","6,868","40,956","38,163","27,502","48,402","38,541","27,781",,(X),(X),(X),(X),,"80,697","27,423","32,051","43,079","82,612","108,170"
Florida Total Estimate,,"1,731,183","229,099","586,777","715,710","199,597","15,762,122","691,119","917,424","4,363,466","2,980,763","1,582,504","3,248,221","1,978,625","14,153,579","5,226,846","2,738,541","2,519,890","920,127","2,728,862","2,454,607","1,008,687","5,695,723","5,117,907","1,847,419","4,598,996","4,061,175","1,450,613",,"9,406,998","8,807,228","3,436,493","8,728,435","8,237,074","3,234,159","2,134,759","1,834,275","487,450","43,970","32,764","10,041","454,797","395,464","236,690","8,502","8,125","2,258","922,629","717,568","211,868","2,790,467","2,358,155","842,046","3,934,980","3,219,657","1,083,074",,(X),(X),(X),(X),,"40,465","25,755","31,711","37,236","51,381","67,954"
