state,year,median_h_income,poverty_rate,poverty_count,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher
Maryland,2010,68933,0.099,559937,"560,736",0.142,0.293,0.433,0.132,"3,873,474",0.047,0.07200000000000001,0.259,0.19699999999999998,0.063,0.19699999999999998,0.16399999999999998,"767,284",0.8809999999999999,0.377,"794,620",0.905,0.392,"1,601,318",0.9059999999999999,0.37200000000000005,"710,252",0.795,0.282
Massachusetts,2010,62133,0.114,724845,"681,235",0.11800000000000001,0.264,0.457,0.161,"4,458,898",0.049,0.06,0.262,0.163,0.076,0.223,0.16699999999999998,"844,548",0.92,0.48,"888,333",0.922,0.44799999999999995,"1,819,901",0.909,0.386,"906,116",0.797,0.258
Michigan,2010,45354,0.167,1614110,"972,866",0.151,0.27699999999999997,0.493,0.08,"6,569,801",0.035,0.078,0.309,0.242,0.084,0.156,0.096,"1,161,947",0.899,0.28300000000000003,"1,277,405",0.915,0.293,"2,764,944",0.9129999999999999,0.254,"1,365,505",0.7979999999999999,0.183
Minnesota,2010,55422,0.115,595485,"498,835",0.134,0.256,0.496,0.114,"3,528,096",0.033,0.049,0.273,0.22699999999999998,0.1,0.215,0.10300000000000001,"718,057",0.929,0.375,"679,897",0.9329999999999999,0.382,"1,443,448",0.9440000000000001,0.31,"686,694",0.8370000000000001,0.214
Mississippi,2010,36992,0.224,644156,"312,462",0.203,0.276,0.46399999999999997,0.057999999999999996,"1,904,406",0.066,0.124,0.306,0.225,0.084,0.124,0.071,"375,964",0.8290000000000001,0.203,"384,801",0.8590000000000001,0.215,"760,885",0.833,0.196,"382,756",0.6970000000000001,0.166
Missouri,2010,44306,0.153,888471,"593,811",0.163,0.305,0.439,0.09300000000000001,"3,984,849",0.044000000000000004,0.087,0.319,0.226,0.068,0.16,0.095,"775,040",0.8909999999999999,0.307,"748,075",0.898,0.3,"1,618,849",0.892,0.258,"842,885",0.7759999999999999,0.166
Montana,2010,42303,0.152,146257,"95,346",0.158,0.31,0.47200000000000003,0.059000000000000004,"672,952",0.025,0.057999999999999996,0.299,0.251,0.079,0.198,0.09,"121,182",0.92,0.309,"113,805",0.943,0.325,"290,471",0.94,0.306,"147,494",0.85,0.20800000000000002
Nebraska,2010,48415,0.126,224530,"185,684",0.134,0.263,0.51,0.092,"1,184,379",0.040999999999999995,0.055999999999999994,0.28300000000000003,0.244,0.09,0.196,0.09,"241,827",0.91,0.332,"222,830",0.897,0.348,"471,829",0.9359999999999999,0.29100000000000004,"247,893",0.8420000000000001,0.17800000000000002
Nevada,2010,50987,0.148,393605,"250,339",0.21899999999999997,0.361,0.37,0.05,"1,789,530",0.063,0.091,0.297,0.262,0.071,0.14300000000000002,0.07400000000000001,"386,326",0.83,0.21,"384,597",0.851,0.215,"691,474",0.865,0.23,"327,133",0.8220000000000001,0.2
New Hampshire,2010,60917,0.086,110096,"123,240",0.132,0.306,0.455,0.107,"907,755",0.027999999999999997,0.057999999999999996,0.298,0.18899999999999997,0.1,0.204,0.124,"143,669",0.94,0.35700000000000004,"179,134",0.937,0.365,"405,303",0.932,0.337,"179,649",0.833,0.245
New Jersey,2010,67719,0.102,883643,"767,908",0.133,0.303,0.43700000000000006,0.127,"5,970,904",0.054000000000000006,0.065,0.295,0.17,0.062,0.221,0.133,"1,109,449",0.907,0.41200000000000003,"1,236,842",0.9059999999999999,0.4,"2,433,583",0.905,0.364,"1,191,030",0.78,0.23199999999999998
New Mexico,2010,42186,0.198,400779,"205,957",0.223,0.292,0.43,0.055,"1,341,329",0.076,0.091,0.264,0.249,0.07,0.142,0.10800000000000001,"263,857",0.833,0.196,"252,488",0.8420000000000001,0.247,"549,597",0.861,0.27899999999999997,"275,387",0.77,0.245
New York,2010,54047,0.15,2840564,"1,989,972",0.151,0.255,0.446,0.147,"13,089,848",0.07,0.081,0.27699999999999997,0.16399999999999998,0.08199999999999999,0.18600000000000003,0.14,"2,659,287",0.8809999999999999,0.413,"2,608,602",0.87,0.355,"5,197,911",0.867,0.314,"2,624,048",0.758,0.22899999999999998
North Carolina,2010,43417,0.174,1618597,"951,694",0.183,0.29100000000000004,0.449,0.077,"6,325,621",0.055999999999999994,0.096,0.27699999999999997,0.22,0.086,0.17800000000000002,0.087,"1,243,403",0.857,0.287,"1,339,385",0.88,0.29600000000000004,"2,503,114",0.8740000000000001,0.26899999999999996,"1,239,719",0.748,0.19899999999999998
North Dakota,2010,48878,0.125,81176,"81,096",0.085,0.22,0.584,0.11,"442,946",0.049,0.047,0.271,0.24,0.11699999999999999,0.19699999999999998,0.079,"88,894",0.958,0.355,"76,567",0.955,0.358,"179,410",0.94,0.26899999999999996,"98,075",0.746,0.154
Ohio,2010,45151,0.158,1771404,"1,094,487",0.166,0.308,0.43700000000000006,0.08800000000000001,"7,720,849",0.033,0.086,0.35200000000000004,0.205,0.078,0.157,0.08900000000000001,"1,419,211",0.902,0.293,"1,472,448",0.915,0.292,"3,203,412",0.905,0.244,"1,625,778",0.787,0.168
Oklahoma,2010,42076,0.168,613067,"381,565",0.185,0.332,0.42,0.064,"2,449,213",0.046,0.092,0.32,0.245,0.068,0.154,0.075,"506,655",0.871,0.233,"465,265",0.8809999999999999,0.248,"967,504",0.888,0.242,"509,789",0.7879999999999999,0.183
Oregon,2010,46536,0.158,596649,"357,560",0.16399999999999998,0.282,0.48100000000000004,0.073,"2,614,886",0.040999999999999995,0.07200000000000001,0.25,0.272,0.078,0.183,0.105,"524,977",0.8759999999999999,0.295,"497,859",0.884,0.322,"1,057,157",0.9079999999999999,0.29100000000000004,"534,893",0.86,0.24100000000000002
Pennsylvania,2010,49245,0.134,1645097,"1,269,627",0.135,0.313,0.436,0.11599999999999999,"8,654,829",0.038,0.078,0.375,0.165,0.07400000000000001,0.16699999999999998,0.10400000000000001,"1,511,925",0.9129999999999999,0.345,"1,613,956",0.9209999999999999,0.322,"3,563,443",0.912,0.272,"1,965,505",0.7829999999999999,0.17
Rhode Island,2010,52053,0.141,143132,"118,884",0.10800000000000001,0.252,0.529,0.111,"709,979",0.073,0.092,0.272,0.187,0.07400000000000001,0.18100000000000002,0.122,"126,617",0.8640000000000001,0.35600000000000004,"138,010",0.88,0.34700000000000003,"293,169",0.865,0.307,"152,183",0.7120000000000001,0.20800000000000002
South Carolina,2010,42117,0.181,813939,"480,525",0.19699999999999998,0.29100000000000004,0.431,0.081,"3,074,357",0.055,0.105,0.305,0.20600000000000002,0.084,0.158,0.08800000000000001,"587,427",0.86,0.271,"604,903",0.8809999999999999,0.253,"1,247,097",0.8640000000000001,0.249,"634,930",0.738,0.20800000000000002
South Dakota,2010,45861,0.146,114798,"82,004",0.18600000000000003,0.253,0.47200000000000003,0.08900000000000001,"532,379",0.047,0.057,0.316,0.217,0.1,0.18600000000000003,0.077,"103,800",0.9259999999999999,0.298,"95,771",0.9259999999999999,0.308,"214,901",0.922,0.275,"117,907",0.799,0.172
Tennessee,2010,41461,0.178,1102643,"617,272",0.165,0.34600000000000003,0.41600000000000004,0.073,"4,242,391",0.062,0.10099999999999999,0.335,0.20800000000000002,0.062,0.146,0.085,"814,655",0.883,0.267,"859,877",0.882,0.261,"1,707,937",0.856,0.233,"859,922",0.7090000000000001,0.163
Texas,2010,48622,0.179,4411273,"2,597,445",0.2,0.302,0.426,0.07200000000000001,"15,772,122",0.09699999999999999,0.096,0.256,0.228,0.063,0.17300000000000001,0.086,"3,607,541",0.826,0.26,"3,479,592",0.8140000000000001,0.27399999999999997,"6,066,046",0.823,0.27,"2,618,943",0.731,0.214
Utah,2010,54740,0.133,362689,"317,969",0.14400000000000002,0.27399999999999997,0.528,0.053,"1,584,824",0.031,0.063,0.245,0.278,0.09,0.19899999999999998,0.094,"449,176",0.9129999999999999,0.285,"332,449",0.9009999999999999,0.315,"552,399",0.917,0.303,"250,800",0.877,0.259
Vermont,2010,49393,0.124,74720,"65,257",0.09,0.337,0.473,0.1,"431,042",0.03,0.059000000000000004,0.315,0.17600000000000002,0.083,0.203,0.133,"69,728",0.935,0.34299999999999997,"77,686",0.95,0.35,"192,397",0.929,0.349,"91,231",0.816,0.292
Virginia,2010,60665,0.111,865746,"809,695",0.128,0.304,0.45899999999999996,0.109,"5,361,301",0.055,0.08,0.254,0.201,0.067,0.201,0.142,"1,084,897",0.894,0.375,"1,120,016",0.895,0.38799999999999996,"2,176,113",0.882,0.34700000000000003,"980,275",0.763,0.243
Washington,2010,55584,0.135,890251,"655,256",0.17800000000000002,0.297,0.43799999999999994,0.087,"4,505,657",0.040999999999999995,0.061,0.23800000000000002,0.255,0.094,0.19899999999999998,0.111,"936,043",0.892,0.307,"911,095",0.897,0.344,"1,828,141",0.919,0.318,"830,378",0.8590000000000001,0.262
West Virginia,2010,38241,0.182,327459,"172,543",0.162,0.342,0.415,0.081,"1,294,747",0.061,0.107,0.41600000000000004,0.183,0.057999999999999996,0.109,0.066,"217,955",0.898,0.228,"239,097",0.89,0.20199999999999999,"539,089",0.855,0.175,"298,606",0.6970000000000001,0.115
