Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"White alone, not Hispanic or Latino",    High school graduate or higher,    Bachelor's degree or higher,Black alone,    High school graduate or higher,    Bachelor's degree or higher,American Indian or Alaska Native alone,    High school graduate or higher,    Bachelor's degree or higher,Asian alone,    High school graduate or higher,    Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,    High school graduate or higher,    Bachelor's degree or higher,Some other race alone,    High school graduate or higher,    Bachelor's degree or higher,Two or more races,    High school graduate or higher,    Bachelor's degree or higher,Hispanic or Latino Origin,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
North Dakota Total Estimate,,"93,597","9,624","24,590","47,163","12,220","492,017","18,142","18,826","135,670","111,721","64,255","105,625","37,778",(X),(X),"114,100","108,196","40,646","86,540","83,699","27,905","184,020","173,824","53,559","107,357","89,330","21,293",,"444,249","414,137","132,561","436,239","407,311","130,481","7,621","6,713","2,636","20,429","17,195","3,192","7,246","5,868","2,609",N,N,N,"3,308","2,409",385,"9,048","8,611","2,020","12,348","10,168","2,947",,(X),(X),(X),(X),,"40,741","30,667","33,374","37,644","45,787","65,049"
Ohio Total Estimate,,"1,087,145","149,417","355,266","476,502","105,960","7,896,470","233,766","579,508","2,664,823","1,623,927","679,330","1,329,009","786,107",(X),(X),"1,486,363","1,367,228","476,381","1,400,811","1,281,114","446,560","3,169,742","2,891,451","820,319","1,839,554","1,543,403","371,856",,"6,679,607","6,054,978","1,842,006","6,541,286","5,947,558","1,813,371","883,121","749,650","145,086","14,164","11,150","1,828","154,759","133,565","93,128","2,852","2,673",791,"57,002","40,878","7,428","104,965","90,302","24,849","212,227","161,803","36,353",,(X),(X),(X),(X),,"36,014","20,775","29,284","32,285","50,191","62,324"
Oklahoma Total Estimate,,"392,378","66,254","127,197","169,139","29,788","2,557,863","108,956","215,702","808,375","606,070","188,756","421,765","208,239",(X),(X),"535,955","476,266","135,896","479,383","420,832","127,632","966,494","849,664","236,307","576,031","486,443","130,169",,"1,970,881","1,742,541","514,868","1,852,170","1,671,631","499,166","175,937","154,979","32,141","162,951","138,908","26,793","51,378","42,787","20,959","2,089","1,529",285,"57,107","30,199","4,994","137,520","122,262","29,964","188,004","110,287","21,801",,(X),(X),(X),(X),,"32,950","22,135","27,321","32,197","42,195","55,490"
Oregon Total Estimate,,"363,364","55,106","109,704","163,286","35,268","2,804,461","103,304","176,281","654,930","722,848","245,431","566,244","335,423",(X),(X),"553,310","503,719","189,883","527,375","468,474","194,256","1,063,998","959,198","324,700","659,778","593,485","192,828",,"2,455,068","2,240,560","795,601","2,281,052","2,131,141","767,117","49,935","43,787","14,315","31,124","26,378","4,424","113,966","98,311","55,924","8,568","7,665","1,380","59,256","31,368","5,949","86,544","76,807","24,074","257,198","159,098","39,271",,(X),(X),(X),(X),,"33,828","21,904","26,567","31,625","44,049","61,139"
Pennsylvania Total Estimate,,"1,214,756","150,500","398,081","523,401","142,774","8,895,727","297,088","620,062","3,174,802","1,423,274","739,478","1,611,499","1,029,524",(X),(X),"1,648,641","1,518,212","623,873","1,501,855","1,375,299","535,516","3,564,038","3,254,457","1,009,039","2,181,193","1,830,609","472,595",,"7,473,341","6,805,771","2,293,771","7,213,275","6,617,939","2,245,477","878,088","742,924","149,743","16,052","11,081","2,395","275,539","229,285","147,748","2,887","1,927",419,"140,600","93,941","15,289","109,220","93,648","31,658","451,762","315,639","68,424",,(X),(X),(X),(X),,"37,775","21,860","30,304","35,547","50,791","66,931"
Rhode Island Total Estimate,,"114,340","11,114","32,621","55,722","14,883","730,083","40,319","49,725","204,295","134,773","62,153","141,131","97,687",(X),(X),"143,020","130,237","51,879","123,682","111,451","43,347","292,849","261,474","98,950","170,532","136,877","44,642",,"613,485","550,809","210,769","573,543","518,861","203,679","40,153","33,416","7,701","2,308","1,692",511,"22,643","19,768","12,472",N,N,N,"37,147","22,109","2,840","14,270","12,168","4,525","81,214","57,241","11,233",,(X),(X),(X),(X),,"41,130","23,540","34,328","37,783","50,880","70,840"
South Carolina Total Estimate,,"487,006","62,383","164,465","218,004","42,154","3,319,832","147,012","306,843","977,099","685,917","312,720","575,843","314,398",(X),(X),"631,579","561,787","184,488","600,449","528,275","170,940","1,293,850","1,135,652","342,966","793,954","640,263","191,847",,"2,336,941","2,077,246","726,680","2,247,643","2,019,273","712,287","849,904","688,285","125,729","10,104","7,829","1,520","46,103","38,158","22,239",N,N,N,"38,833","22,204","4,679","36,388","30,953","9,331","136,778","86,133","20,731",,(X),(X),(X),(X),,"32,063","19,637","26,184","31,663","44,151","52,733"
South Dakota Total Estimate,,"85,681","12,173","25,843","39,371","8,294","563,108","19,422","30,620","175,958","119,929","62,294","110,562","44,323",(X),(X),"111,923","102,933","35,034","98,348","90,667","31,126","218,324","204,279","57,585","134,513","115,187","31,140",,"497,711","463,438","145,125","490,147","457,851","143,592","7,412","4,970","1,217","36,822","29,279","3,334","6,479","4,197","2,213",N,N,N,"4,519","2,708",438,"9,592","7,967","2,537","14,060","9,975","2,631",,(X),(X),(X),(X),,"34,248","24,776","29,135","32,264","41,273","51,443"
Tennessee Total Estimate,,"633,012","66,248","230,156","278,756","57,852","4,473,487","237,285","386,520","1,482,137","915,965","300,500","719,980","431,100",(X),(X),"865,801","777,408","264,324","841,160","744,572","248,145","1,750,746","1,530,805","430,377","1,015,780","796,897","208,234",,"3,597,172","3,125,975","962,901","3,483,621","3,055,838","945,896","688,804","578,873","126,599","13,054","11,176","4,448","71,185","61,225","35,054",N,N,N,"47,887","26,277","7,117","53,652","44,831","14,814","165,216","98,215","21,770",,(X),(X),(X),(X),,"32,406","20,461","26,490","31,615","45,600","56,896"
Texas Total Estimate,,"2,787,469","445,677","896,395","1,224,498","220,899","17,472,861","1,559,568","1,511,574","4,425,654","3,816,471","1,204,220","3,266,266","1,689,108",(X),(X),"3,977,864","3,447,694","1,170,897","3,725,435","3,071,942","1,143,876","6,548,055","5,381,499","1,835,358","3,221,507","2,500,584","805,243",,"13,318,221","11,013,621","3,820,100","8,475,882","7,911,575","3,153,166","2,051,007","1,809,766","458,949","80,308","62,173","16,302","845,450","742,369","487,985","12,601","11,210","1,671","880,090","517,856","84,855","285,184","244,724","85,512","5,880,798","3,734,366","776,991",,(X),(X),(X),(X),,"36,361","21,362","28,000","35,462","51,887","70,031"
Utah Total Estimate,,"341,637","43,390","105,883","169,008","23,356","1,741,949","49,949","97,817","421,822","458,040","159,609","368,302","186,410",(X),(X),"440,506","406,490","138,030","402,256","367,206","134,743","591,345","540,441","189,976","307,842","280,046","91,963",,"1,550,430","1,445,743","510,374","1,428,908","1,359,217","493,703","17,199","15,265","4,438","19,323","14,785","1,927","45,900","39,848","22,078","12,042","11,007","2,057","70,708","43,714","5,797","26,347","23,821","8,041","201,172","136,844","23,080",,(X),(X),(X),(X),,"36,431","23,626","30,517","32,661","46,255","70,017"
Vermont Total Estimate,,"67,228","5,619","17,715","34,136","9,758","438,654","12,303","24,166","127,127","75,070","37,916","97,824","64,248",(X),(X),"70,733","64,762","27,518","69,851","65,940","26,884","187,986","175,554","67,437","110,084","95,929","40,233",,"420,262","388,098","156,049","416,024","384,401","154,469","4,006","3,622","1,508","1,810","1,513",130,"5,144","3,771","2,112",N,N,N,N,N,N,"5,816","3,819","1,432","5,542","4,809","2,037",,(X),(X),(X),(X),,"36,529","21,884","30,898","36,054","40,348","55,525"
Virginia Total Estimate,,"827,861","84,270","252,719","392,124","98,748","5,685,318","256,445","373,316","1,399,157","1,127,401","426,955","1,209,217","892,827",(X),(X),"1,172,805","1,082,827","464,470","1,095,902","998,933","464,488","2,229,167","2,004,880","823,350","1,187,444","968,917","349,736",,"4,025,399","3,651,632","1,582,785","3,753,743","3,453,731","1,512,410","1,046,000","882,391","238,676","14,504","12,642","3,607","361,659","324,898","212,299","3,179","2,869",870,"117,021","74,662","18,199","117,556","106,463","45,608","418,669","297,466","96,357",,(X),(X),(X),(X),,"41,361","22,657","29,674","35,656","55,799","78,049"
Washington Total Estimate,,"669,067","92,652","209,996","296,796","69,623","4,889,314","191,853","256,378","1,127,649","1,171,141","471,400","1,059,707","611,186",(X),(X),"1,050,364","958,369","373,612","926,769","837,347","345,156","1,875,555","1,715,294","621,964","1,036,626","930,073","330,161",,"3,917,745","3,625,408","1,351,153","3,661,107","3,455,355","1,310,772","164,860","149,061","38,294","56,214","46,277","6,534","410,667","362,385","210,980","26,456","22,825","2,924","150,438","88,128","14,440","162,934","146,999","46,568","437,200","281,622","60,269",,(X),(X),(X),(X),,"41,140","24,751","31,319","37,293","55,795","71,123"
West Virginia Total Estimate,,"164,334","18,997","61,194","71,040","13,103","1,300,347","58,050","124,065","529,290","244,509","90,019","152,256","102,158",(X),(X),"217,874","197,532","57,056","230,444","210,834","49,498","515,668","450,405","95,396","336,361","259,461","52,464",,"1,228,451","1,054,415","237,137","1,215,911","1,043,193","233,619","45,636","40,706","5,652",N,N,N,"10,281","9,209","7,013",N,N,N,"2,786","2,402",962,"10,952","9,964","3,114","15,498","13,933","4,160",,(X),(X),(X),(X),,"31,634","18,618","26,658","30,816","41,512","52,317"
Wisconsin Total Estimate,,"560,301","62,206","176,145","259,581","62,369","3,918,997","116,279","219,265","1,223,628","835,967","411,400","742,544","369,914",(X),(X),"725,456","676,867","243,575","696,695","639,343","233,562","1,596,083","1,480,795","436,597","900,763","786,448","198,724",,"3,491,244","3,239,464","1,022,969","3,369,492","3,158,534","1,007,490","203,699","166,122","27,499","33,706","29,244","3,943","89,609","75,401","39,550","1,280","1,060",399,"56,526","33,656","5,722","42,933","38,506","12,376","188,555","122,559","22,321",,(X),(X),(X),(X),,"37,222","22,730","30,884","35,361","47,383","61,217"
Wyoming Total Estimate,,"57,860","8,953","19,757","26,466","2,684","388,747","7,773","22,652","111,830","102,246","42,212","67,108","34,926",(X),(X),"82,440","75,566","21,981","72,140","68,283","20,335","151,620","139,587","36,852","82,547","74,886","22,866",,"363,633","336,935","97,937","339,931","320,645","94,844","2,674","2,314",449,"7,863","6,638",701,"3,127","2,778","1,069",N,N,N,"5,746","4,523",778,"5,652","5,082","1,068","30,770","21,789","3,945",,(X),(X),(X),(X),,"37,811","25,376","32,377","35,229","46,092","61,476"
Puerto Rico Total Estimate,,"354,263","34,163","100,920","193,763","25,417","2,382,526","391,558","210,220","647,581","314,431","228,508","424,255","165,973",(X),(X),"421,169","375,066","123,437","448,443","384,256","140,949","885,949","692,973","234,300","626,965","328,453","91,542",,"1,623,914","1,229,880","433,324","19,854","16,562","6,602","244,341","177,563","47,112","7,621","5,918","1,939","5,361","4,282","1,378",N,N,N,"394,124","279,686","80,892","107,165","83,419","25,583","2,355,115","1,758,675","581,177",,(X),(X),(X),(X),,"18,128","10,179","14,590","16,994","24,171","36,913"
