Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"White alone, not Hispanic or Latino",    High school graduate or higher,    Bachelor's degree or higher,Black alone,    High school graduate or higher,    Bachelor's degree or higher,American Indian or Alaska Native alone,    High school graduate or higher,    Bachelor's degree or higher,Asian alone,    High school graduate or higher,    Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,    High school graduate or higher,    Bachelor's degree or higher,Some other race alone,    High school graduate or higher,    Bachelor's degree or higher,Two or more races,    High school graduate or higher,    Bachelor's degree or higher,Hispanic or Latino Origin,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Georgia Total Estimate,,"1,028,679","168,766","327,755","449,485","82,673","6,683,767","332,116","593,620","1,879,302","1,382,608","496,008","1,244,449","755,664",(X),(X),"1,383,268","1,209,458","425,539","1,388,193","1,205,987","462,361","2,609,547","2,293,791","786,767","1,302,759","1,048,795","325,446",,"4,193,472","3,676,793","1,361,747","3,880,273","3,479,426","1,302,741","1,973,154","1,676,403","449,605","19,009","13,292","4,229","259,293","225,098","134,925",N,N,N,"146,924","84,145","17,513","89,223","79,979","31,392","491,368","301,546","79,025",,(X),(X),(X),(X),,"35,014","20,592","26,802","31,750","49,696","61,443"
Hawaii Total Estimate,,"134,483","8,519","51,611","63,452","10,901","985,914","39,945","50,050","267,568","213,206","105,951","205,033","104,161",(X),(X),"216,396","206,271","68,023","177,777","164,107","61,430","354,588","327,356","111,530","237,153","198,185","68,211",,"277,373","264,973","119,495","251,708","241,164","112,801","19,472","18,445","5,375","2,977","2,801",700,"416,451","361,216","130,489","83,203","74,661","10,932","7,652","6,832","2,787","178,786","166,991","39,416","74,545","66,660","15,833",,(X),(X),(X),(X),,"38,609","25,396","31,995","36,558","46,167","65,094"
Idaho Total Estimate,,"156,767","21,822","53,986","72,765","8,194","1,065,982","39,730","66,804","292,667","287,585","102,284","189,566","87,346",(X),(X),"216,810","195,842","54,439","204,505","183,703","60,716","401,403","365,550","102,239","243,264","214,353","59,518",,"991,082","901,896","261,788","921,431","857,923","255,613","4,207","3,709","1,402","15,293","12,812","1,512","15,108","13,553","6,846",N,N,N,"20,682","10,478","1,060","18,936","16,357","4,145","94,680","57,796","7,707",,(X),(X),(X),(X),,"31,173","20,974","26,002","29,633","42,661","57,829"
Illinois Total Estimate,,"1,237,872","154,211","357,249","571,238","155,174","8,661,938","456,567","535,035","2,314,192","1,804,602","698,002","1,757,697","1,095,843",(X),(X),"1,773,212","1,621,054","709,146","1,672,605","1,488,042","625,162","3,387,896","3,033,421","1,074,577","1,828,225","1,527,819","444,655",,"6,462,003","5,872,728","2,236,541","5,748,466","5,391,468","2,129,605","1,158,317","996,040","233,360","18,923","14,362","3,046","470,317","427,048","295,161","2,500","2,015",403,"439,310","257,079","42,281","110,568","101,064","42,748","1,194,878","771,827","160,792",,(X),(X),(X),(X),,"40,120","22,052","29,773","35,823","52,369","70,580"
Indiana Total Estimate,,"676,373","107,912","211,407","293,630","63,424","4,363,573","164,941","349,195","1,496,775","900,400","364,142","697,223","390,897",(X),(X),"842,022","745,968","247,422","822,598","739,215","235,174","1,733,629","1,558,576","423,896","965,324","805,678","181,628",,"3,784,180","3,371,245","955,101","3,652,170","3,288,581","938,194","364,442","311,392","61,557","10,357","8,889","1,877","80,312","69,272","48,238","1,442","1,385",632,"72,520","44,245","6,954","50,320","43,009","13,761","214,180","134,491","25,580",,(X),(X),(X),(X),,"35,368","21,431","30,137","32,335","46,884","60,699"
Iowa Total Estimate,,"320,642","34,913","83,647","170,254","31,828","2,074,504","66,506","105,159","664,912","444,608","236,728","377,035","179,556",(X),(X),"392,752","365,952","131,643","368,059","339,906","123,606","812,541","754,516","202,439","501,152","442,465","98,903",,"1,926,714","1,786,660","523,519","1,873,980","1,754,861","516,845","56,789","47,420","8,061","6,626","5,195",887,"40,587","34,002","18,238",N,N,N,"24,545","12,936","1,872","17,442","15,114","3,660","80,639","46,522","8,721",,(X),(X),(X),(X),,"36,469","24,854","30,734","34,482","46,518","61,206"
Kansas Total Estimate,,"302,928","37,791","89,828","148,277","27,032","1,888,479","71,948","111,806","501,278","446,076","158,308","384,495","214,568",(X),(X),"384,499","346,055","136,905","347,230","313,155","122,064","730,698","669,840","230,446","426,052","375,675","109,648",,"1,647,260","1,509,854","540,943","1,532,073","1,436,236","525,185","102,880","88,915","19,831","15,907","12,478","3,017","50,816","42,864","23,313",N,N,N,"38,419","21,387","3,291","32,105","28,427","8,307","163,205","102,172","20,800",,(X),(X),(X),(X),,"36,727","23,174","28,715","33,462","46,436","59,574"
Kentucky Total Estimate,,"425,719","60,373","148,269","185,156","31,921","2,988,790","183,951","260,013","1,002,541","611,050","235,061","406,865","289,309",(X),(X),"561,502","508,192","154,242","563,472","500,163","153,497","1,189,688","1,022,517","263,036","674,128","513,954","125,399",,"2,669,805","2,281,835","628,456","2,621,431","2,246,417","618,233","223,191","187,808","36,470","6,316","4,478",884,"37,990","31,476","19,821",N,N,N,"18,316","9,588","2,179","31,452","27,993","8,209","70,554","48,160","12,540",,(X),(X),(X),(X),,"32,495","19,482","27,326","31,285","45,058","53,986"
Louisiana Total Estimate,,"459,284","76,591","150,433","198,157","34,103","3,095,255","159,933","316,837","1,056,533","654,211","189,683","470,739","247,319",(X),(X),"670,600","583,410","177,467","578,072","499,048","145,998","1,192,975","1,021,180","263,418","653,608","514,847","131,175",,"2,040,946","1,792,498","545,966","1,945,585","1,720,821","527,447","914,644","721,227","137,443","16,254","10,576","1,966","52,945","39,172","18,999",N,N,N,"31,487","22,810","4,224","38,075","31,431","9,425","135,643","100,211","24,168",,(X),(X),(X),(X),,"35,208","20,694","28,713","31,959","46,367","57,131"
Maine Total Estimate,,"112,229","13,424","34,849","53,201","10,755","961,240","27,176","52,423","314,332","184,421","93,335","187,513","102,040",(X),(X),"151,964","141,424","49,547","152,672","145,492","51,524","406,036","376,336","112,333","250,568","218,389","76,149",,"922,223","849,243","278,780","915,528","842,827","275,461","7,393","6,184","1,951","5,769","4,845","1,022","9,909","8,209","4,175",N,N,N,N,N,N,"14,261","11,809","3,299","9,377","8,661","4,095",,(X),(X),(X),(X),,"33,282","20,130","27,259","32,010","41,214","54,528"
Maryland Total Estimate,,"556,183","61,026","159,573","258,068","77,516","4,102,486","173,874","251,792","1,029,325","789,382","266,499","866,352","725,262",(X),(X),"834,133","755,441","337,263","769,729","698,319","339,348","1,651,639","1,506,580","638,894","846,985","716,480","276,109",,"2,431,681","2,230,061","1,039,382","2,272,082","2,116,752","992,161","1,169,317","1,050,497","327,713","10,842","7,542","2,417","269,671","244,975","171,825","2,105","1,962",656,"145,065","74,129","17,876","73,805","67,654","31,745","321,985","199,730","68,357",,(X),(X),(X),(X),,"47,312","25,074","34,243","41,290","60,745","81,087"
