state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Massachusetts ,2022,"698,602","65,269","211,085","270,517","151,731","4,947,384","215,221","213,531","1,136,350","706,147","368,426","1,252,187","1,055,522","968,621","918,040","556,431","907,291","837,530","472,959","1,811,372","1,650,745","800,410","1,260,100","1,112,317","477,909","62,009","34,472","42,196","49,021","77,137","95,136"
Michigan ,2022,"948,938","109,516","346,112","379,626","113,684","6,978,952","186,608","383,114","1,962,345","1,531,132","673,901","1,361,139","880,713","1,315,373","1,217,550","473,517","1,219,208","1,123,829","451,435","2,566,809","2,366,807","807,646","1,877,562","1,701,044","509,254","47,259","30,404","35,865","41,762","63,077","78,984"
Minnesota ,2022,"510,406","63,715","164,301","203,082","79,308","3,918,565","104,599","129,282","917,132","767,894","465,947","995,083","538,628","743,021","705,603","333,832","781,414","724,749","349,998","1,399,083","1,318,063","534,052","995,047","936,269","315,829","54,047","33,274","39,997","49,014","68,504","82,324"
Mississippi ,2022,"300,650","45,268","107,203","125,406","22,773","1,963,322","83,604","159,922","604,163","419,570","209,877","297,480","188,706","351,516","321,174","90,874","379,896","337,766","108,131","718,726","631,110","173,282","513,184","429,746","113,899","40,342","26,775","32,789","37,485","50,731","57,266"
Missouri ,2022,"579,156","63,378","201,780","238,622","75,376","4,236,010","121,100","236,517","1,275,978","888,683","349,715","835,865","528,152","808,963","757,929","295,537","794,549","732,248","293,096","1,519,362","1,387,674","478,209","1,113,136","1,000,542","297,175","45,456","28,414","35,612","41,874","57,693","70,894"
Montana ,2022,"103,247","11,681","41,016","39,084","11,466","785,438","17,129","29,622","217,592","175,026","74,327","179,708","92,034","145,978","136,847","51,869","146,403","137,731","59,620","266,921","252,542","87,922","226,136","211,567","72,331","43,414","30,133","35,674","39,948","50,894","68,235"
Nebraska ,2022,"193,132","21,843","58,308","87,744","25,237","1,300,094","43,545","50,163","326,031","280,716","149,122","293,346","157,171","250,983","235,425","97,103","263,908","244,230","105,475","450,306","417,142","149,225","334,897","309,589","98,714","49,244","33,308","38,758","44,111","58,817","74,208"
Nevada ,2022,"264,267","36,060","111,438","97,297","19,472","2,223,852","122,480","157,311","620,161","529,301","193,387","390,872","210,340","456,422","414,011","115,929","440,794","381,301","129,774","788,145","672,364","203,486","538,491","476,385","152,023","44,247","34,591","37,581","43,743","59,999","75,253"
New Hampshire ,2022,"118,758","14,721","44,151","43,332","16,554","1,024,780","13,651","42,354","277,802","172,068","95,635","252,073","171,197","182,003","175,087","81,157","172,049","163,053","78,242","388,745","366,677","156,771","281,983","263,958","107,100","55,756","38,365","42,335","48,955","67,982","84,072"
New Jersey ,2022,"789,299","86,785","247,440","305,667","149,407","6,482,223","306,069","295,935","1,635,078","987,198","436,335","1,679,895","1,141,713","1,183,821","1,119,702","603,133","1,233,720","1,125,510","619,626","2,452,956","2,219,735","1,031,377","1,611,726","1,415,272","567,472","60,145","31,962","40,193","50,489","76,725","98,247"
New Mexico ,2022,"204,740","29,849","82,161","77,133","15,597","1,453,129","72,755","101,546","374,107","329,832","132,292","246,178","196,419","274,314","252,214","75,068","275,394","244,187","88,491","498,637","428,186","151,208","404,784","354,241","127,830","41,866","26,396","31,961","39,701","55,322","73,105"
New York ,2022,"1,803,672","170,910","545,995","721,100","365,667","13,892,241","833,414","847,799","3,413,879","2,016,959","1,223,629","3,097,409","2,459,152","2,762,250","2,555,952","1,389,261","2,536,794","2,269,578","1,166,158","5,028,601","4,385,456","1,853,755","3,564,596","3,000,042","1,147,387","53,631","29,259","37,377","46,298","71,567","87,776"
North Carolina ,2022,"1,033,925","114,866","359,824","423,793","135,442","7,372,120","274,345","448,375","1,834,892","1,423,798","742,711","1,678,483","969,516","1,420,429","1,314,915","555,900","1,376,684","1,239,886","556,977","2,708,393","2,448,366","959,394","1,866,614","1,646,233","575,728","46,075","30,324","35,269","41,354","59,713","76,062"
North Dakota ,2022,"83,510","6,823","22,770","40,096","13,821","514,786","13,639","17,939","131,842","114,375","73,150","115,034","48,807","112,725","106,317","43,667","106,486","99,371","35,992","165,282","158,305","50,938","130,293","119,215","33,244","50,304","41,762","39,250","47,258","56,830","71,211"
Ohio ,2022,"1,066,973","132,185","412,603","391,241","130,944","8,130,929","214,728","455,705","2,597,720","1,549,620","712,777","1,578,535","1,021,844","1,539,071","1,437,537","564,908","1,475,428","1,358,243","563,721","2,947,765","2,712,139","914,075","2,168,665","1,952,577","557,675","47,521","30,152","36,919","42,690","62,605","77,691"
Oklahoma ,2022,"405,237","55,020","158,001","157,173","35,043","2,661,141","94,433","183,435","813,545","587,170","223,641","495,467","263,450","534,957","487,296","150,112","532,522","475,606","174,940","931,666","826,691","259,355","661,996","593,680","174,510","42,362","30,354","35,332","40,237","53,732","70,191"
Oregon ,2022,"363,840","46,838","133,624","146,140","37,238","3,043,930","109,141","145,455","690,248","721,161","271,686","675,825","430,414","596,347","554,202","221,997","593,849","542,286","246,941","1,037,020","935,353","358,284","816,714","757,493","279,017","48,807","30,994","37,284","42,769","62,676","81,633"
Pennsylvania ,2022,"1,198,106","139,471","419,227","462,493","176,915","9,151,744","253,940","461,170","3,019,642","1,394,205","813,094","1,899,494","1,310,199","1,677,321","1,579,256","710,126","1,623,572","1,513,298","701,061","3,311,797","3,058,936","1,105,151","2,539,054","2,285,144","693,355","50,871","32,177","38,087","44,804","64,722","80,977"
Rhode Island ,2022,"112,397","13,846","35,441","42,978","20,132","778,191","37,489","36,503","192,219","141,095","62,473","185,883","122,529","150,979","143,332","69,037","137,922","126,922","64,522","283,173","253,777","106,119","206,117","180,168","68,734","54,012","35,287","41,160","48,802","67,148","85,586"
South Carolina ,2022,"500,570","61,972","187,647","192,740","58,211","3,664,922","102,113","246,891","1,015,742","736,823","368,850","725,469","469,034","663,662","615,102","227,157","667,920","600,946","246,889","1,324,722","1,209,389","419,926","1,008,618","890,481","300,531","43,331","27,141","34,785","40,386","57,407","67,170"
South Dakota ,2022,"85,108","11,182","31,547","33,150","9,229","605,735","17,732","23,641","177,171","115,863","80,011","131,481","59,836","111,152","102,950","40,177","116,031","110,284","44,475","212,643","199,134","61,581","165,909","151,994","45,084","45,902","30,523","38,669","45,237","52,325","67,981"
Tennessee ,2022,"648,096","64,780","256,807","245,312","81,197","4,868,110","172,298","297,214","1,523,487","979,617","381,534","958,365","555,595","964,188","905,311","338,822","909,015","829,787","329,567","1,776,943","1,605,649","529,973","1,217,964","1,057,851","315,598","45,072","30,183","36,093","41,663","57,539","72,837"
Texas ,2022,"2,992,526","425,179","1,068,636","1,142,295","356,416","19,597,383","1,406,769","1,315,239","4,733,230","3,970,970","1,519,767","4,242,031","2,409,377","4,329,357","3,914,844","1,529,714","4,238,922","3,713,767","1,611,616","6,992,019","5,897,621","2,300,750","4,037,085","3,349,143","1,209,328","48,430","29,317","36,217","43,687","64,905","82,824"
Utah ,2022,"407,295","43,058","145,577","185,125","33,535","2,042,912","61,132","81,503","449,458","472,228","203,542","505,215","269,834","494,776","468,700","190,129","461,217","428,996","194,966","683,220","624,819","250,373","403,699","377,762","139,581","51,104","37,472","40,700","43,406","60,973","90,548"
Vermont ,2022,"65,687","6,900","22,605","28,454","7,728","467,643","7,709","15,759","121,782","74,187","41,367","114,633","92,206","77,515","75,550","37,076","80,179","76,937","41,584","170,122","161,055","69,806","139,827","130,633","58,373","50,561","34,612","41,388","44,003","54,163","68,409"
Virginia ,2022,"842,750","79,815","305,363","331,801","125,771","5,978,782","209,876","295,899","1,431,624","1,067,612","451,737","1,409,942","1,112,092","1,156,622","1,097,024","521,817","1,180,820","1,094,498","564,482","2,179,298","1,994,380","911,500","1,462,042","1,287,105","524,235","55,607","30,436","39,730","45,135","73,893","96,914"
Washington ,2022,"671,550","85,472","244,136","235,801","106,141","5,470,209","192,061","236,434","1,176,424","1,161,011","544,596","1,302,707","856,976","1,176,297","1,099,889","507,869","1,115,638","1,022,651","486,138","1,869,132","1,704,326","701,558","1,309,142","1,214,848","464,118","59,430","36,000","42,288","51,740","76,376","100,613"
West Virginia ,2022,"161,047","17,552","67,403","58,928","17,164","1,262,566","43,318","93,833","484,166","216,917","111,246","188,793","124,293","207,092","193,828","60,839","216,666","198,663","67,069","462,646","409,404","107,315","376,162","323,520","77,863","42,738","26,692","35,052","40,791","52,887","63,974"
Wisconsin ,2022,"562,259","59,412","208,947","211,854","82,046","4,088,500","99,448","167,049","1,209,135","798,565","455,882","885,548","472,873","733,729","695,156","283,445","742,993","697,716","291,421","1,509,392","1,406,799","481,242","1,102,386","1,022,332","302,313","50,039","35,193","40,104","45,726","61,428","75,811"
Wyoming ,2022,"51,982","8,362","16,981","22,917","3,722","399,796","8,563","16,511","109,092","99,620","47,844","71,812","46,354","72,434","68,579","21,130","81,607","74,936","26,364","137,767","130,377","42,005","107,988","100,830","28,667","48,197","28,406","37,396","44,020","54,129","68,506"
