state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
Alabama ,2017,471079.0,0.135,0.342,0.456,0.066,3309607.0,0.042,0.094,0.311,0.214,0.084,0.16,0.096,628878.0,0.883,0.267,596006.0,0.882,0.279,1281507.0,0.882,0.26,803216.0,0.811,0.221,1.0,21601.0,29440.0,32057.0,49520.0,57213.0
Alaska ,2017,73053.0,0.143,0.382,0.41,0.065,481561.0,0.03,0.054,0.276,0.264,0.089,0.18,0.108,118149.0,0.906,0.238,97124.0,0.943,0.319,183247.0,0.929,0.296,83041.0,0.876,0.306,1.0,24222.0,35868.0,41758.0,56914.0,75748.0
Arizona ,2017,672180.0,0.163,0.336,0.424,0.076,4711362.0,0.054,0.074,0.241,0.25,0.087,0.183,0.11,953327.0,0.887,0.289,859457.0,0.86,0.314,1697728.0,0.864,0.286,1200850.0,0.878,0.294,1.0,22121.0,28821.0,35802.0,51197.0,65573.0
Arkansas ,2017,287448.0,0.133,0.343,0.445,0.079,2008398.0,0.046,0.087,0.34,0.221,0.071,0.15,0.084,382786.0,0.905,0.267,370996.0,0.881,0.271,757592.0,0.87,0.22,497024.0,0.822,0.204,1.0,23439.0,29023.0,31916.0,46483.0,60011.0
California ,2017,3799994.0,0.105,0.309,0.48,0.106,26679273.0,0.092,0.075,0.208,0.211,0.078,0.211,0.126,6018225.0,0.896,0.363,5232877.0,0.833,0.365,9923354.0,0.814,0.318,5504817.0,0.8,0.313,1.0,22648.0,30918.0,38296.0,60940.0,85555.0
Colorado ,2017,522727.0,0.113,0.323,0.439,0.125,3822068.0,0.034,0.05,0.213,0.209,0.082,0.26,0.152,867170.0,0.927,0.423,762156.0,0.901,0.443,1419043.0,0.922,0.403,773699.0,0.91,0.385,1.0,26069.0,32385.0,37835.0,52074.0,67553.0
Connecticut ,2017,352052.0,0.106,0.282,0.442,0.171,2493854.0,0.041,0.055,0.271,0.165,0.081,0.214,0.173,444141.0,0.92,0.425,421380.0,0.921,0.44,1027239.0,0.915,0.384,601094.0,0.862,0.326,1.0,25393.0,34473.0,42231.0,61520.0,80966.0
Delaware ,2017,83940.0,0.119,0.337,0.453,0.09,673686.0,0.035,0.06,0.324,0.19,0.077,0.18,0.135,130949.0,0.918,0.309,111068.0,0.883,0.329,258452.0,0.922,0.329,173217.0,0.886,0.289,1.0,26364.0,32626.0,36577.0,57157.0,73360.0
Florida ,2017,1763443.0,0.152,0.311,0.445,0.092,15020177.0,0.047,0.069,0.288,0.199,0.1,0.189,0.108,2707837.0,0.904,0.3,2535767.0,0.891,0.325,5561341.0,0.891,0.29,4215232.0,0.857,0.285,1.0,21666.0,26826.0,32230.0,45651.0,60959.0
Georgia ,2017,1018588.0,0.153,0.343,0.412,0.091,6896026.0,0.045,0.084,0.281,0.202,0.078,0.19,0.119,1421366.0,0.886,0.319,1384136.0,0.878,0.349,2688674.0,0.883,0.31,1401850.0,0.822,0.258,1.0,21993.0,29437.0,35055.0,51915.0,65479.0
