state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
Alabama ,2019,457530.0,0.123,0.347,0.453,0.076,3360058.0,0.039,0.09,0.309,0.208,0.09,0.163,0.1,637403.0,0.893,0.275,605739.0,0.878,0.296,1262604.0,0.879,0.264,854312.0,0.838,0.232,1.0,22395.0,30845.0,35107.0,50643.0,60922.0
Alaska ,2019,67738.0,0.125,0.401,0.428,0.046,484058.0,0.022,0.043,0.287,0.257,0.09,0.185,0.117,117978.0,0.924,0.259,93035.0,0.951,0.35,182457.0,0.941,0.302,90588.0,0.925,0.308,1.0,23264.0,36522.0,47878.0,53033.0,71947.0
Arizona ,2019,694529.0,0.145,0.355,0.399,0.101,4944540.0,0.051,0.073,0.237,0.25,0.087,0.188,0.113,1001594.0,0.887,0.282,898533.0,0.866,0.322,1737172.0,0.87,0.296,1307241.0,0.883,0.31,1.0,25701.0,31371.0,37016.0,52077.0,69902.0
Arkansas ,2019,282336.0,0.118,0.345,0.447,0.09,2036456.0,0.046,0.079,0.349,0.218,0.075,0.151,0.083,386602.0,0.91,0.256,377184.0,0.893,0.273,748433.0,0.877,0.222,524237.0,0.833,0.205,1.0,25695.0,30057.0,31778.0,46964.0,62027.0
California ,2019,3683287.0,0.1,0.313,0.472,0.116,26937872.0,0.087,0.073,0.206,0.206,0.079,0.219,0.131,6036052.0,0.904,0.382,5298911.0,0.845,0.382,9767911.0,0.816,0.329,5834998.0,0.811,0.323,1.0,25949.0,33494.0,41090.0,65078.0,92334.0
Colorado ,2019,527473.0,0.124,0.318,0.42,0.137,3974943.0,0.032,0.044,0.21,0.203,0.084,0.266,0.16,907627.0,0.938,0.444,805306.0,0.913,0.457,1416632.0,0.925,0.419,845378.0,0.918,0.392,1.0,30968.0,35537.0,40819.0,58229.0,71616.0
Connecticut ,2019,341435.0,0.103,0.299,0.432,0.165,2496420.0,0.04,0.053,0.268,0.165,0.076,0.22,0.178,444509.0,0.934,0.444,426967.0,0.915,0.452,995912.0,0.916,0.39,629032.0,0.868,0.342,1.0,24426.0,37017.0,42884.0,64143.0,85175.0
Delaware ,2019,82507.0,0.112,0.326,0.463,0.1,687311.0,0.035,0.062,0.302,0.186,0.083,0.195,0.137,128412.0,0.912,0.328,113704.0,0.876,0.378,255557.0,0.915,0.339,189638.0,0.897,0.297,1.0,31024.0,33671.0,38048.0,56603.0,70579.0
Florida ,2019,1761280.0,0.143,0.321,0.429,0.106,15484502.0,0.046,0.07,0.284,0.194,0.099,0.193,0.114,2768060.0,0.907,0.31,2612250.0,0.889,0.339,5605994.0,0.89,0.302,4498198.0,0.86,0.292,1.0,23292.0,30064.0,34752.0,47810.0,62425.0
Georgia ,2019,1034172.0,0.15,0.344,0.406,0.1,7080222.0,0.045,0.076,0.274,0.2,0.08,0.199,0.126,1458596.0,0.906,0.347,1401934.0,0.875,0.356,2696500.0,0.886,0.329,1523192.0,0.844,0.268,1.0,25479.0,31184.0,35846.0,53662.0,70027.0
Hawaii ,2019,119017.0,0.074,0.432,0.412,0.082,996668.0,0.036,0.04,0.274,0.207,0.106,0.221,0.116,195781.0,0.962,0.333,185133.0,0.948,0.382,346284.0,0.933,0.328,269470.0,0.868,0.318,1.0,31620.0,35573.0,41842.0,52183.0,72035.0
Idaho ,2019,166713.0,0.12,0.375,0.428,0.077,1170997.0,0.03,0.055,0.261,0.26,0.106,0.188,0.099,234800.0,0.927,0.275,225804.0,0.916,0.331,421776.0,0.908,0.276,288617.0,0.913,0.28,1.0,27667.0,31395.0,33984.0,46364.0,60816.0
Illinois ,2019,1162448.0,0.117,0.295,0.441,0.147,8694694.0,0.045,0.057,0.259,0.2,0.082,0.217,0.141,1748323.0,0.933,0.431,1641179.0,0.902,0.419,3259831.0,0.897,0.339,2045361.0,0.868,0.275,1.0,27186.0,32304.0,39400.0,60357.0,76363.0
Indiana ,2019,662783.0,0.142,0.355,0.396,0.107,4502015.0,0.036,0.068,0.339,0.199,0.088,0.173,0.097,886319.0,0.906,0.308,825768.0,0.896,0.319,1705456.0,0.901,0.258,1084472.0,0.88,0.217,1.0,27765.0,32101.0,37154.0,50630.0,65941.0
Iowa ,2019,310236.0,0.104,0.294,0.501,0.101,2123004.0,0.027,0.046,0.31,0.204,0.119,0.198,0.095,400299.0,0.943,0.361,392097.0,0.923,0.351,777033.0,0.931,0.27,553575.0,0.91,0.236,1.0,30381.0,33066.0,39073.0,51751.0,66887.0
Kansas ,2019,294932.0,0.115,0.313,0.465,0.107,1918081.0,0.033,0.049,0.263,0.224,0.09,0.216,0.124,377373.0,0.93,0.373,362905.0,0.902,0.377,699807.0,0.919,0.33,477996.0,0.917,0.301,1.0,26549.0,32106.0,36994.0,51678.0,62008.0
Kentucky ,2019,417406.0,0.122,0.37,0.412,0.097,3048442.0,0.051,0.077,0.332,0.203,0.085,0.149,0.103,576692.0,0.918,0.301,556896.0,0.897,0.293,1160295.0,0.875,0.235,754559.0,0.814,0.208,1.0,24631.0,31313.0,35326.0,50711.0,60270.0
