Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Alabama Total Estimate,,"461,302","61,166","161,286","202,178","36,672","3,337,464","131,592","316,587","1,026,976","721,987","288,285","536,086","315,951","2,889,285","852,037","635,976","565,653","172,677","593,480","521,725","171,847","1,278,345","1,116,565","320,161","829,663","685,342","187,352",,"2,353,384","2,077,405","663,038","2,292,702","2,032,413","647,753","840,291","701,544","146,050","15,909","12,857","3,549","44,227","37,748","23,223",N,N,N,"38,761","22,233","4,854","43,892","36,589","11,118","105,067","71,548","21,159",,(X),(X),(X),(X),,"36,084","22,738","29,436","32,826","50,081","61,177"
Alaska Total Estimate,,"68,625","7,863","31,355","25,547","3,860","485,353","12,023","20,421","137,293","129,250","39,938","89,635","56,793","452,909","146,428","117,688","110,772","31,724","97,020","92,231","31,041","182,645","171,405","54,970","88,000","78,501","28,693",,"335,872","320,284","121,662","318,874","304,489","116,327","16,755","15,967","4,159","62,780","53,260","4,768","32,483","29,160","8,041","5,003","4,747",667,"7,105","5,624","1,129","25,355","23,867","6,002","28,378","25,237","7,187",,(X),(X),(X),(X),,"46,189","25,840","35,328","44,619","57,708","77,402"
Arizona Total Estimate,,"689,343","105,767","230,722","293,894","58,960","4,840,304","256,545","349,389","1,159,297","1,208,158","428,422","898,032","540,461","4,234,370","1,438,493","979,328","877,123","285,226","882,618","763,432","271,351","1,719,255","1,491,721","508,990","1,259,103","1,102,094","372,926",,"3,905,802","3,476,734","1,206,106","2,970,679","2,806,570","1,071,678","208,740","185,428","52,200","191,360","149,218","19,542","168,849","148,802","96,109","9,934","8,600","2,555","229,490","155,925","24,687","126,129","109,663","37,294","1,252,401","891,217","171,950",,(X),(X),(X),(X),,"37,464","23,893","30,617","36,486","51,576","66,004"
Arkansas Total Estimate,,"287,926","34,446","107,370","123,854","22,256","2,021,939","92,515","166,471","686,867","450,668","154,143","296,422","174,853","1,762,953","471,275","392,937","360,773","102,024","367,053","328,076","94,907","754,273","655,094","166,791","507,676","419,010","107,553",,"1,612,898","1,427,319","402,377","1,547,248","1,387,348","392,909","281,315","237,531","42,329","13,560","11,895","2,093","31,698","28,167","14,115","4,635","3,267",336,"42,456","24,006","3,488","35,377","30,768","6,537","111,297","66,898","13,332",,(X),(X),(X),(X),,"35,209","23,899","29,805","32,401","46,919","61,185"
California Total Estimate,,"3,755,863","390,520","1,146,258","1,786,551","432,534","26,815,644","2,396,226","1,958,791","5,559,362","5,589,646","2,140,543","5,704,852","3,466,224","22,460,627","9,171,076","6,034,398","5,424,352","2,210,574","5,264,457","4,414,797","1,953,961","9,849,452","8,051,275","3,181,498","5,667,337","4,570,203","1,825,043",,"16,423,461","14,128,313","5,737,180","11,160,404","10,610,901","4,956,823","1,558,031","1,411,861","414,943","208,793","163,871","32,106","4,301,272","3,802,616","2,292,809","105,566","93,313","21,135","3,294,082","2,040,206","351,442","924,439","820,447","321,461","9,037,686","5,937,394","1,225,685",,(X),(X),(X),(X),,"42,156","24,263","31,954","39,614","62,347","90,204"
Colorado Total Estimate,,"528,539","67,044","170,032","215,687","75,776","3,900,287","127,663","189,453","812,615","815,752","329,255","1,013,989","611,560","3,583,171","1,625,549","889,656","826,968","380,467","781,388","709,959","348,507","1,421,388","1,308,494","580,579","807,855","737,750","315,996",,"3,356,695","3,122,807","1,448,839","2,834,445","2,737,634","1,359,475","155,288","139,521","44,320","36,763","30,715","7,160","125,791","113,205","71,587","6,210","5,637","2,179","120,625","82,795","15,883","98,915","88,491","35,581","694,356","509,237","116,774",,(X),(X),(X),(X),,"44,885","29,312","35,013","39,129","54,937","68,181"
Connecticut Total Estimate,,"344,203","34,216","101,840","152,349","55,798","2,493,396","97,719","128,535","669,967","413,974","195,971","544,028","443,202","2,267,142","987,230","447,891","417,303","194,607","424,573","390,940","193,277","1,007,785","923,390","392,963","613,147","535,509","206,383",,"1,951,416","1,815,867","820,696","1,761,332","1,669,857","780,797","253,232","220,782","56,834","6,273","4,327","1,014","116,111","105,249","78,209",N,N,N,"119,036","79,601","14,711","46,841","40,966","15,677","339,273","249,631","59,071",,(X),(X),(X),(X),,"50,202","25,769","35,446","41,716","64,398","83,968"
Delaware Total Estimate,,"84,321","11,122","29,330","36,416","7,453","679,700","26,223","42,858","225,797","120,182","51,648","124,178","88,814","610,619","212,992","127,399","114,014","41,697","112,393","98,573","34,613","259,152","238,877","81,368","180,756","159,155","55,314",,"488,164","445,330","161,980","455,106","425,389","156,087","139,255","123,729","30,971","3,423","2,430",694,"27,649","24,012","15,471",N,N,N,"10,955","6,424","1,125","9,575","8,109","2,675","48,602","30,272","8,046",,(X),(X),(X),(X),,"40,661","24,961","32,173","36,893","52,267","70,036"
District of Columbia Total Estimate,,"75,065","6,161","23,886","26,618","18,400","500,176","16,534","23,094","82,900","61,530","13,948","129,782","172,388","460,548","302,170","163,467","156,951","120,770","105,535","100,192","69,423","145,548","131,173","73,235","85,626","72,232","38,742",,"226,323","221,467","204,897","201,521","200,337","186,579","218,765","192,679","62,794",N,N,N,"21,230","19,942","18,179",N,N,N,"17,805","11,585","5,641","14,161","13,425","9,717","49,691","38,329","27,572",,(X),(X),(X),(X),,"66,589","25,601","31,165","37,064","68,183","100,698"
Florida Total Estimate,,"1,769,325","268,866","569,001","762,798","168,660","15,302,125","708,872","1,052,860","4,387,954","3,015,699","1,489,510","2,920,459","1,726,771","13,540,393","4,647,230","2,758,515","2,500,489","859,717","2,586,704","2,304,813","863,948","5,598,122","4,997,928","1,656,610","4,358,784","3,737,163","1,266,955",,"11,904,603","10,700,031","3,809,223","8,837,998","8,225,745","2,997,921","2,189,261","1,834,277","441,068","43,297","34,740","9,335","426,705","373,645","210,000","9,865","7,963","1,230","457,182","349,222","87,225","271,212","240,515","89,149","3,686,245","2,950,840","938,834",,(X),(X),(X),(X),,"35,254","22,097","27,900","33,334","46,380","61,748"
