Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Georgia Total Estimate,,"1,038,010","159,213","338,114","435,966","104,717","6,978,172","308,720","557,379","1,942,122","1,383,144","562,774","1,362,317","861,716","6,112,073","2,224,033","1,442,243","1,297,265","478,261","1,401,044","1,226,509","489,718","2,678,457","2,374,327","868,365","1,456,428","1,213,972","387,689",,"4,264,577","3,787,666","1,474,955","3,933,908","3,574,157","1,410,312","2,118,866","1,854,298","513,841","19,999","15,088","3,740","292,884","255,704","165,017","8,204","6,651",687,"162,987","93,276","23,656","110,655","99,390","42,137","527,401","331,839","94,598",,(X),(X),(X),(X),,"39,150","23,946","30,400","35,172","54,692","67,375"
Hawaii Total Estimate,,"121,647","10,207","46,510","54,314","10,616","995,589","38,532","41,547","266,728","204,652","110,557","218,828","114,745","915,510","333,573","201,025","191,194","63,550","181,541","171,063","71,880","351,556","328,263","115,913","261,467","224,990","82,230",,"262,860","255,547","116,807","240,527","234,379","109,010","18,660","18,190","6,025","2,481","2,367","1,119","427,788","379,918","147,177","92,779","80,649","12,048","10,291","8,162","4,240","180,730","170,677","46,157","76,137","69,520","21,346",,(X),(X),(X),(X),,"41,737","26,337","35,307","40,013","50,463","69,668"
Idaho Total Estimate,,"165,091","25,257","59,498","68,606","11,730","1,143,747","40,692","63,176","318,218","292,076","113,323","213,462","102,800","1,039,879","316,262","228,080","210,470","63,430","219,713","199,667","68,566","416,513","373,127","112,827","279,441","256,615","71,439",,"1,046,059","964,321","297,287","977,426","918,946","289,391","6,479","5,995","1,773","13,524","10,992","1,641","18,524","16,383","7,278",N,N,N,"34,431","19,614","1,886","23,269","21,145","6,046","111,099","70,906","10,789",,(X),(X),(X),(X),,"35,694","26,050","30,790","32,871","44,469","61,876"
Illinois Total Estimate,,"1,178,902","136,767","355,452","511,942","174,741","8,706,376","403,880","510,902","2,269,285","1,764,774","704,851","1,833,666","1,219,018","7,791,594","3,052,684","1,765,517","1,646,296","748,523","1,644,390","1,475,718","662,207","3,305,921","2,964,012","1,106,324","1,990,548","1,705,568","535,630",,"6,447,928","5,910,003","2,366,081","5,677,276","5,355,889","2,235,134","1,165,832","1,009,109","252,421","24,002","18,816","4,681","507,397","459,176","332,150","3,761","3,373","1,962","420,839","268,527","43,418","136,617","122,590","51,971","1,242,292","864,191","185,498",,(X),(X),(X),(X),,"42,583","26,046","31,625","37,827","57,357","75,802"
Indiana Total Estimate,,"656,928","101,702","212,740","274,898","67,588","4,467,893","164,472","327,362","1,480,040","887,129","397,824","771,811","439,255","3,976,059","1,211,066","874,246","788,636","272,097","826,473","735,410","263,694","1,716,028","1,544,472","446,167","1,051,146","907,541","229,108",,"3,821,716","3,443,870","1,054,070","3,680,035","3,342,848","1,028,613","389,196","333,286","71,492","9,935","8,857","2,416","95,134","79,139","56,838","2,377","1,662",464,"87,021","55,596","8,250","62,514","53,649","17,536","240,030","165,083","35,220",,(X),(X),(X),(X),,"38,825","25,560","32,171","36,435","49,851","62,726"
Iowa Total Estimate,,"317,964","35,433","87,669","155,638","39,224","2,104,792","64,952","97,697","649,269","434,337","247,997","413,442","197,098","1,942,143","610,540","394,507","370,970","134,909","383,617","352,873","140,025","788,850","731,699","213,681","537,818","486,601","121,925",,"1,948,160","1,815,856","567,298","1,875,578","1,768,548","556,530","60,284","51,774","10,352","7,233","6,114","1,176","49,965","38,122","22,225",N,N,N,"16,976","10,306","2,461","19,935","17,888","6,306","91,011","58,471","13,283",,(X),(X),(X),(X),,"40,709","29,980","32,367","36,699","51,620","67,140"
Kansas Total Estimate,,"294,933","31,457","88,959","141,742","32,775","1,911,426","70,905","101,128","485,753","436,532","170,965","402,368","243,775","1,739,393","646,143","376,422","349,114","141,959","359,447","319,953","133,908","713,366","651,764","236,547","462,191","418,562","133,729",,"1,656,933","1,531,105","577,723","1,531,840","1,449,412","560,257","102,734","89,940","19,349","16,099","13,095","2,826","55,638","47,562","30,334",N,N,N,"39,936","21,712","4,428","38,353","34,938","11,317","175,046","111,378","23,442",,(X),(X),(X),(X),,"39,658","26,462","30,792","35,549","49,852","61,361"
Kentucky Total Estimate,,"421,207","49,982","158,614","175,234","37,377","3,039,414","160,136","240,928","990,911","631,690","261,964","442,090","311,695","2,638,350","753,785","579,520","525,311","165,712","553,107","497,707","164,458","1,175,395","1,027,874","272,491","731,392","587,458","151,124",,"2,701,832","2,357,584","680,194","2,649,257","2,318,219","667,915","225,431","194,954","38,614","6,030","4,746",813,"42,089","34,774","21,680","2,836","2,254",693,"24,484","12,826","2,792","36,712","31,212","8,999","81,491","55,639","16,352",,(X),(X),(X),(X),,"36,310","21,639","30,213","34,070","50,146","56,623"
Louisiana Total Estimate,,"436,660","72,976","154,813","176,575","32,296","3,125,733","146,205","296,354","1,071,772","649,675","203,074","496,634","262,019","2,683,174","758,653","645,255","571,794","175,780","589,714","518,976","160,455","1,170,154","998,998","263,586","720,610","593,406","158,832",,"2,034,844","1,804,052","574,764","1,941,691","1,732,887","554,210","944,575","765,686","144,187","17,011","10,673","1,914","52,794","44,623","22,058",N,N,N,"37,317","23,017","3,918","38,505","34,494","11,479","138,684","101,094","26,030",,(X),(X),(X),(X),,"36,602","21,282","29,383","35,199","50,273","57,058"
Maine Total Estimate,,"106,470","11,124","37,966","45,031","12,349","983,382","25,361","43,100","309,259","200,338","95,274","197,489","112,561","914,921","310,050","159,944","151,890","58,051","153,436","145,231","54,900","393,933","370,324","113,555","276,069","247,476","83,544",,"939,427","876,365","298,234","929,693","867,467","294,318","10,297","8,440","1,799","5,159","4,689",888,"10,855","8,962","4,328",N,N,N,N,N,N,"15,793","14,676","4,083","12,489","11,373","4,502",,(X),(X),(X),(X),,"37,290","25,581","30,726","36,221","43,809","60,013"
Maryland Total Estimate,,"537,024","57,249","167,870","234,344","77,561","4,167,339","155,580","240,551","1,009,495","779,231","281,787","911,761","788,934","3,771,208","1,700,695","826,526","766,007","356,798","775,079","701,954","349,345","1,634,693","1,496,127","663,320","931,041","807,120","331,232",,"2,392,026","2,223,557","1,082,858","2,239,774","2,107,175","1,036,509","1,225,052","1,104,805","373,959","10,090","8,699","3,108","271,404","243,833","173,987","3,611","2,657",706,"168,335","99,746","23,971","96,821","87,911","42,106","348,979","238,305","79,135",,(X),(X),(X),(X),,"50,791","27,088","35,780","42,074","63,399","86,118"
Massachusetts Total Estimate,,"702,295","74,308","190,116","306,185","131,686","4,832,728","211,206","235,098","1,126,183","741,544","366,687","1,178,868","973,142","4,386,424","2,152,010","990,332","932,245","529,420","842,140","775,852","431,563","1,862,715","1,702,525","788,960","1,137,541","975,802","402,067",,"3,865,513","3,586,139","1,778,246","3,611,061","3,402,739","1,713,235","343,285","297,551","100,124","10,329","9,283","1,801","319,716","276,715","203,109","1,938","1,788",690,"186,363","129,220","27,665","105,584","85,728","40,375","478,481","337,218","101,392",,(X),(X),(X),(X),,"51,070","26,686","36,248","41,221","62,154","81,469"
Michigan Total Estimate,,"961,804","119,326","299,460","435,811","107,207","6,869,846","189,891","422,533","1,972,855","1,594,947","657,727","1,239,251","792,642","6,257,422","2,031,893","1,291,353","1,194,201","434,664","1,165,562","1,064,515","408,231","2,692,478","2,475,804","763,281","1,720,453","1,522,902","425,717",,"5,549,960","5,114,831","1,684,039","5,367,328","4,977,877","1,646,551","879,420","765,543","154,427","34,780","29,318","4,789","214,519","193,403","142,627","3,224","2,657",869,"68,375","46,229","12,653","119,568","105,441","32,489","267,377","196,007","52,235",,(X),(X),(X),(X),,"39,208","22,405","30,274","35,414","52,352","71,057"
Minnesota Total Estimate,,"499,903","60,703","142,615","225,699","70,886","3,809,229","101,742","151,063","921,287","791,496","445,513","920,850","477,278","3,556,424","1,398,128","759,541","716,635","327,902","714,967","662,043","299,607","1,446,087","1,363,346","507,286","888,634","814,400","263,333",,"3,286,036","3,133,370","1,243,467","3,196,491","3,068,104","1,223,220","201,642","163,921","44,896","34,638","28,815","3,814","168,590","139,814","77,083","1,470",863,354,"55,886","33,757","7,170","60,967","55,884","21,344","154,720","106,577","28,283",,(X),(X),(X),(X),,"45,120","27,244","33,173","40,837","57,806","73,062"
Mississippi Total Estimate,,"303,525","43,283","87,244","152,271","20,727","1,977,283","100,599","187,996","589,363","440,256","200,375","284,701","173,993","1,688,688","458,694","379,027","335,585","91,866","380,696","335,252","100,089","743,137","638,820","167,753","474,423","379,031","98,986",,"1,218,018","1,073,033","328,165","1,191,113","1,053,945","323,206","703,897","573,377","114,749","8,144","5,592","1,003","16,554","14,506","7,837",N,N,N,"14,824","8,612","2,332","14,709","12,536","4,598","45,078","29,908","7,639",,(X),(X),(X),(X),,"33,417","21,680","27,238","31,695","42,497","55,339"
Missouri Total Estimate,,"565,939","70,184","177,159","258,949","59,647","4,182,787","119,915","278,462","1,270,247","937,269","341,000","754,906","480,988","3,784,410","1,235,894","819,132","764,037","283,506","742,343","678,580","259,787","1,586,238","1,441,335","450,748","1,035,074","900,458","241,853",,"3,531,199","3,217,837","1,069,915","3,439,697","3,145,052","1,046,132","445,441","386,093","83,026","20,022","17,247","4,596","82,860","75,804","52,295","4,645","4,330",945,"31,177","22,599","5,420","67,443","60,500","19,697","131,480","102,429","30,720",,(X),(X),(X),(X),,"37,641","24,461","30,417","34,718","50,659","61,244"
Montana Total Estimate,,"96,579","12,953","32,317","40,433","10,876","735,761","13,375","31,704","205,496","180,384","71,397","152,448","80,957","690,682","233,405","133,976","128,346","43,388","128,663","121,995","46,887","272,883","256,694","82,591","200,239","183,647","60,539",,"669,179","632,913","218,732","653,868","619,267","214,902","3,468","2,970","1,317","36,409","30,389","5,840","5,960","5,335","2,601",N,N,N,"4,195","3,619","1,236","15,630","14,536","3,366","21,798","19,386","5,424",,(X),(X),(X),(X),,"34,949","20,339","27,583","31,601","42,224","56,959"
Nebraska Total Estimate,,"187,942","20,380","56,356","86,365","24,841","1,266,440","47,660","60,686","326,400","283,318","137,646","269,675","141,055","1,158,094","410,730","256,755","239,172","99,272","244,896","221,118","95,170","460,791","423,509","138,624","303,998","274,295","77,664",,"1,125,309","1,045,283","375,862","1,051,865","996,071","364,184","54,501","48,592","11,944","9,501","7,866","1,630","29,044","21,964","12,474",N,N,N,"25,889","16,455","2,935","21,362","17,381","5,850","104,604","68,885","14,757",,(X),(X),(X),(X),,"40,310","29,051","30,587","36,808","50,032","62,451"
Nevada Total Estimate,,"248,598","38,971","102,820","92,905","13,902","2,096,574","110,045","164,010","581,662","542,405","176,618","339,675","182,159","1,822,519","521,834","442,713","392,557","103,950","405,128","347,588","106,128","773,613","666,619","185,908","475,120","415,755","125,848",,"1,400,866","1,258,774","374,516","1,141,780","1,073,588","340,087","182,783","161,749","30,669","29,311","22,697","3,256","194,640","175,298","74,003","12,422","11,598","2,305","208,757","131,167","19,374","67,795","61,236","17,711","497,660","337,633","57,406",,(X),(X),(X),(X),,"37,600","28,814","32,039","38,018","48,779","67,845"
New Hampshire Total Estimate,,"127,582","11,694","44,629","53,217","18,042","970,748","23,689","42,821","269,202","178,227","99,230","217,282","140,297","904,238","357,579","167,822","157,983","65,105","154,965","146,890","64,401","402,805","379,118","143,712","245,156","220,247","84,361",,"912,131","853,414","334,484","891,901","837,602","329,677","13,486","11,088","2,976","2,386","2,042",466,"23,968","21,880","14,503",N,N,N,"5,458","4,136",886,"12,913","11,272","4,175","28,896","22,421","6,252",,(X),(X),(X),(X),,"45,069","27,551","35,200","41,801","57,015","70,885"
New Jersey Total Estimate,,"768,272","81,481","220,196","329,304","137,291","6,189,243","290,326","317,170","1,629,398","1,018,104","409,253","1,535,321","989,671","5,581,747","2,524,992","1,151,093","1,075,852","543,499","1,147,591","1,043,032","546,641","2,452,270","2,241,754","983,771","1,438,289","1,221,109","451,081",,"4,282,329","3,933,516","1,782,058","3,596,092","3,403,892","1,617,812","806,793","710,651","206,549","14,538","11,780","2,903","612,653","568,213","437,918",N,N,N,"363,872","261,986","51,061","107,118","93,786","43,871","1,119,433","846,160","233,731",,(X),(X),(X),(X),,"50,913","24,963","34,431","42,079","65,658","89,332"
New Mexico Total Estimate,,"198,710","35,131","62,919","88,342","12,318","1,416,481","84,348","122,340","370,023","334,577","113,481","221,735","169,977","1,209,793","391,712","279,153","246,200","64,864","256,261","218,957","70,530","512,587","438,079","139,487","368,480","306,557","116,831",,"1,107,683","966,016","337,253","605,821","578,861","254,713","30,579","27,204","6,391","123,625","94,913","13,448","24,706","21,666","13,581",N,N,N,"97,029","71,222","11,617","31,400","27,380","8,863","623,425","477,806","98,422",,(X),(X),(X),(X),,"32,779","20,626","26,953","30,800","45,861","61,635"
New York Total Estimate,,"1,805,181","198,475","490,266","811,447","304,993","13,672,343","827,890","929,474","3,546,789","2,083,151","1,193,573","2,846,770","2,244,696","11,914,979","5,091,466","2,872,898","2,627,987","1,332,263","2,433,825","2,165,621","1,055,215","5,153,555","4,497,635","1,757,571","3,212,065","2,623,736","946,417",,"8,956,108","8,197,781","3,712,238","7,945,102","7,432,811","3,467,217","2,075,639","1,742,408","506,044","56,956","44,038","10,204","1,207,338","963,515","585,647","6,383","4,954","1,078","1,058,459","704,427","161,325","311,460","257,856","114,930","2,340,922","1,669,912","468,681",,(X),(X),(X),(X),,"45,764","23,749","32,286","40,458","60,985","77,469"
North Carolina Total Estimate,,"984,618","125,413","310,896","437,468","110,841","7,102,144","305,097","529,783","1,802,360","1,497,087","701,016","1,454,678","812,123","6,267,264","2,266,801","1,382,310","1,255,301","476,238","1,310,404","1,158,407","484,117","2,720,856","2,422,801","852,609","1,688,574","1,430,755","453,837",,"5,059,021","4,556,786","1,754,400","4,763,977","4,366,598","1,702,083","1,470,541","1,271,111","319,836","81,327","61,076","12,291","204,930","177,819","122,044","5,898","4,972","1,440","167,033","94,910","20,766","113,394","100,590","36,024","495,232","309,475","77,941",,(X),(X),(X),(X),,"36,882","22,784","28,401","33,982","49,295","62,888"
North Dakota Total Estimate,,"84,584","5,476","23,147","47,660","8,301","500,779","16,988","21,520","129,495","109,451","74,715","110,664","37,946","462,271","148,610","116,734","108,575","41,506","90,872","86,827","36,178","176,740","166,024","44,793","116,433","100,845","26,133",,"442,344","413,741","134,877","434,400","406,895","133,378","13,364","10,535","2,814","22,826","19,699","3,050","8,916","6,990","4,180",N,N,N,"5,702","4,400","1,352","7,587","6,883","2,337","14,853","12,410","2,618",,(X),(X),(X),(X),,"44,738","29,625","36,576","42,018","50,976","64,310"
Ohio Total Estimate,,"1,071,971","138,294","370,760","446,572","116,345","8,027,035","218,264","528,136","2,625,971","1,638,319","690,735","1,431,014","894,596","7,280,635","2,325,610","1,533,104","1,418,627","517,998","1,396,763","1,282,246","479,184","3,101,005","2,848,126","866,870","1,996,163","1,731,636","461,558",,"6,709,567","6,149,160","2,005,736","6,554,751","6,028,741","1,972,585","925,725","795,468","163,530","18,056","14,167","2,979","182,573","160,236","109,089","2,512","2,397",556,"61,730","45,084","10,036","126,872","114,123","33,684","233,733","178,789","44,812",,(X),(X),(X),(X),,"40,052","22,929","31,372","35,933","52,613","67,945"
Oklahoma Total Estimate,,"379,146","60,112","131,449","159,987","27,598","2,607,613","98,813","202,447","816,934","613,877","207,381","434,570","233,591","2,306,353","668,161","542,736","493,229","141,885","492,077","436,294","139,418","953,199","836,900","234,505","619,601","539,930","152,353",,"1,986,790","1,778,273","536,633","1,851,977","1,690,141","518,866","179,094","160,460","34,286","184,952","160,521","29,366","57,516","47,773","28,045","3,003","2,653",453,"59,625","34,117","4,795","136,633","122,556","34,583","207,482","133,400","24,330",,(X),(X),(X),(X),,"35,989","24,881","30,193","34,382","46,162","58,154"
Oregon Total Estimate,,"365,745","48,987","116,892","162,533","37,333","2,952,380","106,364","173,561","655,811","744,593","269,508","621,190","381,353","2,672,455","1,002,543","592,655","543,991","209,018","556,833","494,859","215,217","1,063,281","955,420","342,402","739,611","678,185","235,906",,"2,552,481","2,343,980","879,977","2,361,136","2,220,654","845,622","52,005","45,777","13,621","33,738","28,924","5,579","133,768","117,007","67,538","10,056","8,917","1,409","76,228","44,311","7,014","94,104","83,539","27,405","290,725","186,207","46,455",,(X),(X),(X),(X),,"40,148","26,327","31,098","36,161","51,699","69,381"
Pennsylvania Total Estimate,,"1,164,816","138,423","413,608","458,536","154,249","8,994,627","279,306","532,792","3,113,998","1,432,404","773,645","1,723,226","1,139,256","8,182,529","2,862,482","1,695,073","1,576,448","676,063","1,496,113","1,379,181","583,201","3,471,072","3,191,231","1,033,458","2,332,369","2,035,669","569,760",,"7,457,859","6,886,019","2,448,709","7,169,698","6,672,124","2,387,790","907,280","791,561","176,744","14,136","12,394","2,797","306,913","255,528","174,698","3,315","2,611",923,"178,971","121,658","23,293","126,153","112,758","35,318","523,671","380,226","92,717",,(X),(X),(X),(X),,"41,258","26,096","31,870","37,372","52,668","71,209"
Rhode Island Total Estimate,,"112,712","9,765","36,940","49,464","16,543","740,695","34,642","45,944","210,606","133,241","61,601","147,507","107,154","660,109","254,661","146,349","139,280","56,847","123,137","112,620","44,146","288,564","256,815","98,159","182,645","151,394","55,509",,"621,587","564,610","223,234","566,474","520,485","214,244","42,060","35,857","8,719","2,680","1,836",833,"25,347","22,211","12,689",N,N,N,"35,335","23,980","5,263","13,308","11,237","3,822","93,388","70,114","14,887",,(X),(X),(X),(X),,"45,283","30,423","35,673","41,218","56,513","71,954"
South Carolina Total Estimate,,"487,363","64,872","162,488","217,001","43,002","3,492,355","125,417","278,074","1,043,630","701,181","354,718","627,144","362,191","3,088,864","989,335","654,355","592,739","202,609","623,363","559,396","192,636","1,314,883","1,175,187","356,829","899,754","761,542","237,261",,"2,452,143","2,221,747","806,478","2,359,200","2,153,738","787,503","875,965","734,561","134,389","15,030","10,640","1,055","53,608","49,110","27,867","2,686","2,393",303,"49,211","32,468","6,806","43,712","37,945","12,437","153,094","106,464","26,397",,(X),(X),(X),(X),,"35,650","21,180","27,686","32,980","49,131","58,079"
