Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Georgia Total Estimate,,"1,034,172","155,073","355,413","420,323","103,363","7,080,222","319,929","536,096","1,939,945","1,414,554","568,130","1,410,395","891,173","6,224,197","2,301,568","1,458,596","1,321,420","505,835","1,401,934","1,226,397","499,590","2,696,500","2,390,369","888,060","1,523,192","1,286,011","408,083",,"4,279,288","3,824,751","1,517,367","3,947,682","3,599,497","1,441,220","2,186,956","1,922,073","542,059","24,821","16,714","3,425","302,385","262,334","173,356","3,675","3,124","1,169","174,770","100,698","24,671","108,327","94,503","39,521","546,665","351,767","104,935",,(X),(X),(X),(X),,"40,312","25,479","31,184","35,846","53,662","70,027"
Hawaii Total Estimate,,"119,017","8,763","51,471","48,997","9,786","996,668","36,278","39,700","273,421","205,964","106,096","219,979","115,230","920,690","335,209","195,781","188,265","65,214","185,133","175,421","70,752","346,284","322,993","113,684","269,470","234,011","85,559",,"259,996","251,976","115,756","237,027","230,743","109,651","18,397","18,096","5,710","3,815","2,670","1,090","434,234","388,331","152,079","98,477","87,788","11,973","15,453","13,416","3,843","166,296","158,413","44,758","77,881","71,006","17,930",,(X),(X),(X),(X),,"44,557","31,620","35,573","41,842","52,183","72,035"
Idaho Total Estimate,,"166,713","19,949","62,538","71,369","12,857","1,170,997","34,969","64,937","305,274","304,578","124,584","220,189","116,466","1,071,091","336,655","234,800","217,753","64,553","225,804","206,776","74,849","421,776","383,042","116,368","288,617","263,520","80,885",,"1,066,998","990,195","311,086","998,524","940,160","300,950","5,607","5,208",749,"14,880","12,247","2,966","18,301","15,825","8,785",N,N,N,"37,977","22,907","2,853","25,837","23,338","10,055","115,826","79,646","14,675",,(X),(X),(X),(X),,"36,445","27,667","31,395","33,984","46,364","60,816"
Illinois Total Estimate,,"1,162,448","135,800","342,491","512,846","171,311","8,694,694","388,348","494,289","2,255,611","1,737,416","710,058","1,886,240","1,222,732","7,812,057","3,108,972","1,748,323","1,631,773","752,977","1,641,179","1,480,378","688,229","3,259,831","2,923,614","1,104,866","2,045,361","1,776,292","562,900",,"6,414,127","5,892,532","2,389,865","5,640,997","5,335,849","2,252,003","1,177,578","1,019,157","266,688","20,287","15,019","4,795","513,285","464,487","333,637","2,792","2,608",952,"422,033","287,200","56,586","144,592","131,054","56,449","1,256,316","895,411","210,903",,(X),(X),(X),(X),,"45,015","27,186","32,304","39,400","60,357","76,363"
Indiana Total Estimate,,"662,783","93,856","235,436","262,282","71,209","4,502,015","162,057","306,026","1,526,825","896,654","397,627","777,771","435,055","4,033,932","1,212,826","886,319","802,602","273,104","825,768","739,889","263,566","1,705,456","1,537,456","440,762","1,084,472","953,985","235,394",,"3,843,248","3,481,823","1,050,610","3,692,360","3,369,378","1,021,750","395,797","347,099","76,495","13,195","10,709","1,450","101,424","85,765","59,907",N,N,N,"85,178","52,678","7,883","61,423","54,305","16,428","247,337","172,907","38,611",,(X),(X),(X),(X),,"39,833","27,765","32,101","37,154","50,630","65,941"
Iowa Total Estimate,,"310,236","32,235","91,070","155,502","31,429","2,123,004","57,894","98,587","658,822","433,870","251,578","420,199","202,054","1,966,523","622,253","400,299","377,629","144,346","392,097","362,058","137,729","777,033","723,175","209,693","553,575","503,661","130,485",,"1,950,864","1,826,229","576,133","1,877,984","1,776,895","566,289","72,382","60,078","10,764","7,678","6,297",641,"48,872","38,979","24,934",N,N,N,"17,543","11,337","2,472","24,563","22,722","7,129","94,822","64,035","13,097",,(X),(X),(X),(X),,"41,268","30,381","33,066","39,073","51,751","66,887"
Kansas Total Estimate,,"294,932","33,877","92,290","137,231","31,534","1,918,081","63,799","93,958","504,035","430,549","173,251","414,851","237,638","1,760,324","652,489","377,373","351,044","140,653","362,905","327,325","136,686","699,807","643,471","231,218","477,996","438,484","143,932",,"1,653,103","1,540,649","583,809","1,530,789","1,455,133","565,262","101,769","88,925","21,262","16,317","14,186","2,417","56,876","48,557","28,347",N,N,N,"46,958","28,628","4,713","41,525","37,846","11,433","177,719","121,553","25,086",,(X),(X),(X),(X),,"41,181","26,549","32,106","36,994","51,678","62,008"
Kentucky Total Estimate,,"417,406","50,880","154,324","171,776","40,426","3,048,442","154,759","235,894","1,012,643","619,035","260,188","453,040","312,883","2,657,789","765,923","576,692","529,287","173,333","556,896","499,412","163,031","1,160,295","1,015,075","272,822","754,559","614,015","156,737",,"2,705,849","2,364,855","681,115","2,648,824","2,322,767","668,275","232,582","205,082","44,872","5,539","4,208",944,"47,711","41,078","27,318",N,N,N,"21,419","12,056","2,422","32,799","28,385","8,781","84,517","59,393","16,690",,(X),(X),(X),(X),,"37,674","24,631","31,313","35,326","50,711","60,270"
Louisiana Total Estimate,,"423,707","66,931","148,611","172,021","36,144","3,140,201","138,644","302,200","1,066,026","646,746","202,310","503,947","280,328","2,699,357","784,275","643,422","565,119","181,788","606,785","528,918","169,088","1,147,800","990,303","264,969","742,194","615,017","168,430",,"2,036,883","1,796,567","577,730","1,938,051","1,722,650","559,317","948,531","778,698","161,778","18,751","14,763","3,109","54,463","45,422","24,952",N,N,N,"39,604","27,246","5,376","41,559","36,251","11,117","145,024","106,766","25,254",,(X),(X),(X),(X),,"37,599","22,913","30,786","35,064","50,699","60,992"
Maine Total Estimate,,"106,707","11,544","36,951","44,531","13,681","991,152","20,783","46,531","311,108","184,723","99,008","205,722","123,277","923,838","328,999","164,231","155,794","58,383","153,615","147,861","57,501","387,328","364,003","121,713","285,978","256,180","91,402",,"944,133","882,765","312,337","935,086","874,526","308,844","11,899","10,412","4,531","6,426","6,045","1,595","10,990","8,985","5,029",N,N,N,"3,042","2,611",857,"14,470","12,839","4,594","13,580","12,213","5,139",,(X),(X),(X),(X),,"39,550","25,504","31,798","36,274","47,375","60,347"
