Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
New Jersey Total Estimate,,"752,937","71,642","220,673","320,043","140,579","6,191,229","287,999","311,620","1,666,321","974,540","398,984","1,555,781","995,984","5,591,610","2,551,765","1,148,458","1,079,723","549,095","1,144,104","1,038,627","552,392","2,423,592","2,212,373","974,740","1,475,075","1,260,887","475,538",,"4,294,038","3,949,218","1,804,380","3,577,879","3,393,134","1,638,808","813,816","722,452","206,177","12,055","9,120","3,429","613,693","570,119","439,356",N,N,N,"342,229","237,662","52,819","112,926","100,948","44,807","1,134,354","855,163","238,863",,(X),(X),(X),(X),,"51,786","28,427","35,048","44,983","67,038","92,098"
New Mexico Total Estimate,,"196,991","30,540","71,806","79,527","15,118","1,425,988","82,436","118,892","376,390","324,141","129,531","221,281","173,317","1,224,660","394,598","278,627","248,343","67,194","261,847","222,689","70,402","507,784","438,189","137,513","377,730","315,439","119,489",,"1,081,586","945,861","332,106","606,478","572,313","249,783","29,349","25,546","8,328","125,785","102,874","14,816","27,650","24,643","13,718",N,N,N,"126,817","93,840","16,220","33,989","31,084","9,022","630,721","491,970","103,921",,(X),(X),(X),(X),,"35,284","21,016","29,002","32,187","45,109","62,501"
New York Total Estimate,,"1,766,731","181,143","498,422","762,486","324,680","13,664,734","795,539","898,691","3,524,192","2,075,506","1,204,588","2,898,440","2,267,778","11,970,504","5,166,218","2,865,401","2,643,911","1,351,584","2,430,106","2,172,693","1,066,716","5,073,259","4,447,044","1,758,672","3,295,968","2,706,856","989,246",,"8,910,770","8,174,629","3,773,080","7,894,691","7,399,414","3,513,139","2,097,135","1,783,534","514,071","50,556","38,409","9,348","1,213,907","973,299","579,958","5,020","4,132",949,"1,060,782","721,103","172,193","326,564","275,398","116,619","2,359,532","1,713,541","497,085",,(X),(X),(X),(X),,"47,645","26,036","33,491","41,421","62,699","81,041"
North Carolina Total Estimate,,"1,007,035","121,314","320,704","456,503","108,514","7,187,077","299,154","519,770","1,839,042","1,480,044","727,882","1,471,420","849,765","6,368,153","2,321,185","1,401,663","1,269,040","498,352","1,312,661","1,157,415","480,498","2,721,818","2,435,817","866,927","1,750,935","1,505,881","475,408",,"5,103,713","4,630,087","1,790,921","4,805,279","4,430,971","1,731,353","1,486,857","1,285,273","333,127","81,694","63,225","11,995","213,997","186,684","125,226","4,374","3,878","1,500","185,783","99,506","21,217","110,659","99,500","37,199","513,662","322,675","87,258",,(X),(X),(X),(X),,"38,534","23,976","30,369","34,861","50,977","65,620"
North Dakota Total Estimate,,"80,981","7,468","21,467","41,704","10,342","504,375","13,284","19,735","134,432","112,811","70,716","108,527","44,870","471,356","153,397","117,574","111,282","39,309","96,037","91,548","36,595","170,587","162,829","48,905","120,177","105,697","28,588",,"446,532","420,846","141,338","438,065","413,888","139,080","13,471","12,556","2,930","21,476","18,157","3,778","7,164","5,796","2,906",N,N,N,"4,140","3,525",158,"10,065","9,305","1,704","15,357","12,913","2,661",,(X),(X),(X),(X),,"43,865","28,756","34,343","41,818","51,854","61,288"
Ohio Total Estimate,,"1,064,448","136,190","379,815","440,427","108,016","8,049,805","221,017","519,830","2,627,758","1,622,014","702,601","1,464,945","891,640","7,308,958","2,356,585","1,544,717","1,429,808","528,379","1,404,148","1,290,580","487,467","3,057,392","2,802,254","858,061","2,043,548","1,786,316","482,678",,"6,706,983","6,154,845","2,028,724","6,552,807","6,034,549","1,994,104","939,875","816,049","164,083","15,473","12,255","2,741","185,785","161,248","116,146","3,809","2,697","1,482","71,858","50,446","11,628","126,022","111,418","31,781","247,310","188,167","50,050",,(X),(X),(X),(X),,"40,586","24,836","31,514","36,821","53,680","71,180"
Oklahoma Total Estimate,,"385,498","55,594","136,359","160,863","32,682","2,619,244","100,954","202,312","825,284","596,289","207,896","447,888","238,621","2,315,978","686,509","536,999","482,723","138,253","501,516","440,973","146,428","945,507","838,331","244,387","635,222","553,951","157,441",,"1,999,360","1,789,870","555,706","1,851,190","1,695,379","536,614","180,859","161,783","35,734","187,385","161,829","32,937","58,425","47,596","25,215","2,691","2,215",285,"51,498","28,542","4,266","139,026","124,143","32,366","215,930","136,421","25,981",,(X),(X),(X),(X),,"38,088","24,760","31,766","35,955","47,828","61,092"
Oregon Total Estimate,,"366,803","48,660","114,446","164,509","39,188","2,988,118","98,217","160,182","687,243","741,058","269,102","627,911","404,405","2,729,719","1,032,316","594,585","551,789","208,425","578,846","521,837","230,864","1,047,191","949,148","343,271","767,496","706,945","249,756",,"2,568,427","2,377,721","890,007","2,376,419","2,242,942","857,953","51,503","46,574","15,693","34,708","29,803","7,006","136,123","119,740","73,490","8,893","8,280","1,803","85,411","53,409","10,700","103,053","94,192","33,617","301,623","207,828","48,131",,(X),(X),(X),(X),,"40,774","27,408","31,451","36,817","52,498","70,854"
Pennsylvania Total Estimate,,"1,141,628","136,905","398,207","452,714","153,802","9,028,036","273,775","538,057","3,103,046","1,420,062","775,694","1,761,627","1,155,775","8,216,204","2,917,402","1,704,848","1,586,612","681,890","1,520,179","1,401,375","591,678","3,414,791","3,130,336","1,042,279","2,388,218","2,097,881","601,555",,"7,439,802","6,879,084","2,487,823","7,155,025","6,654,480","2,427,844","931,454","818,947","187,798","17,215","13,346","3,523","309,518","262,600","176,483","2,139","1,670",705,"196,555","124,030","21,178","131,353","116,527","39,892","544,225","396,845","89,938",,(X),(X),(X),(X),,"42,229","26,343","32,567","39,075","55,326","73,805"
Rhode Island Total Estimate,,"108,834","10,138","35,145","49,918","13,633","746,952","37,697","42,510","212,282","129,984","64,204","156,087","104,188","666,745","260,275","148,180","137,462","63,074","124,433","114,593","47,598","287,184","256,651","94,673","187,155","158,039","54,930",,"613,613","557,235","225,236","565,077","521,778","217,399","49,190","44,815","11,498",N,N,N,"25,461","22,315","13,411",N,N,N,"36,544","24,185","3,850","18,859","15,432","5,776","97,435","69,128","13,985",,(X),(X),(X),(X),,"46,060","31,893","36,883","40,363","57,398","76,827"
South Carolina Total Estimate,,"473,210","59,844","166,144","202,646","44,576","3,563,204","132,646","283,032","1,015,260","725,158","352,549","656,496","398,063","3,147,526","1,054,559","670,757","604,820","213,392","628,604","561,219","203,380","1,328,305","1,180,518","374,596","935,538","800,969","263,191",,"2,483,427","2,256,431","843,737","2,396,696","2,193,273","825,092","899,954","755,058","157,571","13,884","10,732","2,624","58,659","51,547","30,136",N,N,N,"60,585","32,329","7,472","42,843","38,351","12,659","157,206","103,433","28,326",,(X),(X),(X),(X),,"37,727","23,085","30,592","35,994","50,734","60,788"
South Dakota Total Estimate,,"81,361","11,216","27,882","33,736","8,527","588,029","16,462","29,832","176,644","120,476","69,831","121,231","53,553","541,735","174,784","114,420","105,662","40,071","106,071","98,890","34,623","213,739","198,583","61,967","153,799","138,600","38,123",,"516,050","484,790","162,367","505,241","475,999","159,793","11,679","9,009","2,206","38,100","30,473","3,366","7,098","5,757","3,029",N,N,N,"3,771","2,682","1,283","9,997","8,843","2,419","16,720","13,509","4,271",,(X),(X),(X),(X),,"38,646","22,131","31,306","36,732","47,630","57,244"
Tennessee Total Estimate,,"624,460","67,988","216,695","268,300","71,477","4,693,962","202,493","360,324","1,480,753","953,282","348,886","845,100","503,124","4,131,145","1,348,224","934,878","862,842","313,856","849,159","759,559","278,653","1,770,960","1,564,388","492,949","1,138,965","944,356","262,766",,"3,744,336","3,320,852","1,113,589","3,613,025","3,235,574","1,088,519","737,044","642,620","160,047","14,977","11,680","2,322","87,030","74,763","45,438",N,N,N,"52,512","29,835","8,721","56,291","49,718","17,580","188,951","119,183","34,989",,(X),(X),(X),(X),,"37,610","25,365","30,596","35,518","50,633","62,832"
Texas Total Estimate,,"2,826,700","392,086","977,096","1,189,979","267,539","18,772,550","1,436,483","1,445,905","4,734,422","3,976,607","1,402,600","3,750,797","2,025,736","15,890,162","5,776,533","4,242,661","3,800,840","1,390,246","3,959,419","3,367,277","1,327,190","6,831,743","5,710,859","2,035,877","3,738,727","3,011,186","1,023,220",,"13,971,984","11,849,176","4,300,488","8,669,915","8,185,175","3,418,965","2,289,499","2,087,880","588,132","98,802","83,245","23,685","1,008,252","901,376","610,703","16,349","14,531","3,633","1,030,092","638,279","130,312","357,572","315,675","119,580","6,538,918","4,465,125","1,055,087",,(X),(X),(X),(X),,"40,895","25,282","31,234","38,121","56,853","72,195"
Utah Total Estimate,,"364,058","38,891","120,041","179,473","25,653","1,911,592","46,767","86,293","442,206","486,888","184,777","448,109","216,552","1,778,532","664,661","472,153","444,995","165,186","443,692","416,127","169,257","630,549","577,679","212,879","365,198","339,731","117,339",,"1,694,118","1,600,594","605,933","1,540,298","1,479,904","579,792","19,937","17,196","3,477","20,630","16,902","2,415","52,276","47,201","28,736","16,930","15,386","2,606","70,693","46,594","8,460","37,008","34,659","13,034","233,666","174,694","36,557",,(X),(X),(X),(X),,"41,679","28,028","34,667","37,247","51,611","76,099"
Vermont Total Estimate,,"64,872","5,163","21,257","30,622","7,830","445,558","9,568","21,290","129,254","74,468","38,706","101,015","71,257","414,700","172,272","76,649","71,842","32,330","70,815","66,526","31,482","172,893","161,544","63,473","125,201","114,788","44,987",,"422,653","396,497","164,139","418,747","392,894","162,722","5,756","4,774","1,512","2,033","1,461",315,"6,155","5,115","3,036",N,N,N,N,N,N,"7,602","5,757","2,525","5,638","4,996","1,844",,(X),(X),(X),(X),,"41,496","27,052","32,425","39,882","47,170","61,617"
Virginia Total Estimate,,"805,157","78,034","273,942","347,387","105,794","5,872,757","222,224","362,488","1,387,610","1,107,258","468,107","1,312,800","1,012,270","5,288,045","2,325,070","1,174,655","1,096,679","497,806","1,128,152","1,030,247","504,184","2,211,614","1,999,003","872,686","1,358,336","1,162,116","450,394",,"4,069,698","3,738,080","1,709,421","3,782,506","3,519,512","1,624,910","1,110,132","957,032","279,870","15,850","13,128","4,746","405,441","367,340","251,603","3,029","2,832","1,188","141,159","92,306","27,780","127,448","117,327","50,462","465,976","341,666","122,518",,(X),(X),(X),(X),,"46,873","23,892","32,366","40,071","61,529","85,582"
Washington Total Estimate,,"661,604","93,644","217,078","273,485","77,397","5,290,324","187,558","252,516","1,167,347","1,199,747","527,524","1,204,728","750,904","4,850,250","1,955,632","1,164,010","1,081,355","462,884","1,032,245","936,784","415,426","1,886,384","1,727,064","661,521","1,207,685","1,105,047","415,801",,"4,090,653","3,834,778","1,519,113","3,821,704","3,637,750","1,460,092","195,806","177,317","49,146","66,153","54,468","10,418","502,312","445,254","281,574","31,931","28,094","3,359","197,368","121,354","23,458","206,101","188,985","68,564","509,771","353,211","91,006",,(X),(X),(X),(X),,"48,567","30,627","36,441","42,030","62,447","86,167"
West Virginia Total Estimate,,"152,243","18,690","59,355","59,009","15,189","1,281,086","53,606","111,199","515,431","229,877","101,267","161,686","108,020","1,116,281","269,706","211,267","194,042","51,789","219,899","200,719","59,337","482,520","424,798","94,707","367,400","296,722","63,873",,"1,204,645","1,047,214","251,912","1,194,674","1,038,266","249,513","46,716","43,046","6,422","2,261","1,909",461,"11,020","9,719","7,297",N,N,N,"3,128","2,605",456,"13,045","11,517","3,113","14,106","12,195","3,180",,(X),(X),(X),(X),,"35,440","20,200","30,573","32,380","45,304","58,802"
Wisconsin Total Estimate,,"543,737","55,999","181,487","242,159","64,092","4,015,285","98,802","192,060","1,223,392","804,271","438,381","829,878","428,501","3,724,423","1,258,379","737,315","697,284","274,024","714,436","663,433","268,461","1,543,638","1,436,792","458,144","1,019,896","926,914","257,750",,"3,539,280","3,326,858","1,145,976","3,408,152","3,231,055","1,123,870","219,379","185,905","33,408","34,006","30,884","4,925","103,046","88,663","48,838",N,N,N,"69,021","44,874","9,242","48,265","45,354","15,211","210,204","149,020","32,728",,(X),(X),(X),(X),,"42,222","29,561","33,547","40,482","52,425","67,112"
Wyoming Total Estimate,,"54,723","6,252","18,432","25,169","4,870","389,847","6,546","14,704","117,501","93,505","44,034","73,183","40,374","368,597","113,557","76,649","71,890","20,267","73,671","69,881","24,659","140,738","134,005","37,792","98,789","92,821","30,839",,"361,618","342,990","107,910","340,863","326,323","105,019","3,291","3,252","1,531","8,656","7,955",924,"3,690","3,621","1,719",N,N,N,"6,722","5,487",270,"5,495","4,983","1,120","30,212","24,557","3,418",,(X),(X),(X),(X),,"40,800","29,982","36,929","36,885","47,962","61,288"
Puerto Rico Total Estimate,,"319,225","28,658","84,181","171,326","35,060","2,301,735","320,083","168,325","648,146","279,696","258,905","443,589","182,991","1,813,327","626,580","385,530","356,754","126,465","395,192","348,249","132,895","841,348","704,568","246,849","679,665","403,756","120,371",,"1,500,728","1,206,140","440,267","29,463","25,903","10,777","295,115","222,205","59,997",N,N,N,"4,381","3,064","1,044",N,N,N,"343,800","261,842","82,322","155,118","117,806","42,281","2,261,008","1,778,471","613,506",,(X),(X),(X),(X),,"18,587","11,259","15,055","17,187","24,668","34,649"
