Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"White alone, not Hispanic or Latino",    High school graduate or higher,    Bachelor's degree or higher,Black alone,    High school graduate or higher,    Bachelor's degree or higher,American Indian or Alaska Native alone,    High school graduate or higher,    Bachelor's degree or higher,Asian alone,    High school graduate or higher,    Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,    High school graduate or higher,    Bachelor's degree or higher,Some other race alone,    High school graduate or higher,    Bachelor's degree or higher,Two or more races,    High school graduate or higher,    Bachelor's degree or higher,Hispanic or Latino Origin,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Idaho Total Estimate,,"161,870","23,129","58,025","69,886","10,830","1,111,788","36,681","65,058","313,029","291,857","107,505","202,800","94,858",(X),(X),"221,528","204,294","56,845","215,657","196,939","66,348","412,009","373,580","106,892","262,594","235,236","67,573",,"1,021,668","939,160","279,619","954,238","893,033","272,070","6,498","5,861","1,589","13,715","12,232","1,245","15,127","13,400","6,966",N,N,N,"31,857","18,354","2,038","20,537","18,794","5,856","104,078","68,399","10,278",,(X),(X),(X),(X),,"32,470","25,230","28,642","30,813","42,188","60,976"
Illinois Total Estimate,,"1,199,876","155,690","350,882","540,668","152,636","8,707,057","424,494","525,386","2,272,174","1,794,526","692,672","1,829,903","1,167,902",(X),(X),"1,765,429","1,630,904","727,260","1,647,140","1,477,989","636,886","3,346,893","2,986,688","1,105,393","1,947,595","1,661,596","528,266",,"6,438,389","5,894,690","2,335,004","5,711,077","5,387,377","2,213,451","1,168,603","1,013,687","246,067","22,151","16,172","4,722","488,920","444,526","319,042","2,817","2,687",783,"452,592","267,708","44,304","133,585","117,707","47,883","1,234,633","815,096","176,171",,(X),(X),(X),(X),,"41,505","24,957","31,161","36,756","56,643","73,296"
Indiana Total Estimate,,"657,470","98,612","220,384","271,584","66,890","4,435,317","161,138","343,724","1,450,767","896,138","394,092","753,268","436,190",(X),(X),"868,016","781,009","278,844","818,483","724,788","247,547","1,724,932","1,549,662","441,949","1,023,886","874,996","221,118",,"3,822,117","3,422,019","1,038,611","3,673,030","3,326,258","1,015,221","383,579","326,696","73,706","9,288","7,281","1,135","89,487","74,850","51,144",N,N,N,"68,119","43,849","7,763","61,666","54,758","16,763","230,550","148,306","33,501",,(X),(X),(X),(X),,"37,460","24,213","31,363","35,770","50,294","62,356"
Iowa Total Estimate,,"321,452","33,800","91,121","159,564","36,967","2,093,909","65,578","100,027","639,230","440,516","242,738","406,630","199,190",(X),(X),"392,787","365,871","137,608","374,473","344,875","132,759","802,025","746,822","216,996","524,624","470,736","118,457",,"1,935,933","1,803,495","565,200","1,873,817","1,762,615","556,008","57,195","48,896","11,258","5,780","5,015",747,"49,562","38,917","20,994","2,933","1,988",304,"21,881","11,453","2,219","20,625","18,540","5,098","88,561","55,548","11,647",,(X),(X),(X),(X),,"40,006","26,975","31,973","36,707","50,840","64,908"
Kansas Total Estimate,,"296,020","35,316","86,136","143,072","31,496","1,904,528","66,505","104,758","490,769","432,206","167,548","403,542","239,200",(X),(X),"384,111","351,293","137,173","354,624","320,622","135,650","718,342","659,012","238,083","447,451","402,338","131,836",,"1,653,177","1,525,758","576,892","1,532,432","1,444,238","559,434","101,011","87,418","20,245","14,062","12,505","2,831","57,486","49,796","28,896",N,N,N,"39,777","22,906","4,091","37,263","33,325","9,697","169,377","112,203","22,800",,(X),(X),(X),(X),,"38,513","26,056","30,111","34,570","49,257","61,088"
Kentucky Total Estimate,,"420,632","48,730","158,218","176,417","37,267","3,018,953","164,235","248,251","997,060","644,270","241,585","423,916","299,636",(X),(X),"573,771","527,981","160,364","555,670","494,974","157,542","1,180,464","1,023,952","268,781","709,048","559,560","136,865",,"2,690,118","2,322,680","646,883","2,637,733","2,282,144","634,745","224,307","198,499","42,622","5,941","4,987",834,"40,370","34,117","19,598",N,N,N,"21,560","13,805","3,980","34,300","30,154","9,419","76,434","56,071","16,229",,(X),(X),(X),(X),,"35,714","21,842","30,002","32,483","46,881","56,704"
Louisiana Total Estimate,,"454,814","81,544","148,185","189,398","35,687","3,120,277","152,771","311,048","1,061,526","666,998","185,409","482,439","260,086",(X),(X),"654,476","574,164","171,313","588,273","509,383","163,449","1,181,417","1,008,377","261,416","696,111","564,534","146,347",,"2,038,970","1,805,227","566,598","1,948,052","1,737,717","549,538","935,496","741,500","136,452","15,118","10,855","1,760","55,217","43,206","23,529",N,N,N,"42,327","26,279","5,276","32,342","28,757","8,792","140,423","97,154","21,970",,(X),(X),(X),(X),,"35,479","21,789","28,026","32,157","48,795","58,960"
Maine Total Estimate,,"109,965","12,671","36,781","49,653","10,860","971,740","25,574","49,213","300,716","184,416","100,214","193,860","117,747",(X),(X),"158,713","150,514","55,355","151,118","143,039","53,269","395,168","368,648","120,252","266,741","234,752","82,731",,"932,606","863,825","300,450","924,847","857,035","297,672","8,870","7,199","2,111","5,796","4,506",862,"9,790","8,207","4,419",N,N,N,N,N,N,"12,904","11,625","3,410","10,628","9,313","3,343",,(X),(X),(X),(X),,"36,494","23,092","28,193","34,563","44,118","58,537"
Maryland Total Estimate,,"537,623","56,430","167,249","241,383","72,561","4,167,604","165,505","254,504","1,020,828","788,808","285,379","889,090","763,490",(X),(X),"837,271","763,965","348,426","772,536","696,115","348,535","1,655,211","1,506,797","644,378","902,586","780,718","311,241",,"2,403,782","2,222,290","1,059,381","2,252,470","2,109,032","1,012,296","1,216,114","1,093,637","358,259","12,516","9,089","1,913","280,663","254,015","173,748",N,N,N,"168,529","90,011","21,456","84,022","76,632","37,431","345,734","223,330","74,749",,(X),(X),(X),(X),,"50,160","26,309","35,409","42,707","61,640","82,432"
Massachusetts Total Estimate,,"700,662","76,449","185,337","311,940","126,936","4,788,573","207,140","235,318","1,163,526","743,218","360,700","1,146,586","932,085",(X),(X),"972,147","910,639","505,522","835,762","768,056","404,235","1,872,840","1,718,949","782,181","1,107,824","948,471","386,733",,"3,884,683","3,599,248","1,744,869","3,616,179","3,400,162","1,688,677","337,720","288,190","87,437","8,547","6,806","2,416","309,727","265,834","190,385",N,N,N,"157,226","111,108","21,563","90,320","74,579","31,848","454,608","329,780","83,168",,(X),(X),(X),(X),,"50,590","25,757","36,055","41,187","62,167","79,988"
Michigan Total Estimate,,"967,140","119,587","305,104","440,245","102,204","6,819,310","192,884","427,082","1,969,839","1,594,025","649,916","1,201,375","784,189",(X),(X),"1,266,361","1,167,148","424,146","1,157,393","1,060,335","387,852","2,730,443","2,515,002","766,868","1,665,113","1,456,859","406,698",,"5,525,976","5,089,799","1,656,834","5,348,762","4,955,599","1,623,614","875,432","754,126","152,526","36,881","32,032","6,530","204,155","182,420","126,734","1,781","1,516",750,"63,465","40,032","9,388","111,620","99,419","32,802","259,188","188,551","44,310",,(X),(X),(X),(X),,"38,116","21,773","30,065","34,761","51,527","70,518"
Minnesota Total Estimate,,"500,408","60,244","138,410","230,024","71,730","3,778,416","114,437","147,197","938,908","788,988","426,760","888,880","473,246",(X),(X),"758,807","711,944","319,899","701,136","652,723","288,868","1,459,569","1,373,677","505,099","858,904","778,438","248,260",,"3,263,895","3,110,706","1,215,794","3,185,661","3,052,957","1,199,460","196,415","159,611","43,151","34,210","28,031","4,530","167,233","135,143","74,173",N,N,N,"59,619","32,005","6,962","55,418","50,134","17,237","146,906","96,995","24,675",,(X),(X),(X),(X),,"43,424","25,012","31,965","40,043","56,347","72,143"
Mississippi Total Estimate,,"310,206","47,970","95,371","144,532","22,333","1,959,341","94,490","211,478","595,611","431,185","198,080","265,220","163,277",(X),(X),"362,723","312,377","79,407","377,902","330,665","93,271","752,997","647,515","163,280","465,719","362,816","92,539",,"1,211,539","1,057,153","306,864","1,187,342","1,039,581","301,719","689,164","551,273","105,737","8,276","6,725","1,685","18,444","14,878","6,478",N,N,N,"15,135","8,205","2,224","16,183","14,539","5,509","42,000","28,467","7,515",,(X),(X),(X),(X),,"32,374","22,273","26,845","31,594","41,706","54,539"
Missouri Total Estimate,,"575,596","69,061","189,900","256,110","60,525","4,150,275","129,072","298,467","1,277,505","912,962","326,430","743,797","462,042",(X),(X),"814,462","747,120","273,994","729,164","663,585","248,992","1,596,380","1,442,796","451,605","1,010,269","869,235","231,248",,"3,511,414","3,179,768","1,053,065","3,430,994","3,117,180","1,034,438","432,245","367,165","74,614","17,890","16,316","3,961","82,661","74,753","48,937","4,949","4,003","1,405","40,876","26,642","5,963","60,240","54,089","17,894","128,571","94,194","25,671",,(X),(X),(X),(X),,"36,565","21,779","30,097","33,653","48,238","60,056"
Montana Total Estimate,,"96,932","11,805","37,224","38,823","9,080","723,666","16,155","34,574","203,141","170,207","65,772","157,326","76,491",(X),(X),"132,667","122,676","42,434","125,034","116,670","44,943","275,749","259,247","86,690","190,216","174,344","59,750",,"658,190","616,718","220,110","645,390","607,037","217,814","3,105","2,784",542,"36,636","31,197","5,763","6,262","5,385","2,683",N,N,N,"4,042","2,256",693,"14,618","13,842","3,946","18,729","13,502","3,447",,(X),(X),(X),(X),,"33,210","21,588","28,378","30,736","40,244","57,421"
Nebraska Total Estimate,,"186,225","18,896","54,651","91,888","20,790","1,259,254","48,755","60,668","331,081","291,423","128,547","263,330","135,450",(X),(X),"259,071","237,514","96,669","235,957","213,708","87,978","469,321","432,345","139,533","294,905","266,264","74,600",,"1,131,814","1,049,017","367,900","1,051,542","1,001,958","358,709","53,583","45,980","9,629","8,527","6,946",797,"28,432","22,045","14,281",N,N,N,"18,396","9,637","1,382","17,598","15,525","4,519","102,067","59,250","11,159",,(X),(X),(X),(X),,"39,578","25,515","31,296","36,349","50,138","61,324"
Nevada Total Estimate,,"250,902","37,432","101,302","97,793","14,375","2,063,180","107,354","165,663","592,846","518,529","165,508","340,110","173,170",(X),(X),"436,060","385,594","104,534","400,006","344,040","101,642","768,435","661,262","188,153","458,679","399,267","118,951",,"1,395,786","1,248,013","369,206","1,133,748","1,066,450","337,037","175,821","156,537","32,469","24,484","20,144","2,288","193,401","176,268","77,431","13,826","12,678","1,589","196,953","119,482","15,230","62,909","57,041","15,067","483,686","319,835","50,033",,(X),(X),(X),(X),,"36,423","26,840","31,208","36,581","48,974","65,557"
New Hampshire Total Estimate,,"126,595","12,260","41,149","56,930","16,256","958,005","18,164","48,396","268,564","171,011","97,978","216,750","137,142",(X),(X),"163,877","153,638","68,344","151,687","143,882","60,836","406,120","381,602","148,411","236,321","212,323","76,301",,"902,395","842,315","330,258","882,708","826,164","325,050","13,572","11,749","3,523",N,N,N,"24,677","21,220","14,924",N,N,N,"3,334","3,173",982,"12,388","11,483","3,871","26,931","22,318","6,671",,(X),(X),(X),(X),,"45,390","27,050","35,018","41,023","56,249","70,295"
New Jersey Total Estimate,,"792,310","85,464","227,024","349,779","130,043","6,234,538","298,109","330,076","1,696,858","1,014,640","418,148","1,506,899","969,808",(X),(X),"1,162,394","1,089,374","539,527","1,159,791","1,054,265","535,315","2,495,881","2,271,275","969,198","1,416,472","1,191,439","432,667",,"4,360,008","3,988,850","1,746,500","3,639,609","3,438,095","1,593,464","802,713","699,908","198,178","11,643","9,640","3,686","628,099","578,795","440,532","2,713","1,967",779,"326,262","235,552","47,485","103,100","91,641","39,547","1,117,438","841,683","219,314",,(X),(X),(X),(X),,"49,671","22,930","34,137","41,178","63,545","86,548"
New Mexico Total Estimate,,"206,873","36,365","67,560","90,653","12,295","1,391,475","80,805","112,760","370,599","333,280","117,531","211,995","164,505",(X),(X),"274,063","247,363","67,744","250,144","211,743","61,088","517,339","445,804","141,208","349,929","293,000","106,460",,"1,087,117","951,985","318,503","606,845","575,935","242,356","27,850","24,610","6,255","120,895","98,306","12,136","21,405","19,681","13,013",N,N,N,"101,618","73,620","16,268","31,332","28,634","9,982","606,602","470,306","97,478",,(X),(X),(X),(X),,"32,343","20,428","26,822","31,378","42,379","60,401"
New York Total Estimate,,"1,874,770","212,967","492,130","852,254","317,419","13,821,132","842,286","1,012,659","3,634,065","2,133,828","1,218,132","2,794,920","2,185,242",(X),(X),"2,923,367","2,651,959","1,311,673","2,471,713","2,174,063","1,018,700","5,265,003","4,587,028","1,748,865","3,161,049","2,553,137","900,924",,"9,034,087","8,238,919","3,656,815","8,022,627","7,493,452","3,427,375","2,098,464","1,750,419","501,805","52,108","37,888","8,686","1,238,032","969,707","556,658","5,361","4,209","1,345","1,106,226","724,416","157,493","286,854","240,629","97,360","2,365,690","1,651,191","437,278",,(X),(X),(X),(X),,"42,525","22,323","31,190","38,580","60,027","75,012"
North Carolina Total Estimate,,"981,044","133,754","303,646","446,194","97,450","6,991,185","314,734","539,055","1,800,555","1,487,938","658,224","1,406,739","783,940",(X),(X),"1,352,154","1,219,077","468,044","1,305,272","1,148,751","467,683","2,703,761","2,409,213","830,865","1,629,998","1,360,355","424,087",,"5,024,276","4,502,678","1,710,322","4,722,706","4,319,996","1,658,051","1,439,450","1,229,622","304,658","79,350","60,974","11,421","194,787","167,536","116,066","4,071","3,853","1,264","152,558","86,904","14,995","96,693","85,829","31,953","476,705","285,893","71,758",,(X),(X),(X),(X),,"36,420","21,705","27,936","32,357","50,105","61,504"
North Dakota Total Estimate,,"86,353","7,269","27,522","39,453","12,109","495,904","13,936","21,087","130,900","111,306","66,236","108,045","44,394",(X),(X),"114,379","109,563","44,475","89,406","85,750","34,649","179,450","168,981","49,137","112,669","96,587","24,178",,"441,932","413,867","137,340","433,535","406,705","136,559","13,448","12,017","3,414","22,004","19,017","3,865","8,091","7,250","5,529",N,N,N,"4,724","3,388",531,"5,365","5,002","1,760","13,249","10,550","1,649",,(X),(X),(X),(X),,"41,527","29,167","36,102","39,714","50,270","61,798"
Ohio Total Estimate,,"1,074,727","140,371","365,448","461,286","107,622","7,981,885","218,232","559,456","2,661,209","1,612,818","698,820","1,381,934","849,416",(X),(X),"1,525,401","1,406,599","501,392","1,383,026","1,269,523","465,192","3,133,842","2,853,686","827,724","1,939,616","1,674,389","437,042",,"6,695,975","6,106,412","1,928,744","6,548,988","5,990,899","1,899,538","911,989","778,024","153,023","17,327","13,671","2,642","172,454","152,863","106,971","2,343","1,626",650,"60,949","44,314","9,699","120,848","107,287","29,621","227,001","174,259","41,896",,(X),(X),(X),(X),,"37,915","22,520","30,480","35,295","51,684","66,321"
Oklahoma Total Estimate,,"382,967","58,141","130,899","165,963","27,964","2,586,414","104,975","204,039","804,245","603,902","208,717","437,243","223,293",(X),(X),"538,461","483,919","143,712","486,405","428,305","131,470","960,416","849,325","242,116","601,132","515,851","143,238",,"1,976,555","1,762,257","536,615","1,851,740","1,680,541","520,547","176,022","157,652","34,775","176,527","152,374","28,648","56,009","45,090","23,162","4,292","3,749",251,"59,123","33,041","5,138","137,886","123,237","31,947","197,987","126,333","23,254",,(X),(X),(X),(X),,"35,198","24,007","27,987","32,900","46,203","56,850"
Oregon Total Estimate,,"367,807","55,844","116,824","163,659","31,480","2,901,195","102,453","159,928","673,810","730,804","255,783","609,160","369,257",(X),(X),"578,534","530,833","212,508","549,489","491,034","210,793","1,064,304","968,862","333,534","708,868","648,085","221,582",,"2,526,224","2,326,835","855,912","2,337,915","2,197,798","824,772","49,421","43,699","14,272","30,700","25,054","3,327","128,319","112,654","69,068","9,760","8,137","1,768","64,182","40,992","9,633","92,589","81,443","24,437","277,055","189,004","45,799",,(X),(X),(X),(X),,"37,424","24,475","30,352","35,272","48,567","64,380"
Pennsylvania Total Estimate,,"1,179,724","141,464","399,453","485,428","153,379","8,960,842","283,386","560,910","3,134,497","1,416,816","747,997","1,697,397","1,119,839",(X),(X),"1,681,722","1,565,491","661,456","1,489,221","1,370,596","565,884","3,513,356","3,225,676","1,042,067","2,276,543","1,954,783","547,829",,"7,482,827","6,863,352","2,421,062","7,181,183","6,639,584","2,366,302","904,357","788,905","174,529","16,148","13,253","3,235","297,517","248,929","166,129","2,641","1,921",299,"139,279","97,717","16,706","118,073","102,469","35,276","497,044","362,806","79,830",,(X),(X),(X),(X),,"40,695","24,849","31,485","36,835","51,950","70,080"
Rhode Island Total Estimate,,"115,698","9,656","37,279","56,409","12,354","736,969","37,301","48,991","220,613","124,664","58,876","149,699","96,825",(X),(X),"145,756","135,171","52,982","123,187","113,723","49,359","291,454","256,988","94,056","176,572","144,795","50,127",,"627,563","562,278","216,982","570,790","516,136","208,453","38,569","31,528","8,266","3,395","2,422",874,"24,590","21,329","14,120",N,N,N,"28,664","20,385","2,459","13,615","12,182","3,702","89,333","68,980","11,841",,(X),(X),(X),(X),,"42,886","24,243","34,055","39,598","55,749","75,258"
South Carolina Total Estimate,,"478,798","62,143","159,895","213,744","43,016","3,443,851","139,309","295,539","1,016,072","698,438","330,153","607,024","357,316",(X),(X),"648,479","578,485","187,421","619,763","547,441","191,068","1,309,792","1,158,571","349,711","865,817","724,506","236,140",,"2,423,368","2,179,378","790,974","2,326,125","2,110,514","773,676","867,504","709,403","128,683","10,713","8,163","1,228","53,449","46,191","26,829",N,N,N,"44,971","26,974","5,039","40,824","35,954","11,035","151,542","102,805","23,622",,(X),(X),(X),(X),,"33,596","20,823","27,178","31,865","46,928","56,616"
South Dakota Total Estimate,,"81,879","11,646","23,449","37,080","9,704","574,559","16,831","30,795","176,709","126,282","62,204","109,803","51,935",(X),(X),"116,061","106,756","35,440","99,981","92,233","31,046","216,631","202,394","59,203","141,886","125,550","36,049",,"507,840","474,815","151,726","496,930","466,384","149,679","9,548","8,874","1,312","37,477","26,141","3,416","6,312","5,743","2,855",N,N,N,"3,669","2,332",805,"9,026","8,388","1,624","15,743","11,790","2,800",,(X),(X),(X),(X),,"35,955","25,976","30,721","34,346","44,805","57,922"
