Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"White alone, not Hispanic or Latino",    High school graduate or higher,    Bachelor's degree or higher,Black alone,    High school graduate or higher,    Bachelor's degree or higher,American Indian or Alaska Native alone,    High school graduate or higher,    Bachelor's degree or higher,Asian alone,    High school graduate or higher,    Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,    High school graduate or higher,    Bachelor's degree or higher,Some other race alone,    High school graduate or higher,    Bachelor's degree or higher,Two or more races,    High school graduate or higher,    Bachelor's degree or higher,Hispanic or Latino Origin,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Alabama Total Estimate,,"471,079","63,810","161,311","214,751","31,207","3,309,607","137,386","309,557","1,029,982","709,100","278,878","528,019","316,685",(X),(X),"628,878","555,404","167,848","596,006","525,791","166,364","1,281,507","1,130,179","333,016","803,216","651,290","177,476",,"2,342,850","2,065,729","667,005","2,283,461","2,024,688","653,852","833,006","692,547","140,364","18,800","14,647","2,751","43,607","37,934","20,772",N,N,N,"32,645","18,505","3,160","37,570","32,322","10,333","95,591","61,641","16,521",,(X),(X),(X),(X),,"35,578","21,601","29,440","32,057","49,520","57,213"
Alaska Total Estimate,,"73,053","10,416","27,892","29,966","4,779","481,561","14,246","25,790","133,132","126,985","42,724","86,444","52,240",(X),(X),"118,149","106,986","28,098","97,124","91,616","31,021","183,247","170,158","54,192","83,041","72,765","25,373",,"334,466","318,657","115,458","320,775","305,645","111,204","13,931","12,735","2,501","61,217","49,148","4,881","32,240","25,657","8,296","4,819","4,121",584,"8,195","6,745",890,"26,693","24,462","6,074","26,452","23,510","5,819",,(X),(X),(X),(X),,"45,018","24,222","35,868","41,758","56,914","75,748"
Arizona Total Estimate,,"672,180","109,734","226,131","285,153","51,162","4,711,362","254,700","350,198","1,136,493","1,178,809","408,070","863,062","520,030",(X),(X),"953,327","845,756","275,199","859,457","738,967","269,517","1,697,728","1,467,151","485,351","1,200,850","1,054,590","353,025",,"3,800,035","3,375,275","1,167,756","2,918,549","2,759,267","1,045,567","192,907","174,892","46,974","187,510","143,932","18,199","161,708","143,663","91,773","9,601","8,275","1,754","249,829","164,472","26,078","109,772","95,955","30,558","1,203,000","833,054","156,026",,(X),(X),(X),(X),,"36,923","22,121","28,821","35,802","51,197","65,573"
Arkansas Total Estimate,,"287,448","38,290","98,609","127,968","22,581","2,008,398","92,735","174,807","683,285","443,935","143,522","301,294","168,820",(X),(X),"382,786","346,590","102,015","370,996","326,666","100,639","757,592","658,804","166,309","497,024","408,796","101,151",,"1,600,041","1,419,259","399,109","1,540,589","1,380,797","390,662","278,042","231,605","43,888","12,408","9,314","1,590","30,297","24,036","14,696","5,073","2,570",230,"44,954","21,390","3,627","37,583","32,682","6,974","107,132","61,598","11,827",,(X),(X),(X),(X),,"34,062","23,439","29,023","31,916","46,483","60,011"
California Total Estimate,,"3,799,994","399,555","1,174,092","1,823,319","403,028","26,679,273","2,459,993","1,989,309","5,541,182","5,641,881","2,070,661","5,616,449","3,359,798",(X),(X),"6,018,225","5,390,200","2,181,935","5,232,877","4,357,054","1,909,936","9,923,354","8,078,704","3,159,887","5,504,817","4,404,013","1,724,489",,"16,205,852","13,969,906","5,651,262","11,228,631","10,668,875","4,926,760","1,553,323","1,391,797","396,939","207,809","160,403","28,467","4,234,099","3,705,737","2,221,299","104,053","91,095","21,607","3,492,458","2,124,017","351,605","881,679","787,016","305,068","8,921,445","5,778,718","1,158,918",,(X),(X),(X),(X),,"41,122","22,648","30,918","38,296","60,940","85,555"
Colorado Total Estimate,,"522,727","59,021","168,994","229,538","65,174","3,822,068","129,351","190,285","815,595","798,831","313,309","994,894","579,803",(X),(X),"867,170","804,127","366,950","762,156","686,586","337,370","1,419,043","1,307,782","572,582","773,699","703,937","297,795",,"3,293,204","3,060,036","1,411,798","2,796,851","2,694,144","1,327,941","146,066","132,871","41,187","39,748","34,072","7,109","118,758","99,611","62,248","4,459","4,270","1,504","130,641","90,990","18,104","89,192","80,582","32,747","670,114","491,234","107,622",,(X),(X),(X),(X),,"42,324","26,069","32,385","37,835","52,074","67,553"
Connecticut Total Estimate,,"352,052","37,246","99,162","155,566","60,078","2,493,854","102,064","137,225","676,911","411,854","201,193","533,791","430,816",(X),(X),"444,141","408,392","188,577","421,380","387,994","185,306","1,027,239","940,251","394,648","601,094","517,928","196,076",,"1,965,707","1,817,713","816,852","1,772,594","1,673,232","777,516","245,862","213,115","48,871","7,322","6,148","1,853","113,851","101,183","72,960",N,N,N,"115,463","76,800","11,743","45,285","39,300","12,328","330,633","236,652","52,982",,(X),(X),(X),(X),,"48,506","25,393","34,473","42,231","61,520","80,966"
Delaware Total Estimate,,"83,940","10,012","28,306","38,035","7,587","673,686","23,460","40,091","218,309","127,966","51,777","121,442","90,641",(X),(X),"130,949","120,208","40,404","111,068","98,090","36,554","258,452","238,296","85,014","173,217","153,541","50,111",,"486,639","442,849","159,608","452,331","421,290","155,771","137,339","124,670","30,830","2,000","1,436",339,"26,990","25,171","17,990",N,N,N,"9,895","6,084","1,070","10,662","9,764","2,198","47,762","30,340","5,156",,(X),(X),(X),(X),,"41,815","26,364","32,626","36,577","57,157","73,360"
District of Columbia Total Estimate,,"74,760","7,345","17,008","33,178","17,229","494,614","21,119","27,212","85,033","62,009","15,722","118,172","165,347",(X),(X),"162,354","155,410","117,334","102,128","91,973","63,686","146,140","129,745","65,838","83,992","69,155","36,661",,"218,184","213,380","193,136","197,526","196,066","179,352","217,915","188,567","58,167",N,N,N,"21,767","20,714","17,822",N,N,N,"23,645","11,692","5,743","11,613","10,594","8,127","48,455","32,694","21,124",,(X),(X),(X),(X),,"61,641","26,686","30,469","41,297","65,056","91,724"
Florida Total Estimate,,"1,763,443","268,822","547,776","783,886","162,959","15,020,177","710,891","1,035,042","4,330,040","2,982,278","1,507,434","2,839,500","1,614,992",(X),(X),"2,707,837","2,446,928","811,471","2,535,767","2,260,098","824,956","5,561,341","4,954,200","1,615,423","4,215,232","3,613,018","1,202,642",,"11,774,810","10,565,468","3,673,318","8,767,219","8,144,549","2,923,485","2,137,020","1,787,709","402,237","44,100","35,321","9,153","421,720","365,079","214,346","7,919","7,178","2,114","384,651","297,224","73,180","249,957","216,265","80,144","3,545,630","2,839,672","854,267",,(X),(X),(X),(X),,"33,638","21,666","26,826","32,230","45,651","60,959"
Georgia Total Estimate,,"1,018,588","156,032","349,387","419,969","93,200","6,896,026","313,025","580,411","1,936,501","1,394,047","540,564","1,311,611","819,867",(X),(X),"1,421,366","1,259,940","453,269","1,384,136","1,215,438","483,148","2,688,674","2,374,961","834,082","1,401,850","1,152,251","360,979",,"4,251,758","3,768,915","1,429,991","3,914,442","3,558,113","1,368,419","2,079,786","1,792,691","485,165","24,069","16,841","5,331","281,696","244,351","151,895","3,711","2,952",489,"144,346","79,150","19,235","110,660","97,690","39,372","520,525","316,966","87,240",,(X),(X),(X),(X),,"37,173","21,993","29,437","35,055","51,915","65,479"
Hawaii Total Estimate,,"123,797","8,019","50,218","55,144","10,416","997,744","34,495","42,636","280,494","204,452","106,987","216,993","111,687",(X),(X),"206,064","197,164","63,331","181,837","173,488","67,513","356,093","328,389","117,151","253,750","221,572","80,685",,"270,276","261,478","119,219","241,798","235,081","112,861","15,653","14,851","5,458","2,137","1,652",602,"434,390","389,703","147,465","90,769","79,610","12,913","12,490","11,072","3,341","172,029","162,247","39,682","76,514","69,126","15,533",,(X),(X),(X),(X),,"41,518","27,415","32,674","40,163","50,803","67,836"
