state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Maryland ,2010,560736.000,0.142,0.293,0.433,0.132,3873474.000,0.047,0.072,0.259,0.197,0.063,0.197,0.164,767284.000,0.881,0.377,794620.000,0.905,0.392,1601318.000,0.906,0.372,710252.000,0.795,0.282,44240.000,21684.000,31627.000,41279.000,55616.000,78316.000
Massachusetts ,2010,681235.000,0.118,0.264,0.457,0.161,4458898.000,0.049,0.060,0.262,0.163,0.076,0.223,0.167,844548.000,0.920,0.480,888333.000,0.922,0.448,1819901.000,0.909,0.386,906116.000,0.797,0.258,41800.000,20850.000,31030.000,37127.000,52457.000,68607.000
Michigan ,2010,972866.000,0.151,0.277,0.493,0.080,6569801.000,0.035,0.078,0.309,0.242,0.084,0.156,0.096,1161947.000,0.899,0.283,1277405.000,0.915,0.293,2764944.000,0.913,0.254,1365505.000,0.798,0.183,31617.000,16633.000,24180.000,30254.000,46045.000,65162.000
Minnesota ,2010,498835.000,0.134,0.256,0.496,0.114,3528096.000,0.033,0.049,0.273,0.227,0.100,0.215,0.103,718057.000,0.929,0.375,679897.000,0.933,0.382,1443448.000,0.944,0.310,686694.000,0.837,0.214,36282.000,19579.000,27286.000,33515.000,48562.000,62378.000
Mississippi ,2010,312462.000,0.203,0.276,0.464,0.058,1904406.000,0.066,0.124,0.306,0.225,0.084,0.124,0.071,375964.000,0.829,0.203,384801.000,0.859,0.215,760885.000,0.833,0.196,382756.000,0.697,0.166,27941.000,16407.000,23760.000,28255.000,37726.000,49025.000
Missouri ,2010,593811.000,0.163,0.305,0.439,0.093,3984849.000,0.044,0.087,0.319,0.226,0.068,0.160,0.095,775040.000,0.891,0.307,748075.000,0.898,0.300,1618849.000,0.892,0.258,842885.000,0.776,0.166,31206.000,17712.000,25051.000,30542.000,41770.000,55277.000
Montana ,2010,95346.000,0.158,0.310,0.472,0.059,672952.000,0.025,0.058,0.299,0.251,0.079,0.198,0.090,121182.000,0.920,0.309,113805.000,0.943,0.325,290471.000,0.940,0.306,147494.000,0.850,0.208,28078.000,17117.000,23290.000,26219.000,33809.000,49119.000
Nebraska ,2010,185684.000,0.134,0.263,0.510,0.092,1184379.000,0.041,0.056,0.283,0.244,0.090,0.196,0.090,241827.000,0.910,0.332,222830.000,0.897,0.348,471829.000,0.936,0.291,247893.000,0.842,0.178,31356.000,20222.000,25392.000,30005.000,40820.000,54969.000
Nevada ,2010,250339.000,0.219,0.361,0.370,0.050,1789530.000,0.063,0.091,0.297,0.262,0.071,0.143,0.074,386326.000,0.830,0.210,384597.000,0.851,0.215,691474.000,0.865,0.230,327133.000,0.822,0.200,31973.000,22101.000,28844.000,33812.000,42498.000,64184.000
New Hampshire ,2010,123240.000,0.132,0.306,0.455,0.107,907755.000,0.028,0.058,0.298,0.189,0.100,0.204,0.124,143669.000,0.940,0.357,179134.000,0.937,0.365,405303.000,0.932,0.337,179649.000,0.833,0.245,38050.000,22637.000,31204.000,35772.000,46991.000,63294.000
New Jersey ,2010,767908.000,0.133,0.303,0.437,0.127,5970904.000,0.054,0.065,0.295,0.170,0.062,0.221,0.133,1109449.000,0.907,0.412,1236842.000,0.906,0.400,2433583.000,0.905,0.364,1191030.000,0.780,0.232,42473.000,21463.000,31295.000,40213.000,57081.000,80417.000
New Mexico ,2010,205957.000,0.223,0.292,0.430,0.055,1341329.000,0.076,0.091,0.264,0.249,0.070,0.142,0.108,263857.000,0.833,0.196,252488.000,0.842,0.247,549597.000,0.861,0.279,275387.000,0.770,0.245,30125.000,16636.000,24540.000,30101.000,41639.000,51771.000
New York ,2010,1989972.000,0.151,0.255,0.446,0.147,13089848.000,0.070,0.081,0.277,0.164,0.082,0.186,0.140,2659287.000,0.881,0.413,2608602.000,0.870,0.355,5197911.000,0.867,0.314,2624048.000,0.758,0.229,37757.000,19777.000,28636.000,35824.000,51219.000,66529.000
North Carolina ,2010,951694.000,0.183,0.291,0.449,0.077,6325621.000,0.056,0.096,0.277,0.220,0.086,0.178,0.087,1243403.000,0.857,0.287,1339385.000,0.880,0.296,2503114.000,0.874,0.269,1239719.000,0.748,0.199,30724.000,16371.000,24973.000,30068.000,42247.000,54611.000
North Dakota ,2010,81096.000,0.085,0.220,0.584,0.110,442946.000,0.049,0.047,0.271,0.240,0.117,0.197,0.079,88894.000,0.958,0.355,76567.000,0.955,0.358,179410.000,0.940,0.269,98075.000,0.746,0.154,31927.000,19900.000,26332.000,30809.000,40188.000,52295.000
Ohio ,2010,1094487.000,0.166,0.308,0.437,0.088,7720849.000,0.033,0.086,0.352,0.205,0.078,0.157,0.089,1419211.000,0.902,0.293,1472448.000,0.915,0.292,3203412.000,0.905,0.244,1625778.000,0.787,0.168,31858.000,17012.000,26028.000,31004.000,45534.000,60798.000
Oklahoma ,2010,381565.000,0.185,0.332,0.420,0.064,2449213.000,0.046,0.092,0.320,0.245,0.068,0.154,0.075,506655.000,0.871,0.233,465265.000,0.881,0.248,967504.000,0.888,0.242,509789.000,0.788,0.183,30199.000,17745.000,23999.000,29424.000,40926.000,50793.000
Oregon ,2010,357560.000,0.164,0.282,0.481,0.073,2614886.000,0.041,0.072,0.250,0.272,0.078,0.183,0.105,524977.000,0.876,0.295,497859.000,0.884,0.322,1057157.000,0.908,0.291,534893.000,0.860,0.241,30439.000,17970.000,24147.000,28783.000,41884.000,54217.000
Pennsylvania ,2010,1269627.000,0.135,0.313,0.436,0.116,8654829.000,0.038,0.078,0.375,0.165,0.074,0.167,0.104,1511925.000,0.913,0.345,1613956.000,0.921,0.322,3563443.000,0.912,0.272,1965505.000,0.783,0.170,34229.000,19537.000,26785.000,32391.000,46904.000,63065.000
Rhode Island ,2010,118884.000,0.108,0.252,0.529,0.111,709979.000,0.073,0.092,0.272,0.187,0.074,0.181,0.122,126617.000,0.864,0.356,138010.000,0.880,0.347,293169.000,0.865,0.307,152183.000,0.712,0.208,36919.000,20035.000,28854.000,33739.000,51115.000,64610.000
South Carolina ,2010,480525.000,0.197,0.291,0.431,0.081,3074357.000,0.055,0.105,0.305,0.206,0.084,0.158,0.088,587427.000,0.860,0.271,604903.000,0.881,0.253,1247097.000,0.864,0.249,634930.000,0.738,0.208,30362.000,17251.000,24889.000,29814.000,41120.000,51418.000
South Dakota ,2010,82004.000,0.186,0.253,0.472,0.089,532379.000,0.047,0.057,0.316,0.217,0.100,0.186,0.077,103800.000,0.926,0.298,95771.000,0.926,0.308,214901.000,0.922,0.275,117907.000,0.799,0.172,30246.000,19313.000,24637.000,29303.000,36955.000,50567.000
Tennessee ,2010,617272.000,0.165,0.346,0.416,0.073,4242391.000,0.062,0.101,0.335,0.208,0.062,0.146,0.085,814655.000,0.883,0.267,859877.000,0.882,0.261,1707937.000,0.856,0.233,859922.000,0.709,0.163,30386.000,17087.000,24248.000,30385.000,42181.000,52373.000
Texas ,2010,2597445.000,0.200,0.302,0.426,0.072,15772122.000,0.097,0.096,0.256,0.228,0.063,0.173,0.086,3607541.000,0.826,0.260,3479592.000,0.814,0.274,6066046.000,0.823,0.270,2618943.000,0.731,0.214,31799.000,17551.000,25536.000,31899.000,49322.000,61591.000
Utah ,2010,317969.000,0.144,0.274,0.528,0.053,1584824.000,0.031,0.063,0.245,0.278,0.090,0.199,0.094,449176.000,0.913,0.285,332449.000,0.901,0.315,552399.000,0.917,0.303,250800.000,0.877,0.259,32242.000,21220.000,26724.000,30658.000,41156.000,62085.000
Vermont ,2010,65257.000,0.090,0.337,0.473,0.100,431042.000,0.030,0.059,0.315,0.176,0.083,0.203,0.133,69728.000,0.935,0.343,77686.000,0.950,0.350,192397.000,0.929,0.349,91231.000,0.816,0.292,31927.000,17769.000,27020.000,30999.000,38534.000,53899.000
Virginia ,2010,809695.000,0.128,0.304,0.459,0.109,5361301.000,0.055,0.080,0.254,0.201,0.067,0.201,0.142,1084897.000,0.894,0.375,1120016.000,0.895,0.388,2176113.000,0.882,0.347,980275.000,0.763,0.243,39480.000,20392.000,27801.000,35552.000,52876.000,75523.000
Washington ,2010,655256.000,0.178,0.297,0.438,0.087,4505657.000,0.041,0.061,0.238,0.255,0.094,0.199,0.111,936043.000,0.892,0.307,911095.000,0.897,0.344,1828141.000,0.919,0.318,830378.000,0.859,0.262,36766.000,19291.000,29611.000,35147.000,50558.000,62865.000
West Virginia ,2010,172543.000,0.162,0.342,0.415,0.081,1294747.000,0.061,0.107,0.416,0.183,0.058,0.109,0.066,217955.000,0.898,0.228,239097.000,0.890,0.202,539089.000,0.855,0.175,298606.000,0.697,0.115,29690.000,18589.000,25595.000,27923.000,39750.000,50661.000
Wisconsin ,2010,554544.000,0.133,0.325,0.450,0.093,3800295.000,0.035,0.064,0.333,0.211,0.093,0.174,0.090,717027.000,0.913,0.297,724623.000,0.921,0.314,1579135.000,0.928,0.262,779510.000,0.817,0.189,32717.000,19473.000,27342.000,31798.000,44534.000,59962.000
Wyoming ,2010,56791.000,0.162,0.290,0.478,0.070,370951.000,0.026,0.051,0.302,0.273,0.107,0.157,0.084,76868.000,0.943,0.250,66064.000,0.950,0.251,157833.000,0.939,0.251,70186.000,0.838,0.201,35108.000,23787.000,30173.000,31748.000,44737.000,56550.000
