state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Alabama ,2013,498384.000,0.175,0.303,0.449,0.073,3225447.000,0.049,0.106,0.310,0.220,0.080,0.148,0.087,612773.000,0.865,0.246,608333.000,0.866,0.256,1282803.000,0.867,0.241,721538.000,0.774,0.196,31583.000,18851.000,25691.000,30856.000,46108.000,55187.000
Alaska ,2013,84107.000,0.202,0.354,0.396,0.049,462659.000,0.031,0.053,0.279,0.275,0.083,0.182,0.098,114008.000,0.925,0.270,89946.000,0.957,0.301,193121.000,0.921,0.271,65584.000,0.833,0.294,42051.000,26262.000,35068.000,40717.000,51719.000,70975.000
Arizona ,2013,665925.000,0.179,0.313,0.431,0.076,4344737.000,0.064,0.077,0.248,0.251,0.086,0.171,0.103,880940.000,0.853,0.264,832886.000,0.847,0.285,1612187.000,0.870,0.277,1018724.000,0.858,0.267,33300.000,19848.000,26561.000,32324.000,48350.000,57365.000
Arkansas ,2013,287248.000,0.138,0.328,0.467,0.067,1960503.000,0.056,0.100,0.353,0.224,0.061,0.134,0.072,383853.000,0.873,0.232,367589.000,0.877,0.237,755519.000,0.858,0.201,453542.000,0.771,0.168,30397.000,20092.000,25584.000,29778.000,43365.000,55137.000
California ,2013,4011105.000,0.139,0.288,0.481,0.092,25147232.000,0.101,0.082,0.208,0.220,0.079,0.195,0.115,5582572.000,0.854,0.321,5159912.000,0.804,0.327,9610640.000,0.817,0.306,4794108.000,0.786,0.288,36297.000,19057.000,27262.000,35888.000,54931.000,77093.000
Colorado ,2013,512807.000,0.158,0.257,0.477,0.109,3514235.000,0.037,0.058,0.217,0.228,0.083,0.238,0.140,776660.000,0.905,0.370,720347.000,0.894,0.415,1372285.000,0.921,0.381,644943.000,0.887,0.341,37204.000,21624.000,30011.000,33594.000,46891.000,61730.000
Connecticut ,2013,345423.000,0.129,0.272,0.469,0.130,2465315.000,0.045,0.059,0.273,0.177,0.075,0.206,0.166,439149.000,0.918,0.412,448157.000,0.915,0.420,1033503.000,0.917,0.382,544506.000,0.826,0.283,42923.000,21400.000,32101.000,38592.000,57413.000,75743.000
Delaware ,2013,92331.000,0.139,0.350,0.382,0.130,629730.000,0.039,0.077,0.312,0.197,0.077,0.172,0.126,119039.000,0.879,0.346,111785.000,0.884,0.344,251961.000,0.911,0.292,146945.000,0.839,0.233,37308.000,20661.000,29669.000,36767.000,47136.000,65631.000
Florida ,2013,1797134.000,0.167,0.306,0.450,0.078,13726996.000,0.053,0.079,0.295,0.207,0.095,0.176,0.097,2435386.000,0.879,0.273,2409505.000,0.880,0.295,5237822.000,0.887,0.274,3644283.000,0.827,0.253,30870.000,19078.000,24540.000,30472.000,42190.000,56811.000
Georgia ,2013,1029614.000,0.180,0.296,0.443,0.081,6472172.000,0.056,0.090,0.286,0.212,0.074,0.178,0.106,1347160.000,0.862,0.296,1391341.000,0.871,0.319,2542898.000,0.876,0.282,1190773.000,0.782,0.230,32284.000,19172.000,25926.000,31244.000,49053.000,59111.000
