state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Hawaii ,2013,136925.000,0.087,0.334,0.485,0.093,959903.000,0.039,0.051,0.274,0.220,0.104,0.208,0.104,204167.000,0.955,0.316,177174.000,0.952,0.350,358454.000,0.916,0.322,220108.000,0.826,0.260,37226.000,22042.000,30529.000,36018.000,45783.000,61683.000
Idaho ,2013,158393.000,0.138,0.348,0.439,0.074,1026889.000,0.043,0.063,0.274,0.267,0.091,0.180,0.082,207643.000,0.907,0.257,195107.000,0.899,0.300,401035.000,0.902,0.261,223104.000,0.863,0.237,30477.000,20425.000,25126.000,29000.000,38960.000,56773.000
Illinois ,2013,1266315.000,0.136,0.277,0.464,0.123,8593665.000,0.055,0.066,0.270,0.211,0.076,0.198,0.124,1779710.000,0.903,0.388,1689992.000,0.883,0.364,3383875.000,0.894,0.313,1740088.000,0.818,0.226,37343.000,21152.000,29119.000,33400.000,51107.000,68340.000
Indiana ,2013,670468.000,0.171,0.313,0.428,0.088,4312892.000,0.041,0.083,0.343,0.213,0.082,0.152,0.086,840482.000,0.872,0.274,826166.000,0.901,0.272,1730411.000,0.897,0.237,915833.000,0.815,0.176,32622.000,20392.000,27928.000,31675.000,44939.000,59150.000
Iowa ,2013,318680.000,0.115,0.246,0.532,0.107,2048270.000,0.031,0.053,0.327,0.214,0.111,0.181,0.084,389750.000,0.927,0.329,363546.000,0.930,0.316,815349.000,0.931,0.257,479625.000,0.871,0.186,35411.000,22714.000,30007.000,32378.000,45880.000,59389.000
Kansas ,2013,300970.000,0.130,0.261,0.515,0.095,1872445.000,0.040,0.059,0.266,0.246,0.078,0.200,0.111,387558.000,0.901,0.335,347137.000,0.901,0.346,731525.000,0.917,0.319,406225.000,0.870,0.243,35103.000,22246.000,28118.000,31165.000,45216.000,56929.000
Kentucky ,2013,427057.000,0.145,0.335,0.442,0.078,2953653.000,0.066,0.093,0.331,0.208,0.076,0.133,0.093,564634.000,0.885,0.264,565930.000,0.890,0.265,1187031.000,0.855,0.220,636058.000,0.731,0.167,31647.000,20160.000,26389.000,30296.000,42410.000,53668.000
Louisiana ,2013,477823.000,0.207,0.314,0.409,0.069,3034973.000,0.058,0.111,0.336,0.215,0.054,0.149,0.076,659092.000,0.850,0.255,565847.000,0.862,0.251,1203076.000,0.843,0.216,606958.000,0.757,0.188,33091.000,19727.000,27223.000,31709.000,46512.000,58530.000
Maine ,2013,114005.000,0.117,0.306,0.501,0.077,953962.000,0.029,0.052,0.338,0.202,0.096,0.181,0.101,150177.000,0.946,0.312,157792.000,0.942,0.298,410009.000,0.936,0.276,235984.000,0.854,0.264,31379.000,19984.000,25821.000,30688.000,40854.000,51108.000
Maryland ,2013,565656.000,0.117,0.280,0.477,0.125,4018701.000,0.041,0.067,0.257,0.198,0.063,0.203,0.171,815577.000,0.902,0.398,768746.000,0.905,0.416,1640510.000,0.910,0.378,793868.000,0.830,0.302,46114.000,24752.000,32162.000,41182.000,60060.000,79134.000
Massachusetts ,2013,695074.000,0.107,0.283,0.450,0.160,4604795.000,0.049,0.052,0.259,0.160,0.077,0.225,0.178,909352.000,0.933,0.490,844416.000,0.924,0.466,1860930.000,0.911,0.391,990097.000,0.824,0.292,44510.000,22714.000,31785.000,38542.000,56296.000,71634.000
Michigan ,2013,1006588.000,0.140,0.274,0.494,0.092,6645295.000,0.033,0.073,0.297,0.239,0.089,0.164,0.105,1180523.000,0.906,0.307,1209103.000,0.910,0.312,2768886.000,0.913,0.262,1486783.000,0.837,0.215,32886.000,19141.000,26166.000,30719.000,47043.000,65897.000
Minnesota ,2013,508453.000,0.128,0.261,0.497,0.114,3629333.000,0.031,0.045,0.263,0.219,0.106,0.224,0.111,739072.000,0.930,0.382,669262.000,0.933,0.397,1466281.000,0.943,0.331,754718.000,0.874,0.243,39167.000,20820.000,30359.000,35728.000,50975.000,65317.000
Mississippi ,2013,323013.000,0.188,0.273,0.484,0.056,1931054.000,0.063,0.113,0.306,0.230,0.084,0.129,0.075,375578.000,0.848,0.211,381092.000,0.876,0.228,760019.000,0.837,0.200,414365.000,0.729,0.182,29756.000,18810.000,25404.000,28201.000,40577.000,47970.000
Missouri ,2013,597813.000,0.130,0.300,0.463,0.107,4047283.000,0.037,0.076,0.315,0.226,0.076,0.169,0.100,796534.000,0.908,0.320,723852.000,0.909,0.319,1618539.000,0.905,0.262,908358.000,0.818,0.199,32206.000,18937.000,26808.000,30858.000,43178.000,55820.000
Montana ,2013,101900.000,0.160,0.301,0.482,0.056,689169.000,0.022,0.051,0.291,0.262,0.085,0.197,0.093,126517.000,0.929,0.305,114827.000,0.949,0.334,282745.000,0.942,0.272,165080.000,0.884,0.279,30278.000,20807.000,24588.000,27922.000,37477.000,51447.000
Nebraska ,2013,189556.000,0.126,0.228,0.556,0.090,1215208.000,0.044,0.054,0.271,0.239,0.098,0.196,0.098,250749.000,0.895,0.351,224561.000,0.889,0.343,475270.000,0.924,0.292,264628.000,0.882,0.199,33370.000,22195.000,27285.000,31312.000,44237.000,55312.000
Nevada ,2013,255605.000,0.203,0.350,0.399,0.049,1872884.000,0.060,0.088,0.284,0.260,0.081,0.151,0.075,397867.000,0.854,0.214,379270.000,0.831,0.221,714915.000,0.869,0.234,380832.000,0.836,0.225,32170.000,23119.000,28722.000,32222.000,45626.000,61380.000
New Hampshire ,2013,127716.000,0.104,0.302,0.461,0.133,924568.000,0.029,0.044,0.293,0.194,0.095,0.219,0.126,150082.000,0.939,0.342,162369.000,0.953,0.409,409157.000,0.943,0.351,202960.000,0.868,0.286,40282.000,24898.000,32463.000,36715.000,49845.000,61208.000
New Jersey ,2013,790737.000,0.124,0.295,0.448,0.133,6086705.000,0.055,0.060,0.288,0.168,0.064,0.226,0.140,1139704.000,0.909,0.426,1183903.000,0.906,0.421,2478691.000,0.906,0.368,1284407.000,0.804,0.258,44938.000,21398.000,31654.000,38677.000,60457.000,81217.000
New Mexico ,2013,215357.000,0.188,0.294,0.471,0.047,1361846.000,0.074,0.084,0.265,0.235,0.078,0.150,0.114,270201.000,0.863,0.235,249017.000,0.851,0.265,535471.000,0.860,0.272,307157.000,0.788,0.273,31178.000,16615.000,25765.000,30004.000,41940.000,55311.000
New York ,2013,1992555.000,0.132,0.256,0.468,0.144,13419310.000,0.068,0.076,0.268,0.161,0.086,0.193,0.148,2795995.000,0.892,0.429,2517362.000,0.875,0.388,5276110.000,0.869,0.319,2829843.000,0.779,0.253,39914.000,20190.000,29182.000,36014.000,53490.000,70822.000
North Carolina ,2013,995782.000,0.159,0.292,0.454,0.094,6568110.000,0.054,0.088,0.265,0.220,0.088,0.184,0.099,1269513.000,0.868,0.313,1320217.000,0.874,0.325,2573662.000,0.878,0.282,1404718.000,0.793,0.224,31716.000,18262.000,25445.000,30636.000,44733.000,57798.000
North Dakota ,2013,94885.000,0.092,0.272,0.531,0.105,467815.000,0.041,0.044,0.275,0.231,0.138,0.200,0.072,101662.000,0.948,0.313,81307.000,0.950,0.356,182296.000,0.944,0.265,102550.000,0.802,0.175,37193.000,25332.000,30974.000,36441.000,43465.000,52291.000
Ohio ,2013,1116768.000,0.146,0.305,0.454,0.095,7805254.000,0.032,0.078,0.342,0.205,0.082,0.164,0.097,1446230.000,0.904,0.318,1416469.000,0.915,0.305,3190592.000,0.910,0.254,1751963.000,0.824,0.194,34575.000,19078.000,27313.000,31831.000,48894.000,61794.000
Oklahoma ,2013,396299.000,0.179,0.320,0.429,0.072,2506437.000,0.044,0.089,0.323,0.235,0.072,0.161,0.077,522612.000,0.874,0.253,472596.000,0.879,0.260,963302.000,0.879,0.238,547927.000,0.829,0.204,31730.000,21464.000,26728.000,31207.000,41397.000,52610.000
Oregon ,2013,366494.000,0.138,0.303,0.484,0.075,2704043.000,0.041,0.061,0.243,0.263,0.084,0.193,0.115,534850.000,0.902,0.307,514966.000,0.884,0.357,1049631.000,0.908,0.295,604596.000,0.887,0.287,31633.000,19512.000,26097.000,30385.000,42388.000,57215.000
Pennsylvania ,2013,1248038.000,0.127,0.318,0.443,0.112,8809510.000,0.036,0.072,0.364,0.162,0.079,0.175,0.112,1600329.000,0.914,0.369,1536491.000,0.915,0.345,3582718.000,0.914,0.278,2089972.000,0.820,0.196,36407.000,21616.000,28851.000,34134.000,49318.000,64939.000
Rhode Island ,2013,118708.000,0.100,0.282,0.488,0.129,719956.000,0.061,0.080,0.266,0.185,0.083,0.198,0.126,134876.000,0.896,0.384,126983.000,0.884,0.331,295233.000,0.891,0.333,162864.000,0.749,0.251,39221.000,21120.000,30688.000,35697.000,52002.000,67373.000
South Carolina ,2013,496703.000,0.167,0.299,0.456,0.077,3198816.000,0.050,0.093,0.294,0.213,0.089,0.166,0.095,607844.000,0.864,0.281,594855.000,0.891,0.292,1271010.000,0.874,0.255,725107.000,0.790,0.229,31206.000,17806.000,25230.000,30626.000,41840.000,51346.000
South Dakota ,2013,85437.000,0.154,0.308,0.462,0.076,550959.000,0.035,0.049,0.313,0.223,0.114,0.189,0.076,110717.000,0.931,0.300,96760.000,0.937,0.324,218979.000,0.936,0.256,124503.000,0.850,0.207,31366.000,20940.000,27082.000,30389.000,37730.000,50243.000
Tennessee ,2013,633862.000,0.129,0.353,0.434,0.084,4370035.000,0.056,0.088,0.329,0.212,0.067,0.156,0.092,842934.000,0.892,0.297,846939.000,0.886,0.285,1729972.000,0.871,0.236,950190.000,0.768,0.192,31585.000,18706.000,25504.000,31143.000,42403.000,55401.000
Texas ,2013,2733619.000,0.171,0.312,0.439,0.079,16673656.000,0.091,0.090,0.252,0.226,0.065,0.183,0.093,3804859.000,0.854,0.284,3590709.000,0.821,0.294,6311561.000,0.823,0.279,2966527.000,0.762,0.235,34616.000,19870.000,26757.000,33350.000,50704.000,65760.000
Utah ,2013,333592.000,0.134,0.285,0.520,0.061,1670449.000,0.029,0.055,0.229,0.278,0.095,0.209,0.105,439707.000,0.925,0.315,373367.000,0.907,0.328,574695.000,0.919,0.305,282680.000,0.905,0.309,35365.000,22290.000,27868.000,31843.000,44668.000,61774.000
Vermont ,2013,66326.000,0.094,0.303,0.477,0.127,436174.000,0.032,0.053,0.306,0.169,0.082,0.214,0.143,70428.000,0.928,0.386,72690.000,0.940,0.400,190398.000,0.934,0.347,102658.000,0.851,0.327,34771.000,23474.000,29002.000,31443.000,40889.000,54872.000
Virginia ,2013,834850.000,0.111,0.316,0.449,0.124,5561224.000,0.047,0.069,0.248,0.201,0.073,0.211,0.151,1152347.000,0.918,0.390,1098291.000,0.909,0.409,2205777.000,0.897,0.364,1104809.000,0.797,0.280,40465.000,21629.000,28505.000,35244.000,54270.000,76575.000
Washington ,2013,669118.000,0.159,0.292,0.452,0.097,4706104.000,0.040,0.059,0.233,0.246,0.095,0.209,0.118,992349.000,0.897,0.332,919683.000,0.899,0.348,1843306.000,0.915,0.329,950766.000,0.882,0.298,38926.000,21550.000,30595.000,35743.000,52013.000,67087.000
West Virginia ,2013,178022.000,0.146,0.363,0.418,0.073,1294025.000,0.054,0.100,0.402,0.186,0.068,0.113,0.076,213278.000,0.907,0.245,233256.000,0.893,0.214,527478.000,0.853,0.185,320013.000,0.758,0.142,31406.000,20267.000,27085.000,28818.000,42380.000,54456.000
Wisconsin ,2013,557500.000,0.125,0.308,0.466,0.101,3879291.000,0.031,0.060,0.320,0.211,0.100,0.184,0.094,733172.000,0.924,0.328,696351.000,0.920,0.325,1601161.000,0.927,0.268,848607.000,0.853,0.210,35158.000,20752.000,28969.000,32111.000,46445.000,60202.000
Wyoming ,2013,58969.000,0.124,0.315,0.492,0.069,383914.000,0.015,0.050,0.284,0.278,0.107,0.178,0.088,81598.000,0.929,0.308,70178.000,0.966,0.268,154584.000,0.951,0.262,77554.000,0.883,0.226,36543.000,24796.000,32111.000,31843.000,46287.000,56548.000
