state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
Massachusetts ,2022,698602.0,0.093,0.302,0.387,0.217,4947384.0,0.044,0.043,0.23,0.143,0.074,0.253,0.213,968621.0,0.948,0.574,907291.0,0.923,0.521,1811372.0,0.911,0.442,1260100.0,0.883,0.379,1.0,34472.0,42196.0,49021.0,77137.0,95136.0
Michigan ,2022,948938.0,0.115,0.365,0.4,0.12,6978952.0,0.027,0.055,0.281,0.219,0.097,0.195,0.126,1315373.0,0.926,0.36,1219208.0,0.922,0.37,2566809.0,0.922,0.315,1877562.0,0.906,0.271,1.0,30404.0,35865.0,41762.0,63077.0,78984.0
Minnesota ,2022,510406.0,0.125,0.322,0.398,0.155,3918565.0,0.027,0.033,0.234,0.196,0.119,0.254,0.137,743021.0,0.95,0.449,781414.0,0.927,0.448,1399083.0,0.942,0.382,995047.0,0.941,0.317,1.0,33274.0,39997.0,49014.0,68504.0,82324.0
Mississippi ,2022,300650.0,0.151,0.357,0.417,0.076,1963322.0,0.043,0.081,0.308,0.214,0.107,0.152,0.096,351516.0,0.914,0.259,379896.0,0.889,0.285,718726.0,0.878,0.241,513184.0,0.837,0.222,1.0,26775.0,32789.0,37485.0,50731.0,57266.0
Missouri ,2022,579156.0,0.109,0.348,0.412,0.13,4236010.0,0.029,0.056,0.301,0.21,0.083,0.197,0.125,808963.0,0.937,0.365,794549.0,0.922,0.369,1519362.0,0.913,0.315,1113136.0,0.899,0.267,1.0,28414.0,35612.0,41874.0,57693.0,70894.0
Montana ,2022,103247.0,0.113,0.397,0.379,0.111,785438.0,0.022,0.038,0.277,0.223,0.095,0.229,0.117,145978.0,0.937,0.355,146403.0,0.941,0.407,266921.0,0.946,0.329,226136.0,0.936,0.32,1.0,30133.0,35674.0,39948.0,50894.0,68235.0
Nebraska ,2022,193132.0,0.113,0.302,0.454,0.131,1300094.0,0.033,0.039,0.251,0.216,0.115,0.226,0.121,250983.0,0.938,0.387,263908.0,0.925,0.4,450306.0,0.926,0.331,334897.0,0.924,0.295,1.0,33308.0,38758.0,44111.0,58817.0,74208.0
Nevada ,2022,264267.0,0.136,0.422,0.368,0.074,2223852.0,0.055,0.071,0.279,0.238,0.087,0.176,0.095,456422.0,0.907,0.254,440794.0,0.865,0.294,788145.0,0.853,0.258,538491.0,0.885,0.282,1.0,34591.0,37581.0,43743.0,59999.0,75253.0
New Hampshire ,2022,118758.0,0.124,0.372,0.365,0.139,1024780.0,0.013,0.041,0.271,0.168,0.093,0.246,0.167,182003.0,0.962,0.446,172049.0,0.948,0.455,388745.0,0.943,0.403,281983.0,0.936,0.38,1.0,38365.0,42335.0,48955.0,67982.0,84072.0
New Jersey ,2022,789299.0,0.11,0.313,0.387,0.189,6482223.0,0.047,0.046,0.252,0.152,0.067,0.259,0.176,1183821.0,0.946,0.509,1233720.0,0.912,0.502,2452956.0,0.905,0.42,1611726.0,0.878,0.352,1.0,31962.0,40193.0,50489.0,76725.0,98247.0
