state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
Alabama ,2016,463070.0,0.137,0.321,0.471,0.071,3300713.0,0.048,0.101,0.306,0.215,0.082,0.154,0.094,629565.0,0.874,0.263,598269.0,0.868,0.283,1288927.0,0.861,0.243,783952.0,0.803,0.213,1.0,20524.0,27144.0,31547.0,48304.0,57307.0
Alaska ,2016,75647.0,0.14,0.393,0.394,0.074,478951.0,0.022,0.047,0.28,0.271,0.085,0.19,0.106,121629.0,0.939,0.276,92373.0,0.941,0.305,189117.0,0.937,0.297,75832.0,0.893,0.313,1.0,27147.0,32063.0,41663.0,51665.0,75950.0
Arizona ,2016,673240.0,0.155,0.33,0.438,0.077,4626409.0,0.057,0.075,0.239,0.255,0.084,0.181,0.108,929487.0,0.869,0.271,849315.0,0.851,0.302,1677781.0,0.87,0.291,1169826.0,0.874,0.29,1.0,21300.0,27708.0,34251.0,50479.0,62034.0
Arkansas ,2016,290440.0,0.156,0.331,0.437,0.076,1990448.0,0.05,0.09,0.343,0.226,0.067,0.142,0.082,382578.0,0.888,0.248,364966.0,0.873,0.258,757274.0,0.872,0.216,485630.0,0.808,0.192,1.0,22442.0,26629.0,30419.0,45963.0,56296.0
California ,2016,3852527.0,0.117,0.299,0.484,0.1,26304241.0,0.097,0.078,0.205,0.213,0.077,0.206,0.123,5902164.0,0.88,0.355,5168066.0,0.818,0.354,9885572.0,0.81,0.314,5348439.0,0.795,0.305,1.0,21558.0,30231.0,36985.0,60121.0,82271.0
Colorado ,2016,534527.0,0.127,0.321,0.436,0.116,3745506.0,0.034,0.051,0.22,0.21,0.086,0.249,0.149,837560.0,0.916,0.404,745669.0,0.901,0.423,1419221.0,0.923,0.396,743056.0,0.911,0.373,1.0,25649.0,31515.0,36440.0,51136.0,65657.0
Connecticut ,2016,356553.0,0.094,0.295,0.455,0.155,2467737.0,0.041,0.054,0.275,0.168,0.075,0.219,0.167,436596.0,0.932,0.434,424492.0,0.916,0.44,1030009.0,0.921,0.384,576640.0,0.848,0.314,1.0,23388.0,35458.0,41504.0,61257.0,80306.0
Delaware ,2016,85281.0,0.168,0.347,0.39,0.095,662547.0,0.034,0.073,0.321,0.184,0.079,0.184,0.126,128569.0,0.89,0.325,110018.0,0.871,0.334,257286.0,0.916,0.311,166674.0,0.876,0.28,1.0,26171.0,31751.0,36993.0,54225.0,71356.0
Florida ,2016,1763628.0,0.155,0.306,0.45,0.09,14703671.0,0.052,0.074,0.289,0.201,0.097,0.182,0.104,2660916.0,0.894,0.29,2467080.0,0.882,0.313,5484911.0,0.882,0.28,4090764.0,0.845,0.276,1.0,20825.0,26129.0,31670.0,45031.0,59576.0
Georgia ,2016,1014366.0,0.162,0.327,0.418,0.092,6785395.0,0.049,0.087,0.278,0.205,0.076,0.187,0.117,1403742.0,0.879,0.315,1385447.0,0.869,0.34,2637072.0,0.88,0.309,1359134.0,0.814,0.249,1.0,21274.0,27706.0,32448.0,50962.0,62819.0
